RFA_221214-21_59_25-None_QR440-0110-00011-tx_Beam2_HV_27.5_31_GHz_both_27.5_GHz_20C
date time, 14-12-22 21:59:25
itcc_runner_version, 1.2.4620.dev0
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.6.8
f_s, 27.5
f_e, 31
# f_c, 27.5
Source power [dBm], -20
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],20
rfic temperatures,9.94639226190476error reading rfic temperatures
barcodes,440-0110-00011
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
16.607554235361896, 131.37947145626114, 17.064095149421924, 329.05459021192905, 12.383127163964907, 289.12856508483515, 25.2226427119069, 184.51042776745456, 21.205099025384335, 64.71856928238763, 24.981252667909033, 26.221140963290818, 29.263880959429272, 70.93440247725732, 18.40274159239676, 359.22417361346106, 25.238953696660364, 300.80463174129255, 24.463051245543937, 169.0629014243318, 19.617454159052187, 102.95984977339386, 24.300674420783505, 135.87361108595027, 19.285648510559458, 2.674894733257049, 15.12739301096494, 292.95914857796134, 22.615751673303883, 169.70486644042984, 20.585571307335165, 36.973931249669064, 24.28208620401996, 127.54153365628547, 29.774372771544854, 42.6005302036919, 26.643711985655713, 278.41158357897484, 24.99971789121007, 220.70563755179023, 28.999932790382687, 114.22870861524768, 23.234836419313773, 183.27499330679862, 21.20305418780408, 96.65081191128488, 23.83305144748785, 341.0252018952911, 18.80114941146275, 234.92163877192849, 17.386326306221417, 158.46372487887544, 18.769752190644194, 186.28555329346352, 11.695410242328014, 78.92998091294933, 15.813036667465347, 6.066300608121768, 14.575196978609997, 251.73107203608993, 7.307073460771113, 131.43484051993198, 5.911985901341561, 220.5086922180307, 5.252682917789104, 53.7651313169819, 1.2965066088401112, 304.99687847159385, -3.2136249738121685, 220.80409490720507, -4.912764555926503, 75.9816571482808
12.194785374256229, 269.1446800103381, 14.23854033664345, 176.2739184693264, 18.221751480868754, 57.66022476567662, 16.33521217522133, 302.10417556861626, 20.18981543645765, 276.75409725847805, 28.473354752333616, 121.94474516662423, 22.166389715670483, 204.99283186598356, 27.459270375502566, 118.29478307183169, 27.37709853468788, 4.080634561040154, 28.20171677535552, 307.9637797319273, 33.18574241299311, 203.74503302464953, 31.00290726212237, 236.5235341312607, 33.36159400673739, 167.27636684813046, 36.12204240077399, 53.5689342233819, 32.606608348821446, 336.2490670722062, 33.730506910652565, 257.15316080724546, 37.42192940972027, 306.539794357455, 31.67824210644885, 235.71726515240687, 35.07477992731801, 150.53035124621644, 29.693807056914427, 48.37312181435315, 26.10889124730091, 313.5894941606216, 27.700412417084145, 40.557182571479906, 19.7405946118767, 284.29979521209276, 20.09571868501134, 205.93666773269823, 19.689164028090502, 81.19343987518792, 13.83811332783602, 323.88916773945664, 14.143994968247732, 54.31489227189249, 14.889161543902745, 281.822751533787, 7.845921790306052, 179.68840024334506, 7.313599294562001, 138.66854313799269, 7.711647248532597, 309.72647818320615, -1.2342123325958014, 18.443174843758786, -0.18208860744015126, 307.20548023737547, -1.6881050009308174, 155.6274302553948, -6.923629182847961, 66.343975718595, -4.842817234976493, 355.6290311421508
11.556585626577656, 172.20240607752623, 11.683632786252097, 7.228850863407932, 6.44618141999474, 322.4829324416998, 19.264459993188346, 212.89360742756676, 15.800591952019419, 94.78518008124006, 20.15676126114822, 50.116627421491245, 25.003381084207625, 72.0448625479424, 11.917451220143997, 352.7571388506321, 19.36819771799875, 297.17569500898753, 21.38515287688866, 155.70472887104484, 17.91210668249175, 87.52042001701938, 24.045274782480774, 124.05273093305227, 19.778851225022596, 354.7704508328183, 16.014008488006088, 301.0592008294727, 24.565536900417136, 174.3346379181867, 22.39394665587153, 46.52584651473092, 23.40510875111466, 132.69101341310034, 29.26843360714017, 53.02720531437762, 24.87501762674173, 291.45817325179155, 22.69656257858373, 233.188840118929, 26.45579059857804, 124.49672135506664, 20.529936781771646, 180.31967196156432, 18.848952082370324, 91.82177520744251, 21.85917789920781, 336.7001923422704, 16.930788157073483, 232.66979118222093, 15.370792870384403, 160.31980792431762, 17.210032848716953, 185.88810919253854, 9.073091470446979, 81.56406861644751, 12.081866993197544, 8.66888696511383, 9.145851888128965, 250.26655851383975, 0.02853269312624971, 117.64943663571587, -1.6396483803649957, 216.60092476105262, -0.9301693015848705, 9.834661990005094, -2.6872830736787368, 247.85059374530317, -4.700063944959598, 159.62727456482145, -4.146144564735105, 16.59215716090203
10.170769020429248, 291.7590516657512, 11.67155694029659, 202.57918769186767, 14.987730255809273, 87.89421441369736, 11.946791777979016, 331.7336138768876, 15.262797888012978, 305.23513333485784, 24.223977277075758, 155.15881794211188, 15.26777030321367, 231.81071865856848, 19.066616583683796, 141.9078565419484, 18.02391615959928, 33.9693034971552, 17.508963015427696, 332.57113687318156, 21.398658019801253, 221.92991623680874, 17.448435557077772, 227.72445713248473, 18.355914689956467, 139.36503280113592, 21.394197512176113, 3.2887356448665432, 19.91887801954356, 268.77599975560923, 23.273023072106103, 176.15604236428587, 30.29073332423291, 215.97008909923252, 27.281346678758002, 142.49202068409681, 33.09356328960717, 60.105269734926935, 29.465560488149283, 321.8097051006865, 27.469328213737807, 233.26615863384285, 29.946408043686, 329.99860185380356, 22.948218958062686, 219.70421225353283, 23.940360507758918, 147.55111404768857, 23.880083612550767, 27.852156881160447, 18.274402628011632, 275.2927844326879, 18.25329441938691, 6.1001274992348336, 19.310824598536286, 236.39941132015736, 12.352000074992254, 137.25495367809228, 12.080670467379404, 97.87344041439147, 12.162592894057056, 270.6635474443309, 3.016119875784591, 336.3380574088463, 4.233371739042377, 257.2900326565212, 3.387995841558378, 99.1972184089528, -0.522310641633679, 6.635400182986, 3.0433072335139495, 296.7258561064134
15.66765621002208, 110.44433570110955, 15.219158641674808, 309.37878148546247, 12.302760316568229, 264.4100803747838, 23.570879070241094, 159.671691972457, 18.412200698832187, 32.75285835118108, 21.466432771411018, 348.61766962445137, 25.185971710040675, 26.070244892890162, 13.985775753219702, 303.6614054812837, 21.197438276797907, 233.52135119714433, 21.391996409243358, 93.0585421532492, 17.31286704033079, 20.06152149991803, 23.15853388639097, 45.736678508964026, 19.820599671356362, 268.70804931176957, 17.35422120506195, 199.52379009251803, 26.043882577074076, 76.67926709878773, 25.619885193728834, 308.3974273038714, 30.13506548701254, 44.42386007147149, 36.149337374682, 325.7425279541569, 33.57622013517819, 208.10428319832494, 32.085512593643145, 157.84606507027135, 35.80470582695238, 57.4841525623911, 30.445164388913554, 132.8777559465414, 28.012227313620507, 50.27844512068747, 30.148109874578154, 297.8234663109607, 24.62193002315741, 192.81271603576957, 22.842346056975252, 117.31991399439644, 23.374781495830742, 146.86012522391644, 15.77502696739532, 39.319676725802026, 19.634555023855896, 326.73170276119185, 17.733403104594856, 212.39177445648085, 9.602550365882335, 89.21113118617444, 7.425004978016942, 193.07941896019858, 7.274127423252327, 358.67187402921724, 3.837835302675553, 244.83793184636386, -0.011342048757724144, 156.66986033404828, -0.532329388356688, 10.88991557393414
11.62762259007458, 255.85492250687707, 13.214682401534127, 163.63424242168725, 16.901241310675566, 46.15082675497641, 14.016915226683189, 287.25758729302925, 17.457370877054768, 257.72880596442377, 26.753814150603827, 104.5987859828364, 18.1305682950716, 173.6552862258556, 22.933697043885843, 78.78251481490291, 23.06511463851969, 328.82831598290505, 23.516705897344817, 267.2973600562707, 29.009001225427447, 154.13721301430516, 26.509221831579776, 170.96380886870054, 29.47698970066564, 87.65408835077038, 34.316552071930346, 317.75761756989186, 34.382016106891655, 239.83815010666436, 37.33481467351642, 167.52101597723728, 41.80295715956383, 227.18420520333675, 38.20174513468382, 172.8766077745623, 40.482043723053366, 96.42557451824642, 34.79697698913138, 2.344388027805903, 29.904397108922293, 277.71718256987157, 29.783452618978107, 357.6497712094543, 21.972833072440924, 237.92440189352598, 21.038965477773708, 156.40912003669447, 20.895097562734485, 28.583050728365713, 15.117657497507444, 266.54501640212163, 15.83198327242589, 353.18307708584746, 16.66756519598832, 220.00899498230459, 10.469471619609084, 109.2692974750153, 8.815668953769862, 80.02410829743756, 7.627333216833431, 234.50901994200262, 0.3013796667661516, 308.45268123397005, 1.0667542433025698, 230.72247996969065, -0.03363897448473723, 72.69239734943528, -4.522886523931374, 340.5106301850557, -1.7243971987962219, 267.7470925448828
12.64327562352906, 188.56619089710622, 11.431734144287653, 19.27207475610486, 6.06784830059007, 326.2431838947634, 18.231378068286702, 218.06380453742565, 14.07010781770763, 94.36590800977591, 18.38197829382076, 42.310975840512505, 22.625535738467914, 61.51406858024753, 9.721080251133715, 331.2537317712548, 18.046774530684555, 265.9943125215109, 21.44198196022554, 120.40988932633785, 18.490924836258387, 47.199415340166816, 26.111464562484862, 76.259331820015, 24.245884207390823, 303.3629025283983, 23.31547581091636, 243.87938034532255, 32.73984497278978, 131.4673600579736, 32.98205674602582, 13.440193802674923, 36.23789511589736, 122.12929714430571, 41.87927025728179, 63.0898072861926, 36.83971043852869, 320.2173684235504, 32.30457898371462, 271.95966601491045, 34.08599078071034, 164.12626743639163, 27.154763985426754, 221.90897916286252, 24.70332815854746, 135.17283231835353, 26.300716275989394, 20.64898889973543, 20.289625942372798, 273.0730956403736, 17.92695490953949, 196.3889235859455, 18.85900548944869, 216.09283200724326, 9.68612688230237, 101.93856001377087, 14.42013281593401, 19.265363603692432, 9.000003347916763, 270.6280531248915, 3.5759454934740176, 121.27181180346241, 3.3963224783502604, 229.5667735468182, 3.635252639708672, 34.91442325543996, 0.22780511228762648, 276.4648685650992, -2.770117213354783, 181.33695786704473, -1.9717161668450598, 36.06495397948589
13.696526272530837, 328.6967506913171, 15.23676587577101, 248.61615710614063, 19.7774590619049, 128.49803495297147, 17.253986358810387, 10.556846171357565, 20.072466534375096, 326.21850525128747, 27.35154563056971, 175.1595947341026, 20.158730346899503, 251.671280685657, 25.106585345070307, 159.54831648214125, 24.36642518397572, 38.903853106631104, 24.379124964662665, 333.1190633364634, 29.187938692722778, 217.28860839071987, 25.71866356380518, 232.4286002462753, 28.016721594009873, 143.77067497275118, 32.14163869537847, 6.044687281000101, 31.943997454074285, 271.3198536825572, 37.255644027953146, 184.0572012065355, 44.71540100377311, 235.66046558274047, 44.00767985590123, 184.1423350711517, 47.88153200013728, 121.24737815667578, 42.3685917437859, 38.762663348338585, 37.25815217420315, 321.065474235021, 36.90150128496267, 50.342476473419154, 28.604809250652465, 295.59072857855426, 26.903514516866945, 215.19127745108298, 26.32947239754556, 87.40390071978611, 19.794386137757854, 324.7700694294334, 17.926509641418257, 56.88496434751435, 19.90399308614688, 272.03843450688385, 12.93304687153947, 164.14814492869604, 13.021127651738528, 117.96415780523547, 13.741218699239443, 287.04169601988247, 5.444317725560779, 351.801636988015, 6.714908995386972, 274.97574701048137, 5.15123165321203, 120.19010117462604, 0.2696712008075108, 27.149212322196494, 2.4831659063064655, 314.11735743260573
10.764422327562222, 319.1900611730987, 10.131565331750153, 150.23169834197947, 4.70755530736218, 101.20057740772222, 16.847569916300777, 351.41698123209267, 12.553383330022026, 229.85807429290233, 16.149814357066006, 178.77418370187118, 20.205410861311684, 189.6919029229809, 7.0406262105627695, 101.56651244490948, 14.637408611222835, 38.13754867620247, 16.854414720850677, 253.61695660814314, 12.954382358619183, 181.62201144522203, 19.24585931374247, 211.29750574802551, 15.314143553572041, 72.24685249414412, 12.051672336470851, 10.300480347067419, 21.139536017448812, 236.20059152882445, 20.002729578177426, 101.93618296731425, 21.69832285818383, 190.05278962619678, 28.003232909802506, 104.96087467392151, 24.008227695333794, 339.3386193637736, 22.857788583130308, 279.1441692637969, 28.126625397650518, 167.87569581809055, 20.45027950776507, 215.14340694316803, 19.917000490771862, 120.19817500954778, 21.97915880330568, 13.038370590894422, 17.31463337978066, 265.56313231136727, 15.841388219313608, 196.44435293740509, 18.16092861888621, 210.5598876329474, 10.162406504700305, 100.41857221038248, 14.710719365555498, 25.63039144801725, 8.503034968716602, 285.88017374259465, 1.1926949252951773, 141.30430575770356, -1.0398964479771193, 255.29000595803103, -2.340166115647949, 53.18379804972899, -6.937063844126714, 288.6740792158705, -11.581281419539406, 190.1841919218726, -12.571012754373145, 29.978955521605723
