RFA_221219-18_26_37-s2000 Rx L6-BS2 QR440-0111-00019 Cal-rx_Beam1_HV_17.7_21.2_GHz_both_17.7_GHz_-1C
cal_frequency:,17.7
date time, 19-12-22 18:26:37
itcc_runner_version, 1.2.4491.dev0
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo.csv
lens_assembly name, s2000 Rx L6-BS2 QR440-0111-00019 Cal
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.6.5
f_s, 17.7
f_e, 21.2
# f_c, 17.7
Source power [dBm], -20
IFBW [Hz], 200
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],-1
rfic temperatures,-88.29978209523809error reading rfic temperatures
barcodes
17.7,, 17.8,, 17.9,, 18.0,, 18.099999999999998,, 18.2,, 18.3,, 18.4,, 18.5,, 18.599999999999998,, 18.7,, 18.8,, 18.9,, 19.0,, 19.099999999999998,, 19.2,, 19.3,, 19.4,, 19.5,, 19.599999999999998,, 19.7,, 19.8,, 19.9,, 20.0,, 20.1,, 20.2,, 20.3,, 20.4,, 20.5,, 20.6,, 20.7,, 20.8,, 20.9,, 21.0,, 21.1,, 21.2
2.0861165449317625, 159.15020185407613, 1.9802397618157888, 308.485851613894, 1.8568133117901628, 97.50370450436549, 2.344739049123015, 143.25025810589494, 2.092125743791631, 296.1887792986385, 2.051964451849654, 97.23574682253673, 2.3231173511377534, 271.9786001985153, 2.7997660783252476, 90.39253558234869, 2.801241768364193, 158.95053329763377, 3.3645349996119918, 316.45225408753197, 3.9797422311406945, 109.73027696186145, 4.474762261447872, 264.2402690951345, 4.865745684101634, 61.22691431363753, 4.56815829603006, 124.9988260603236, 4.767098152455213, 284.0626608597825, 5.058170012574338, 82.12498575626933, 4.770213711755204, 238.17601389131616, 4.291151166276234, 32.89356299276133, 3.252803794296877, 89.25256830825384, 3.091137732966449, 246.62119719612184, 3.0853077342136315, 44.91496838346195, 3.6074345536972108, 202.18358102691568, 3.8394013006308363, 357.24261978150696, 3.8111350456717656, 51.84486501908604, 3.945332475779275, 210.1613111238444, 4.334404985777533, 10.677692385586425, 4.382546876256683, 170.8043761119997, 4.2676940822298075, 328.91311100335344, 4.234134386334464, 24.172334628672054, 3.6587939529242397, 178.794991475122, 3.059052474929953, 333.21520627298474, 2.5615095733113593, 127.20898322975128, 2.9478828888502484, 278.835756329679, 2.3116528888798387, 326.8239158353298, 2.495128472148605, 108.20388403479434, 1.8924476805820547, 231.21540617616057
3.4142489165149708, 139.5749518871455, 3.432541571081905, 288.86668606003013, 3.349647452008396, 78.0135613016375, 3.6864171058372386, 121.85837665996249, 3.694497689551201, 273.9897963440475, 4.060294992212519, 76.23121053345963, 4.503573029837572, 253.69774734201616, 5.062988012937866, 75.06310858829035, 5.01021789292714, 146.6176435942841, 5.079316776849838, 307.69912185714986, 5.133513750831739, 103.16688564544648, 4.784035989708761, 257.711458722576, 4.595075796874257, 52.13958607072319, 4.0393437764884395, 112.89585474242651, 3.913696397400699, 268.76821098635185, 4.071205131336554, 61.20060072537501, 4.483246451578623, 213.38079224835977, 4.553378416975889, 8.234719913396802, 3.81609003855381, 68.62733312127219, 3.5424054213345264, 228.12535033736748, 3.226371496627507, 26.785974109194434, 3.5741643803198957, 183.4095669178779, 3.576888814566863, 338.11689966330545, 3.2564904273314688, 32.045035025278175, 3.466609570471009, 188.70153588133383, 3.939417232947409, 349.0186719113859, 3.837889517923774, 149.6852873686312, 3.343728248471974, 307.2159230056004, 3.250299099679696, 359.92946556152174, 2.4303637575095136, 152.24807051993238, 2.3209291910410492, 302.7166543503157, 2.3209291910410474, 92.13888311031829, 2.3209291910410492, 239.55973333650473, 3.3308831349371983, 287.3742693578155, 5.811979230417688, 73.20050789024543, 8.504265485163604, 217.2333791710218
3.91025327383429, 107.18487463335158, 4.714550930193222, 256.9936825535073, 5.383167281856078, 49.184681224861215, 7.017963321586322, 101.99312453146159, 6.973595775624288, 260.1543670266475, 6.813470297563774, 68.28108247098396, 6.327586720144197, 248.35495288570277, 5.782582647065935, 68.85186667318415, 4.889081536470987, 138.5969261808451, 4.355196135092458, 293.217011144892, 4.1408895737308455, 80.48084436651284, 4.109050088303969, 227.0584175211156, 4.6990623174242625, 16.082890216128213, 5.047380279300677, 74.80237898324872, 5.943529739656354, 229.75616718837884, 6.906965574783328, 25.666467576097734, 7.293497164313898, 181.8449600943325, 7.223890598731526, 336.87516579115794, 6.730803279553779, 36.06415637613943, 6.69042411577572, 195.9519091935531, 6.3986067096616885, 355.5066581254473, 6.7486390366086155, 151.9826896960192, 6.88682277150189, 306.388285125764, 6.939107773684484, 0.03525609797388904, 7.024171308149624, 155.96064096671395, 7.497853671721645, 314.1324427963178, 7.679336916984521, 112.43172728740117, 7.641790607630414, 269.2702746179937, 7.999838587458425, 325.01810390603737, 7.501793365259349, 118.16948289959277, 7.209933523981494, 270.9771739017889, 7.009338400886495, 64.21640374657265, 7.247697098558415, 217.64412609077192, 7.137173906738042, 263.48817159461123, 7.383613212305882, 43.12159020760122, 7.061017401014312, 161.81182959650175
2.7120127757605506, 133.74294821622814, 2.994148983520781, 277.1616696983194, 3.4714818495672057, 61.29308368556258, 5.057479911644494, 105.13108615462993, 5.824589777213502, 256.81048783409574, 7.102977161366062, 59.26946798861751, 8.513512327778052, 244.00878876613214, 8.754689282719614, 72.75302464498057, 8.144456929827294, 150.98936449173942, 7.139163796113852, 315.08698542263596, 5.7876487702456885, 108.651405336746, 4.755781951761671, 257.9709087335353, 4.084418884849224, 47.43283466657416, 3.438926716388581, 103.52749872381239, 3.2198550004782462, 252.8451836011907, 3.6077601886405213, 39.76450926973131, 4.3265737030287275, 187.55383876327355, 4.872632977442528, 338.2542930450082, 4.881267463917717, 36.853261535823876, 5.422070021413399, 193.25810621909696, 6.158802409733905, 352.17674034663867, 7.33276230327281, 151.44170030316846, 8.055785433271582, 309.526468861431, 8.312614038260806, 9.237081924274161, 8.659670933618205, 170.3983643586678, 9.142517049120055, 334.49150921499785, 8.95855045470272, 137.87789927644528, 8.578060519453766, 297.01126488579376, 8.692342101656415, 352.7962248281809, 7.901613740698831, 148.37649677113478, 7.228916654351214, 301.8881453624277, 6.8326030705506335, 95.40680694800501, 7.327487924540823, 245.29131352676973, 8.935367390279449, 298.1805573431977, 10.963525841406021, 84.71614194089226, 12.421461298446989, 228.20289605160815
3.6903039919028586, 164.1772354703889, 4.26351669453105, 312.5625582367667, 4.6170669781479745, 101.78700441648203, 5.442934486583692, 147.3758805939588, 5.583692233599853, 300.62669224880574, 6.144577410153919, 102.99995131697285, 6.956403051131676, 283.13876242338813, 7.230457744277162, 107.82299601849135, 6.791843416592837, 180.28928381546228, 6.675789000808771, 341.69175416659857, 6.1232961751718715, 137.95696465067107, 5.380944189319139, 290.58929694447113, 5.096961655022283, 83.3373548850536, 4.391703301745225, 143.5998843514011, 4.210301317645145, 298.78878138516575, 4.122808782642952, 91.70117406907322, 4.041055919743004, 241.18628140937398, 4.137772929958435, 32.98792065793719, 3.415496873551536, 91.06187053941964, 3.250645824538818, 248.67832743701211, 3.2174700078150202, 46.541639374746, 3.7729258812454, 203.1093454579266, 4.072921809419152, 357.9311687562912, 4.039362585189462, 51.40724491762006, 4.444827444535882, 208.5481560519002, 5.268254642708648, 9.15728660493347, 5.706343326250276, 171.387085498933, 5.743825056537002, 332.8717087614384, 5.68304722568926, 31.798673725009923, 4.483048110120985, 189.18192158714874, 3.31237792581626, 341.87075846384283, 2.630236317156495, 130.3653847760215, 3.3818955602484806, 280.18145896222757, 3.8573752261485272, 326.49085209313716, 5.044956191607838, 111.16598468273418, 5.379860055543318, 241.83929601672384
5.506472186055071, 148.1572723769194, 6.16085173068187, 296.6141333637154, 6.584240383988613, 86.43918793916492, 7.3928571328309465, 132.6608928099821, 7.570095614678454, 287.10099650176016, 8.111173743348255, 89.41982685676253, 8.885308281921812, 270.2146589003147, 8.978895239624297, 94.37593323951737, 8.562346468083906, 166.13867603379552, 8.368229954345681, 327.94345712367544, 7.7732084386618, 122.43028812385349, 7.029376493074694, 273.5210686308426, 6.93032518971871, 64.62874507547942, 6.566748736325577, 123.61108746646437, 6.515802832326832, 277.9171523126489, 6.674429838457355, 70.36890522277743, 6.6774223059333595, 220.49072854526005, 6.790591355816311, 9.790586753380117, 6.623623883675177, 66.47770715043826, 7.188079596141497, 224.3601686406517, 7.513625436170663, 22.9933124779518, 8.622485493417031, 180.8148468701002, 9.330209790023932, 338.81746063265587, 9.294985831744896, 37.73165548163909, 9.418869805339359, 198.41153907602416, 9.768685298958898, 1.0299527228312932, 9.677924887894486, 162.81644264385469, 9.435770590510415, 322.35103634558163, 9.203533594595093, 17.888910857686373, 7.791633359749057, 170.87790923974424, 7.271099544650717, 318.79850251111736, 7.38232510987951, 108.29439089339135, 8.4676468335511, 257.9835484871847, 9.73104769399042, 309.74564347015996, 12.123604149707155, 98.61694610347048, 13.953646576033861, 242.5042875833825
4.654910788095613, 136.05880760407192, 4.807307466115482, 288.3318747692169, 4.767157974461726, 80.58525918564021, 5.537687009952022, 131.58329749151048, 5.087036675303656, 286.80006369072777, 5.009276147147382, 89.6566745285712, 5.005594341858491, 268.2196837974647, 4.847140401763662, 87.46837328603219, 4.668659167873493, 156.3618555382392, 4.830864620097148, 315.423968665479, 4.778331567682981, 109.60903512055945, 4.53989401917548, 262.86745615772304, 4.497981041030682, 57.21097057674824, 4.178798729435299, 118.94535458172878, 4.036633386227304, 274.06217909805537, 4.198433943434272, 66.59034868691656, 4.527942351633723, 218.53302817227512, 4.6279968708467685, 12.896855156724284, 3.8910895454173127, 73.08291210632656, 3.6883951264025234, 230.9858737777367, 3.5499891132535346, 29.876090295484364, 3.910955889189588, 187.06713466796734, 3.93633498079537, 341.97756136338467, 3.7630849507548563, 36.724233427870494, 3.803287755980635, 193.41644294492642, 4.139049977708354, 353.3738795153518, 4.019444265583113, 153.49045425688797, 3.482740403590829, 311.4183123837274, 3.0585215470502236, 5.140222997359164, 2.9142024106494606, 156.62435501310938, 2.9142024106494606, 304.81880908216806, 2.9142024106494597, 89.35299842946134, 2.9142024106494597, 231.60113061433833, 2.9142024106494606, 278.49983300092583, 4.374171924949737, 55.78512353422513, 4.795368040069157, 171.17610712940458
2.677931400201425, 191.20332276342776, 2.9026980208376263, 346.94818436510354, 2.455679095788902, 142.13008983856687, 2.743783413185852, 191.94094059371443, 1.9667328429779443, 346.5540683504227, 1.5285094329965587, 148.7913699223156, 1.1890161744006527, 325.8531847182583, 1.062989918429871, 143.55183238449268, 1.062989918429871, 211.45949341545392, 1.062989918429871, 7.556946188515229, 1.0629899184298695, 157.93103075211252, 1.062989918429871, 308.7993535377056, 1.062989918429871, 101.82271323972945, 1.062989918429871, 163.6475303048716, 1.1815971430896761, 320.3785001026159, 1.3895107158698283, 115.71321166741215, 1.4552894513089398, 268.33362932769035, 1.4860060271035884, 61.572952640790845, 1.1714821816901404, 121.23672531156451, 1.1462522896133118, 280.201114121209, 1.100410586075318, 79.6441089625421, 1.503761407228696, 238.21448721985143, 1.5212518270848783, 33.57283617409662, 1.59236858052316, 90.06656271269905, 1.6930127209599988, 248.50493818704985, 1.9641477981331754, 49.48496986671241, 1.839809120212629, 210.01452939481683, 1.4772461538620374, 9.218053624184682, 1.1070547637226344, 67.0490809580995, 1.062989918429871, 217.99479684908454, 1.062989918429871, 0.8281860086293443, 1.062989918429871, 143.35670446145664, 1.7394756594702518, 293.0230225061289, 4.314374293203792, 351.07323742074107, 6.651769177988555, 147.39921128360768, 7.957114428102776, 303.0545574301525
5.150872423151945, 173.91450735212752, 5.391925103070414, 319.7035380506859, 5.705995657637246, 106.17158196409746, 7.7433467345659395, 157.92836043848445, 8.226422671182325, 311.91646846751024, 8.888839293341114, 116.94570073540457, 9.401590488575849, 298.3084939845978, 9.492104771877168, 123.26716328207362, 8.275621838595345, 199.38157289951872, 7.823187607169131, 359.943725398303, 7.195743049895988, 153.34820405957447, 6.5138721504119355, 304.06911706854805, 6.263495350925757, 95.49295126065945, 5.7061034213528625, 150.86198649306053, 5.717870312523619, 304.5775722128828, 5.92945082573353, 97.0278746342752, 5.937137865005279, 246.98195225149843, 6.129147348333061, 36.43210831256723, 6.772639737572449, 93.52137544715471, 7.274549923359386, 251.7094588954139, 7.816382712630374, 51.74497703166225, 8.822336890838493, 212.45463270129378, 9.159113845163434, 12.1002678922013, 9.227413951822376, 74.63431859017847, 9.168113674806142, 234.72843665050135, 9.439922982245509, 36.71766497624836, 9.279468056114776, 197.71973152645947, 9.078883230079112, 356.9534076477289, 8.338258279434918, 55.270195945195475, 7.71908140394482, 211.09462632381528, 7.027586898248921, 7.519424684277274, 6.208876057451019, 162.133696161798, 6.114698255548591, 315.9728001951824, 5.722002064081043, 355.622848654671, 5.19323564393522, 130.12259548931556, 5.928470595916952, 240.94129493633574
