OP_221219-21_58_03-None_QR440-0111-00036-rx_Beam2_HV_17.7_21.2_GHz_both_19.2_GHz_20C
date time, 19-12-22 21:58:03
itcc_runner_version, 1.2.4628
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo
lens_assembly name, None
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.6.8
f_s, 17.7
f_e, 21.2
# f_c, 19.2
Source power [dBm], -40
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],20
rfic temperatures,-86.50912821428571error reading rfic temperatures
barcodes,440-0111-00036
17.7,, 17.8,, 17.9,, 18.0,, 18.099999999999998,, 18.2,, 18.3,, 18.4,, 18.5,, 18.599999999999998,, 18.7,, 18.8,, 18.9,, 19.0,, 19.099999999999998,, 19.2,, 19.3,, 19.4,, 19.5,, 19.599999999999998,, 19.7,, 19.8,, 19.9,, 20.0,, 20.1,, 20.2,, 20.3,, 20.4,, 20.5,, 20.6,, 20.7,, 20.8,, 20.9,, 21.0,, 21.1,, 21.2
-21.187203590009155, 271.3548892901736, -21.313705295854906, 108.39987846116628, -20.204565964551144, 308.8748247213425, -19.977836126717605, 154.21501244816596, -20.158757172002346, 357.9608566155641, -18.639652444798752, 206.17330470920933, -18.150435052862353, 59.57076544370808, -16.174806509678113, 261.0847014563833, -13.417611255861, 106.7900021682879, -12.001955690390158, 306.2816427484984, -9.831236223602291, 134.5076772444486, -8.805104465281214, 331.0862801208526, -8.61491978083507, 161.90437995122562, -8.677135458533273, 355.8040844958857, -9.15782169002249, 198.21446152725923, -10.06732712713957, 39.02557244992382, -10.36459990517791, 242.1933180180364, -10.957421835782705, 95.31339824735699, -11.4099216561922, 304.3382143259112, -10.308083180257949, 156.7850078031807, -9.69093752306299, 7.439013855128329, -9.435558186718836, 210.8955487637384, -8.977067558846926, 56.84480282475719, -9.11507317054067, 263.64241449585876, -8.49913739544247, 104.74933642467387, -8.348386997401347, 304.90433779357386, -9.39473916053085, 140.19446695266515, -10.404012730917502, 333.26341208407274, -12.651269040248302, 169.3277326886014, -15.695608256779224, 5.907245903709034, -18.546734954831493, 205.04242185422535, -22.266787675204412, 45.13809356951165, -27.105015498033666, 243.8857857568151, -34.64736120305423, 101.5986037915704, -39.80976794270581, 359.64096637106405, -37.774148944134254, 251.2942434827021
-22.058966776797924, 275.9429598810312, -21.942279702758754, 116.42834331606362, -21.593453313607252, 310.5093841634756, -21.220047647723916, 155.00069540028292, -21.891037134589514, 3.262530604621069, -20.282906484019314, 206.5280922365776, -19.117513615065775, 65.44474995729098, -18.203928288098812, 264.3342411043368, -14.413982560332945, 108.28139606814412, -13.154188535790208, 313.5391567938041, -11.150065031089767, 140.39803524602124, -8.412685118630947, 339.1756683356764, -9.213695415083743, 171.84076256628762, -8.451658953746644, 0.015789624702431698, -8.497385451162438, 204.99509930632425, -9.52035098913749, 40.80852423047699, -9.483268369371189, 239.78060804204887, -11.045068592724995, 93.3986637610519, -11.866067194795233, 297.66820475237427, -10.915171698262174, 152.46528687594918, -10.95669983423474, 1.3874362428199787, -10.867334920332839, 205.6902538114176, -10.459382870011504, 56.258545322782886, -10.598388224422632, 263.31018814236256, -9.67568536762192, 104.7700297106997, -9.414520109782377, 303.540318088416, -10.309035658328218, 141.4943069627834, -11.208917971029411, 336.5317175412408, -13.58164118596189, 173.17531054012167, -16.688309871019186, 12.112053789869469, -19.893454348512527, 221.310944643812, -23.336763373448633, 73.51874080607186, -26.457408398696355, 289.91237426716845, -29.878485060600983, 148.23456244224272, -33.06627297340877, 6.963033140495748, -36.49881464564204, 236.69709921887278
-28.50283938294584, 140.01907903588645, -28.558888703226465, 333.67905745008477, -27.364290290713633, 169.27950022706338, -26.19481394134311, 12.151817255216816, -25.058931236551032, 212.00433325641134, -21.914927475999463, 52.93158578223031, -20.182571791551478, 258.27663723673066, -17.19861355561703, 93.7742704594853, -13.74520524848359, 294.4045649788781, -12.091821365562641, 130.4193443704228, -10.066607725842378, 317.2746216488905, -9.455583825898922, 154.53044949305232, -9.798209749177726, 346.9722305735661, -10.387230091734219, 184.33326545894425, -11.185070994595009, 31.153486575365328, -12.122052524593698, 236.19528183772167, -12.007063452905253, 81.836907587092, -12.188438742137945, 293.4480812754905, -12.694541358903045, 138.26060493207268, -12.172607769664081, 346.12275737172047, -12.261825234378296, 193.79748496320963, -12.816087441070117, 35.440717648684135, -12.935721681500397, 243.70177206376587, -12.892618066132579, 94.50330739917895, -11.567959353888039, 298.2704512505095, -10.585848038211868, 140.03609614563982, -10.86123574597369, 336.5569568421689, -11.091726096636457, 171.1662469815303, -12.293192480482492, 9.841601187797508, -14.064523117190035, 208.32790942057102, -16.2770836174338, 51.01524350629929, -18.544990458924797, 259.28375083765275, -20.807764990600276, 103.73841669111661, -24.550711292752876, 308.9956494470605, -30.638071500523626, 164.60768112678474, -35.60030386658452, 50.06905483162071
-25.274699667382905, 74.30244354975136, -25.220912045165583, 273.8174349020099, -24.81759782043385, 110.82867956497346, -23.752731634884384, 319.80985860961533, -23.47165518949247, 172.73114420587007, -20.70190027828874, 18.312231468816574, -18.428874831305695, 234.96883012583658, -17.061679197415447, 69.83175185756593, -13.567442066153932, 269.3969142263486, -13.09283034010721, 112.00502766264306, -12.495922009271801, 299.08619857283054, -11.251237784573043, 143.075259359931, -13.207212760131794, 343.99626940911844, -13.011224276544592, 183.30247563588534, -12.75301093396732, 39.6907788695841, -12.756796731053734, 242.96171991941438, -11.492395775408411, 84.36347548311257, -11.632235075588062, 296.09864964622, -11.533123062120401, 133.2428717443174, -10.247727147660866, 338.778290068327, -10.545948675140924, 180.327658668733, -10.963020365819782, 19.25563804375318, -11.26001201473209, 226.37419514361721, -11.931607800361814, 73.38113667429369, -11.145568400581812, 275.5424552281344, -10.820099055752788, 114.5614708019291, -11.58394820502654, 311.84829677671604, -12.361161208281235, 145.91555263538123, -14.023888072984933, 343.3986659471134, -16.29449981991461, 178.08778185522993, -19.405330961101278, 19.003752322668454, -22.967396085039027, 230.27595238111985, -25.253174665929386, 77.91973267409413, -29.343099644235235, 280.71892842611385, -33.93417888341633, 123.62344763637203, -40.391146473931414, 326.8142419270626
-28.842311957483794, 120.58401532572246, -28.834612687158042, 306.73820957596035, -27.684168398989783, 137.8529670009347, -27.085499110252552, 337.53535703268733, -26.59961819897427, 175.25296570726394, -24.27246405625415, 18.827063845332276, -23.130206784067788, 228.21233413285978, -20.89834110948591, 68.64898989064555, -17.993219400412652, 276.7242591249031, -16.44511329608878, 123.09849312730198, -13.811872600079278, 319.0373491778189, -12.266175940863311, 162.6578722565563, -11.466052217048956, 358.3753952451684, -11.133430930212931, 194.83797807816296, -11.568830741358946, 39.18996838324312, -12.559666402860941, 243.63852705088186, -12.589314379396324, 91.19101097435288, -12.778553368188366, 305.7198079077883, -13.113942713837385, 155.42535807535822, -11.903096590545765, 9.04990959040531, -10.956984606788838, 219.94969986090888, -10.272566351818968, 62.446291502646005, -9.283607044420814, 267.13107013186834, -8.65383803012581, 111.19053109199369, -7.347131025577913, 308.73367578572373, -6.576925227771758, 144.69465950125416, -7.287247077035345, 334.5265619072619, -8.426859864517835, 164.88325369274807, -10.957786258273012, 359.05676380960983, -14.158578666974249, 199.38214792994114, -16.379672694429413, 48.56131169789179, -19.052651872432563, 253.01490477225087, -22.557918519883057, 96.37029395727097, -28.686027518316564, 307.8343867472977, -35.81372886444709, 189.09057785257926, -36.725107758615216, 99.48421372239409
-29.653415233747133, 115.39416849642636, -28.72412442978551, 315.6079836592146, -27.11969854186215, 149.13039456880136, -25.43152222588713, 355.30330687484644, -24.74913565574362, 202.53561543243157, -22.00996673493976, 45.71175980570962, -19.78535576539181, 264.9928965751303, -18.156299723051756, 104.10609043241335, -13.767569997351503, 308.37181533980845, -12.020581010162733, 154.3150651547829, -9.678604517831651, 341.2059644388173, -6.700282951301806, 179.37158847780898, -7.266076576481133, 10.091906774887361, -6.589268556299403, 194.99827377617976, -7.1104137408690935, 37.28593077400476, -8.904990059608195, 234.14597344005227, -9.156886225083374, 75.45695863762322, -10.701986904653879, 291.36323397869177, -11.543477563304766, 136.4281650048504, -10.55897110956409, 352.581064476697, -10.373976977429678, 203.45920002947364, -9.83976808252757, 48.606525772300095, -8.96713281520053, 259.0378177947002, -8.456286986985951, 104.71408434180242, -7.068716869434346, 302.6816019647819, -6.612100739382738, 138.0924170847018, -7.443009076331633, 331.1418482889986, -9.062713588995903, 160.91481672247522, -12.168429280338005, 2.4198437524837977, -14.747765592176362, 206.72750439122925, -17.43415469905611, 55.802677200887075, -20.152573431825154, 270.06318448417545, -22.535470731839006, 120.36451579993094, -26.539162774597585, 333.69385682468874, -30.359576417792535, 193.150287563489, -34.382142045692355, 67.23263587295732
-20.05797205164191, 262.8571526072136, -20.94087555968408, 97.15838393602237, -20.73630715336702, 297.3048210316143, -21.038874508200074, 146.5282508969062, -21.344143257097727, 353.5998532617892, -19.556419343141965, 203.17001183939942, -18.97374176337901, 55.83946774746154, -17.025097068024998, 255.44320693990375, -14.558072358873657, 98.16828924833649, -13.624162800628355, 295.60419626644244, -11.938529094939327, 122.29934184008413, -11.41630625323607, 318.79507537538, -11.634723758488493, 150.2251394177245, -11.952547086855997, 345.9972982852538, -12.405696882034567, 190.94611548510068, -13.011064945492755, 33.20535492011625, -12.830337044159286, 236.1848615546831, -13.040733743396702, 86.86295559832433, -13.460160408013888, 292.58213352418176, -12.740829049489973, 142.17867610009372, -12.757885119210286, 351.92392720829247, -13.273628359235307, 197.26619046154505, -13.36766695432802, 48.46576356339105, -13.574626772136678, 261.95383924622445, -12.566369443303715, 109.06257305592821, -11.859114560384187, 314.08336859354154, -12.20221026472412, 152.5581049195082, -12.720957181085716, 348.39579843680394, -14.665716479173746, 186.5567426285441, -17.40180503989447, 27.69159407459462, -19.865467730377574, 236.00657328022987, -22.539766417391114, 85.35078542935295, -24.84381210043184, 292.8717778613717, -28.654718620496567, 140.32113818446007, -34.38140078135461, 5.666413387285797, -35.802664562441, 258.86130443942676
-20.72899205638415, 252.8810753586231, -20.865902239032565, 91.84067244318382, -20.671695773253596, 284.60277211436346, -20.22511578960448, 125.67965270836511, -20.871720200966276, 329.261757862952, -19.404538650035597, 167.6495111293129, -18.455749310368297, 22.860606293932648, -17.956028125196475, 219.1077564894611, -14.563431719834094, 61.43795953735568, -13.758974896387555, 266.3007176540297, -12.357817338385768, 93.82859935837871, -10.247114472707219, 295.4482831410659, -11.620991749485883, 132.8388599528863, -11.175379683897301, 327.1497970409163, -11.273638447458813, 178.25616571175203, -12.186276371300576, 22.008275983361045, -11.228739893641484, 227.49926191915435, -11.59851835937404, 83.3720254925181, -11.54401287450302, 286.28834333312346, -10.045209352949252, 138.7204174438139, -9.754523576087678, 346.80098717368776, -9.299795288623358, 190.03240952446657, -8.62507236247086, 38.65298491499189, -8.54203685357374, 244.1478841725835, -7.431694389270419, 83.12087464819143, -7.007242962049904, 279.482577749341, -7.823830603269065, 113.53507472567014, -8.925518240736297, 304.91788068972687, -11.686107667603942, 141.3944625464042, -14.318610251735693, 342.1168535548447, -16.63229192554567, 187.88681000381493, -19.279904184122337, 34.247776690538664, -21.81866067936142, 239.2821141745514, -25.90092139579013, 87.64024664860614, -29.640704101354718, 303.9535129051797, -31.611473752064725, 167.7176785125277
-29.612330426997453, 166.58974671309247, -30.01281852517306, 358.4816101205365, -29.230298803612435, 187.530578299108, -29.480464791222726, 20.98895835608617, -30.24910022638608, 213.72900568478224, -28.9837931476098, 53.34955011194343, -28.254478679497474, 262.07396823519724, -25.26663150942136, 104.50862467937337, -21.254424147736984, 311.05069623041936, -18.846025328653614, 154.2039253815888, -15.677546191429247, 345.4923199017316, -13.982452255789045, 185.73008686796138, -13.174858472463477, 19.230572662577252, -12.820676516743193, 214.07907403651268, -13.220517990217239, 56.31973199711728, -14.517358129864293, 258.92357340559386, -14.989047723537352, 106.42690581286837, -15.396391833235064, 323.12004973603433, -15.590635813539668, 174.17143339626324, -14.32310010800622, 27.144366329275467, -13.434754542349449, 236.70887160394113, -12.987136746135482, 76.91370617058058, -12.448342492553001, 279.22604223819917, -12.598162267863863, 122.59056328892952, -11.906441218906947, 322.26340681212207, -11.490754136814294, 161.20566294541948, -12.356782477186048, 354.97030039900915, -13.437598904973578, 188.49517951567867, -15.143704522776085, 25.099783322988113, -17.83854937206875, 222.7257794678097, -21.043786804131482, 69.3812922371669, -24.222038281423742, 279.5882592211759, -27.838203241715057, 133.37968744964903, -32.24802545693065, 355.8003270483954, -36.608685442972835, 233.76930609775212, -38.1003326084708, 126.96128716409994
