Patch_39_L1B1_12_12_even_co_29Ghz,Patch_39_L1B1_12_12_even_cross_29Ghz,Patch_39_L1B1_12_12_odd_co_29Ghz,Patch_39_L1B1_12_12_odd_cross_29Ghz,,Patch_42_L1B1_12_12_even_co_29Ghz,Patch_42_L1B1_12_12_even_cross_29Ghz,Patch_42_L1B1_12_12_odd_co_29Ghz,Patch_42_L1B1_12_12_odd_cross_29Ghz,,Patch_46_L1B1_12_12_even_co_29Ghz,Patch_46_L1B1_12_12_even_cross_29Ghz,Patch_46_L1B1_12_12_odd_co_29Ghz,Patch_46_L1B1_12_12_odd_cross_29Ghz,,Patch_47_L1B1_12_12_even_co_29Ghz,Patch_47_L1B1_12_12_even_cross_29Ghz,Patch_47_L1B1_12_12_odd_co_29Ghz,Patch_47_L1B1_12_12_odd_cross_29Ghz,,Patch_50_L1B1_12_12_even_co_29Ghz,Patch_50_L1B1_12_12_even_cross_29Ghz,Patch_50_L1B1_12_12_odd_co_29Ghz,Patch_50_L1B1_12_12_odd_cross_29Ghz,,Patch_57_L1B1_12_12_even_co_29Ghz,Patch_57_L1B1_12_12_even_cross_29Ghz,Patch_57_L1B1_12_12_odd_co_29Ghz,Patch_57_L1B1_12_12_odd_cross_29Ghz,,Patch_63_L1B1_12_12_even_co_29Ghz,Patch_63_L1B1_12_12_even_cross_29Ghz,Patch_63_L1B1_12_12_odd_co_29Ghz,Patch_63_L1B1_12_12_odd_cross_29Ghz,,Patch_71_L1B1_12_12_even_co_29Ghz,Patch_71_L1B1_12_12_even_cross_29Ghz,Patch_71_L1B1_12_12_odd_co_29Ghz,Patch_71_L1B1_12_12_odd_cross_29Ghz
7.0671506,-3.190604,7.9304142,-6.8736935,,5.4382839,-5.4308152,2.9889839,-4.6376286,,7.6637959,-17.866638,0.97850084,-10.267365,,2.9687881,-13.145313,2.2918239,-22.365107,,0.55937403,-17.687159,3.526536,-14.875465,,2.3527825,-11.217279,1.93768,-12.425607,,8.3014793,-9.9379339,-1.0267298,-0.96474564,,3.6011653,-14.571639,-0.54681987,-18.370979
8.5386782,-0.85437179,9.8799706,-4.5071793,,7.5411935,-3.0901411,5.1437192,-2.6094429,,9.6564436,-16.215117,3.0043509,-8.1645718,,5.0716324,-11.617837,4.6797104,-17.817705,,2.6656051,-13.152829,5.8267698,-12.052294,,4.3824787,-8.0760155,4.7145371,-12.243289,,10.395074,-8.949296,2.496664,0.16303323,,5.6779599,-12.939488,2.0424459,-14.65723
10.104486,1.2360748,11.276875,-2.854665,,9.7405672,-0.12528561,6.8173938,-0.48180676,,11.645408,-13.603022,5.0417347,-5.9372892,,7.1880155,-11.031258,6.7371197,-15.681566,,4.2452903,-10.574229,7.7470207,-11.719413,,6.6453443,-5.156981,6.7614641,-9.0672197,,11.984587,-11.086884,5.108108,0.57517731,,7.6608343,-11.466303,4.3002486,-13.23572
10.790951,3.0351584,11.953005,-1.6802253,,11.477768,1.5895866,7.9361939,0.34986007,,12.813457,-12.558692,6.2325921,-5.2197208,,8.78125,-10.479435,8.2645998,-15.445145,,5.2032542,-7.8286247,8.8887739,-11.068273,,8.2592278,-2.9519298,8.299571,-9.1009674,,12.603114,-10.241318,6.5493455,-0.40026024,,9.126296,-11.570227,6.160789,-11.836627
11.315935,3.8630688,13.030513,-0.34646443,,12.916293,2.8880477,9.4429417,0.97775644,,13.638183,-11.491336,7.3762026,-4.1416082,,10.076766,-12.088058,9.6776533,-12.234232,,6.3135085,-6.9154224,9.9082375,-11.313099,,9.0322189,-2.409853,9.7190208,-7.8877635,,12.821651,-12.475101,7.6041031,-0.44812486,,10.412837,-11.560726,7.643795,-10.380075
11.54889,4.6639638,13.83723,0.66849095,,13.930429,4.2543473,10.748617,1.7155657,,14.227412,-9.1545343,8.4653225,-3.3658793,,10.950001,-12.186345,11.031339,-11.942101,,7.6824045,-7.4677453,11.026905,-12.908134,,9.6033459,-1.3228402,11.198966,-8.2305317,,12.717069,-9.1857214,8.1542273,-0.074038327,,11.497934,-10.636504,9.1075945,-8.6841621
11.672661,5.0285225,14.544272,1.4979914,,14.683656,4.7954531,11.863196,2.120728,,14.641271,-7.5398278,9.1310606,-4.0376029,,11.97338,-13.714402,12.230663,-10.57306,,8.7536325,-7.8636055,11.794242,-12.101337,,9.6266327,-1.4916111,11.976274,-7.3660674,,12.722242,-9.687747,8.1684647,0.15578137,,12.751443,-10.213209,10.517074,-7.4042716
11.420419,5.0556655,14.613307,0.78700078,,15.04994,5.6399584,12.195789,2.4173238,,15.065073,-6.7967119,9.3683262,-4.3382034,,12.505943,-14.839688,12.625886,-10.180654,,9.5076637,-7.0995059,12.232115,-11.99194,,9.6250734,-1.5052694,12.144048,-7.1658964,,12.732738,-7.6311612,7.4771161,1.2137359,,13.660591,-8.1058207,11.204296,-6.7433028
11.344863,5.0380106,14.553978,1.3907568,,15.239664,5.3519583,12.287406,1.9770834,,15.139317,-7.1690388,9.4945803,-4.7821832,,13.06839,-12.946156,13.069568,-11.017689,,10.021571,-6.7405024,12.368567,-11.224702,,9.851222,-3.5587106,12.152841,-7.2766895,,12.959625,-10.267886,6.711174,0.74939609,,14.374667,-6.5812583,11.70252,-5.8832226
11.043727,4.1570811,14.574069,0.49627522,,15.0234,5.4414425,12.294827,2.6914067,,15.103715,-6.1491857,9.4339685,-8.0666924,,13.151795,-14.975124,13.32278,-11.606003,,9.9113626,-7.671133,12.6221,-11.637617,,9.6381731,-5.3374324,11.962895,-8.0814438,,13.103272,-9.2965994,6.3100319,1.1482762,,14.786312,-5.3859482,12.326935,-6.0515947
