RFIC Number,H- Feed,H- Port Number,V-Feed,V- Port Number,Patch Number ,,,Odd,Even
7,CH3_H,2,CH3_V,1,1,,,CH3_V,CH3_H
10,CH0_H,4,CH0_V,3,2,,,CH0_V,CH0_H
6,CH0_H,5,CH0_V,6,3,,,CH0_H,CH0_V
3,CH3_H,7,CH3_V,8,4,,,CH3_H,CH3_V
7,CH2_H,9,CH2_V,10,5,,,CH2_H,CH2_V
7,CH0_H,11,CH0_V,12,6,,,CH0_H,CH0_V
7,CH1_H,14,CH1_V,13,7,,,CH1_V,CH1_H
10,CH1_H,15,CH1_V,16,8,,,CH1_H,CH1_V
10,CH2_H,18,CH2_V,17,9,,,CH2_V,CH2_H
6,CH1_H,20,CH1_V,19,10,,,CH1_V,CH1_H
6,CH3_H,22,CH3_V,21,11,,,CH3_V,CH3_H
6,CH2_H,23,CH2_V,24,12,,,CH2_H,CH2_V
3,CH2_H,26,CH2_V,25,13,,,CH2_V,CH2_H
3,CH1_H,27,CH1_V,28,14,,,CH1_H,CH1_V
4,CH0_H,29,CH0_V,30,15,,,CH0_H,CH0_V
4,CH2_H,31,CH2_V,32,16,,,CH2_H,CH2_V
8,CH2_H,34,CH2_V,33,17,,,CH2_V,CH2_H
11,CH2_H,35,CH2_V,36,18,,,CH2_H,CH2_V
11,CH3_H,38,CH3_V,37,19,,,CH3_V,CH3_H
10,CH3_H,39,CH3_V,40,20,,,CH3_H,CH3_V
12,CH1_H,42,CH1_V,41,21,,,CH1_V,CH1_H
9,CH3_H,44,CH3_V,43,22,,,CH3_V,CH3_H
9,CH1_H,46,CH1_V,45,23,,,CH1_V,CH1_H
5,CH0_H,47,CH0_V,48,24,,,CH0_H,CH0_V
2,CH1_H,50,CH1_V,49,25,,,CH1_V,CH1_H
2,CH0_H,51,CH0_V,52,26,,,CH0_H,CH0_V
1,CH0_H,54,CH0_V,53,27,,,CH0_V,CH0_H
3,CH0_H,56,CH0_V,55,28,,,CH0_V,CH0_H
1,CH2_H,57,CH2_V,58,29,,,CH2_H,CH2_V
4,CH1_H,60,CH1_V,59,30,,,CH1_V,CH1_H
4,CH3_H,62,CH3_V,61,31,,,CH3_V,CH3_H
8,CH0_H,64,CH0_V,63,32,,,CH0_V,CH0_H
8,CH1_H,65,CH1_V,66,33,,,CH1_H,CH1_V
8,CH3_H,67,CH3_V,68,34,,,CH3_H,CH3_V
11,CH0_H,69,CH0_V,70,35,,,CH0_H,CH0_V
11,CH1_H,72,CH1_V,71,36,,,CH1_V,CH1_H
12,CH3_H,73,CH3_V,74,37,,,CH3_H,CH3_V
12,CH2_H,76,CH2_V,75,38,,,CH2_V,CH2_H
12,CH0_H,77,CH0_V,78,39,,,CH0_H,CH0_V
9,CH2_H,79,CH2_V,80,40,,,CH2_H,CH2_V
9,CH0_H,81,CH0_V,82,41,,,CH0_H,CH0_V
5,CH1_H,84,CH1_V,83,42,,,CH1_V,CH1_H
5,CH3_H,86,CH3_V,85,43,,,CH3_V,CH3_H
5,CH2_H,87,CH2_V,88,44,,,CH2_H,CH2_V
2,CH3_H,90,CH3_V,89,45,,,CH3_V,CH3_H
2,CH2_H,91,CH2_V,92,46,,,CH2_H,CH2_V
1,CH1_H,93,CH1_V,94,47,,,CH1_H,CH1_V
1,CH3_H,96,CH3_V,95,48,,,CH3_V,CH3_H
