OP_230607-19_19_11-None_QR00006-ES2c_TSW_1p14p491_CCG24_PCG24-CGNone_None_biasNone_p-40_rx_Beam2_HV_17.7_21.2_GHz_both_21.2_GHz_45C
cal_frequency:,21.2
date time, 07-06-23 19:19:11
itcc_runner_version, 1.2.5356
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo_Orig
lens_assembly name, None
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.14.491
# Initial attenuation, 5
# Terminal series, s2000
f_s, 17.7
f_e, 21.2
# f_c, 21.2
Source power [dBm], -40
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,42.890566277777786
barcodes,00006-ES2c_TSW_1p14p491_CCG24_PCG24
17.7,, 17.8,, 17.9,, 18.0,, 18.099999999999998,, 18.2,, 18.3,, 18.4,, 18.5,, 18.599999999999998,, 18.7,, 18.8,, 18.9,, 19.0,, 19.099999999999998,, 19.2,, 19.3,, 19.4,, 19.5,, 19.599999999999998,, 19.7,, 19.8,, 19.9,, 20.0,, 20.1,, 20.2,, 20.3,, 20.4,, 20.5,, 20.6,, 20.7,, 20.8,, 20.9,, 21.0,, 21.1,, 21.2
26.60880352493149, 109.97474808450485, 27.663878620687434, 21.592969569044605, 28.7387049438738, 294.18102122202026, 29.789379553391626, 205.07716483851618, 30.684245520681102, 115.89849469111893, 31.27850784595936, 27.198443583620687, 31.957919423918252, 300.07684262186876, 32.30477086107717, 212.18288029747325, 32.99771333042672, 126.25635279969754, 33.857156864029214, 37.75646783809197, 34.08117455373785, 306.7822522439836, 34.205851557615674, 218.64789799960906, 33.991213579026095, 129.34366163245477, 33.81892591154319, 43.61913922032813, 33.74242240272644, 316.03174263112317, 33.23460438094048, 229.01543175406255, 32.73087249189507, 143.57381869145956, 32.00768107924884, 58.92408729959548, 31.66838965256612, 335.3775286241753, 31.096055441923397, 250.58327738442767, 30.325013525349274, 166.9907736987393, 29.660028248123872, 85.88327515189715, 29.250238169253, 4.355565927591351, 28.88084666810148, 282.13074869630884, 28.65242072562761, 200.75627015226385, 29.155338552986233, 116.75101681488553, 28.765502970883702, 24.485999371363945, 27.616057639313944, 295.0806666057541, 26.6413218312423, 208.13084655851304, 25.736190106953238, 116.34541259494874, 23.936662652685747, 23.411013140817946, 21.810328423315774, 287.6899608764635, 18.43830701994655, 187.88975435496204, 12.124783306404467, 78.58856517785897, -1.8259760836838241, 3.8510433708083998, -6.520429681674791, 0.39408715252787613
28.249850291329643, 143.05253188797076, 28.948412776826675, 54.45296917890332, 29.497188878920735, 329.3378108070506, 30.401658444584868, 242.81203017369944, 31.1800645703048, 155.38725271938702, 31.857423718762817, 69.38997579701179, 32.70334996003627, 344.3736813430863, 33.328759594571224, 258.00358336876343, 34.33569867453852, 173.64101441204448, 35.77718983764457, 84.77913001972476, 36.55980314611235, 351.82624970579286, 36.707155442346014, 258.60005681795235, 35.93885215878928, 167.61962004414994, 35.725473617335155, 86.00375174212623, 36.66296624633627, 357.2066541554311, 36.19265556915212, 262.3682581578986, 35.14064847891457, 176.15499814154947, 35.10392786934993, 90.0378374385808, 34.663568094108754, 358.6132526371643, 33.07301519348925, 267.89996954719663, 31.49740784558199, 184.7622386757232, 30.499288298050317, 102.90902375435444, 29.730719652385318, 17.562950937352564, 28.24324778317113, 292.5467338077031, 26.82260806125138, 211.85113953853372, 26.142861379392414, 131.40565429718464, 25.034088230568692, 44.701094745571766, 23.230746460236137, 319.38416035463183, 21.251287349058025, 238.47696177567093, 19.667662036128664, 156.4391610903087, 17.999733628368645, 79.07062312501115, 17.701591780136198, 353.04049968203105, 15.197362016924437, 256.5020510904654, 9.427944000646308, 161.11606814317307, 4.005543093318517, 107.15704241203684, 0.803711915359649, 39.816566452690765
23.11249057774773, 226.83584542664212, 24.139616804375088, 141.1477628448455, 25.574817660321028, 56.7530930249662, 26.9338160201459, 328.50732860113646, 27.891639206479542, 241.22221000525207, 29.180013459862902, 156.31631269706975, 30.626668562013933, 67.55842157919913, 30.938768454908555, 339.02994988969346, 31.94671517010745, 257.8271063862753, 34.27519255554596, 168.97027246484893, 34.92265294886414, 71.09216198987859, 34.483390079926146, 344.6013892542779, 35.85759423597205, 260.6583955055422, 36.926339351601676, 162.21009833526526, 35.92331577553686, 71.16479253139048, 35.980139756335234, 347.13785003719835, 36.74004230777299, 256.1542629824952, 35.62206807156723, 160.16528903909207, 34.431018299230026, 77.65159628885996, 34.26042735795128, 354.5170212476816, 34.0414446698435, 267.37901946582997, 33.4583352421162, 181.49590307844923, 32.75662869417039, 96.66903097722103, 32.32483232470771, 14.908628297359632, 32.64938520882752, 291.07972086765454, 33.07742061600744, 200.19131342095923, 32.020506070521805, 106.58166807642178, 30.944826804651875, 18.94075873691711, 30.267747755018327, 287.84522602318884, 28.67502134885759, 189.8449264679683, 25.888123375392546, 96.38023070283785, 22.34598864964628, 9.188133590766911, 18.422251080018253, 284.52719639864205, 14.162719858735194, 204.20678983913444, 9.328169645503724, 133.57189522387722, 4.697945148990413, 76.66496814143082
24.011181080777888, 159.0774692745645, 25.192661066578175, 69.65925362737892, 25.959680670080985, 343.87019469975826, 27.045329989288195, 257.4891768872812, 28.483379594496693, 167.73579186395102, 29.010458006789076, 75.44262071176156, 28.9066939350136, 346.3326434032317, 28.682343394205713, 262.3827073261051, 29.16643981215355, 178.65672027549405, 29.472032480077296, 92.06850744846423, 29.391588014648367, 8.352225063232204, 29.636396630642924, 285.32894560503195, 29.671988127711842, 202.4162782779396, 30.058140956088483, 122.38263708387758, 31.01311151655864, 39.68982509493993, 31.752725728198122, 314.5472809882297, 32.18514864044782, 228.04815133569895, 32.556478066789936, 144.08442983534175, 33.34667562557512, 59.05615926264678, 33.733399595593376, 329.1688637464778, 33.99531480085861, 241.70230657300834, 34.457616598446755, 152.162120876211, 34.21050156662534, 59.02636886443601, 33.31484655150083, 329.6263675679889, 32.93431678999798, 244.21771323390846, 33.04247959607212, 152.80601027992319, 31.778585017291824, 57.42987226073931, 30.219933202613333, 328.163351592626, 28.61536415441019, 239.4448409386628, 27.631899985011906, 148.71367769041115, 25.094974275935698, 52.28904411256913, 20.9385706519505, 322.775010809034, 17.325671886577464, 250.95603268398156, 15.19143272467934, 172.89426651405148, 13.08714971165249, 88.21762966115203, 8.84702529987747, 3.3588975498218945
27.728300201851958, 286.7346242765884, 29.179261506379163, 197.38768742476583, 30.127559960779866, 109.30890350275261, 31.511910195600713, 21.206572696506687, 32.87855139997284, 288.44771436887953, 33.19751075525567, 195.706236042458, 33.59914199751418, 108.77769137828327, 34.12737955965228, 18.64820146397847, 34.32861769152262, 287.79278429455854, 34.18369095993469, 199.46930290247022, 34.08666759909141, 111.63554047840476, 34.10457087197544, 24.526318562966367, 33.67674851696624, 295.11936335888026, 32.83329216169912, 212.48514272515595, 33.03068612732828, 130.35849528713953, 33.05171908316452, 42.923600352775594, 32.35927133880499, 316.1328649470538, 31.547014880278546, 234.8684850430152, 31.87223831776255, 153.7601548115744, 31.75142489240267, 63.06868116352913, 30.460688135377552, 338.69387098989927, 29.800219440585135, 257.2010547459979, 29.128949218918553, 176.43506794980027, 28.7526745314699, 97.93185026983177, 29.354261162952536, 13.737266321962448, 28.908178486488314, 286.72126872370575, 28.392114237576365, 200.20474136991854, 28.12850233535506, 113.91423421447563, 27.391709992156052, 23.411703244818288, 26.57847977330367, 291.2209996383222, 25.181702606716826, 198.85237850346934, 23.370766811958916, 101.80180840554245, 20.068066212387482, 358.4769667174159, 13.403790745722237, 251.9963947682863, 0.9800099220144188, 187.6262290653378, -2.3161869455752297, 161.04226351166096
26.210153806406566, 299.30286850897903, 27.182933777150694, 210.52165191258317, 27.584909326000172, 126.6786232660038, 28.602813409742296, 41.790100286163735, 29.692595693906906, 315.5123671908388, 30.424527200617586, 229.7429104216496, 31.34564451317012, 146.33720248947142, 32.25567190540236, 60.644023654272196, 33.35057525260232, 335.67526063037263, 34.59854894684929, 249.83802694154207, 36.1338419000802, 160.98150272020135, 37.012180927708876, 64.95194814148637, 36.6105412916647, 333.11961411369947, 36.882875417034484, 248.20462305141857, 37.77866818845717, 154.1048844936418, 36.97426074947896, 57.95122087480991, 36.02231684568834, 328.9081001580311, 35.06416249677982, 240.3810977113115, 33.99762270983736, 154.49366293314566, 32.891964713860425, 66.98254272286906, 31.715827783744814, 342.60004079389796, 30.586811308691676, 258.47928288027157, 29.197233964939933, 173.19307030994304, 27.378419181887267, 91.56881241322598, 25.94739004568439, 15.500735461626592, 25.229847407179122, 298.3081019565584, 24.763870066841108, 217.7184172670123, 24.133322507270538, 139.47480206051605, 23.789624543527992, 57.06760998199816, 23.838206100029502, 330.83899264551934, 23.158915606126946, 238.27090569657662, 21.813246271117855, 140.86673161362936, 18.451108357859347, 36.897007054906055, 12.159403604763064, 290.3076337472794, -20.977881992129962, 287.1824052906854, 3.7864826899588784, 243.1258275138161
23.8394125339498, 154.5295781773445, 24.903859822376457, 68.56873910903391, 25.744879150618498, 342.9494038147751, 26.822244546887642, 256.95207252200726, 27.915617576747533, 170.2298261097914, 28.431360524070858, 83.45349576942392, 29.108030551277505, 0.3317671667288639, 29.996162251352708, 276.1844731756055, 31.193068708246336, 191.1619198259428, 32.3920742511046, 102.35047088536714, 32.8711731987008, 13.980206231891025, 33.76842103009524, 285.0536199967869, 33.67397407450463, 192.59841587413936, 33.560281690180915, 109.25371379491897, 34.46456362405124, 19.604063771922835, 33.81776195509944, 286.03481034344713, 33.072953173309, 201.91048203459664, 32.925806929385416, 115.02150253985026, 32.34604422156078, 27.024696185715843, 31.463387893887056, 300.9450950988619, 30.61539768218585, 217.98221895341672, 30.09944279359402, 132.6332915977029, 29.146785478837543, 47.08496639635045, 27.724026879945992, 323.8778714353271, 26.918867125325093, 246.23658158441773, 26.89923909101157, 164.77201921754542, 26.32889177237594, 75.47217374262969, 25.31558064760179, 348.9203851561064, 23.230683324180173, 261.34693299406365, 21.46122721803183, 178.12233890418076, 19.50489661529758, 97.93692145305994, 17.450430615261034, 17.35469787445991, 16.059501478739225, 298.16113215295354, 13.516921304071177, 210.06822648317382, 9.980933171388426, 127.54072512649822, 4.786597919707466, 55.94912630390553
23.902870565238693, 95.15142752372886, 25.532600020927312, 3.9785077634855748, 26.4825628261543, 274.48199947334854, 27.68170072473562, 185.43949745936408, 28.870473211150525, 92.70678819342251, 29.216635285868044, 0.5492122328698811, 29.25123532397112, 272.2418363553803, 29.202965824278152, 186.5149456329364, 29.572758383172637, 101.76957657982236, 30.11934538044143, 14.510777375161892, 30.076000635966864, 287.1708430726291, 29.938686065835498, 202.13527151233322, 29.90359082183243, 117.66670908149324, 29.571522518224114, 34.925051939794294, 29.730974767135745, 315.10049795440034, 30.356446154231143, 233.23573657558802, 30.812256002929704, 146.87526362174702, 30.784898999204763, 62.680206907231984, 31.085073582724227, 338.79933743683574, 31.08031270065954, 253.51073805380702, 31.286858625101218, 169.52488978164249, 31.148222175625484, 83.30300235577548, 30.917851383010877, 357.9441451251891, 30.98227936020516, 273.9489994396935, 31.016959169526153, 187.42329124839063, 31.15832884856676, 98.1247737062197, 30.351909559956415, 5.397190062602884, 29.333327921327058, 277.26634104134735, 28.415651763621064, 186.6712730676126, 27.00694259409845, 92.1946977643624, 24.522095359256436, 357.41136658782574, 20.42187572669375, 268.8827030748649, 16.89761802810526, 193.40367297746104, 14.07449265554246, 111.95727630353085, 9.957082978309385, 35.08737016807453, 7.476780331443914, 325.35893731561305
22.172295330044534, 232.99757344626786, 23.82170252843746, 146.10898378123116, 25.33586450435411, 58.5209668174555, 26.76887899735995, 327.95818731578015, 27.740469547649322, 237.54924777131924, 28.32072498828911, 146.03441735416862, 28.83590970231731, 56.19867398499365, 28.315532638055565, 327.0500044175711, 28.260465935579408, 242.44104931795852, 28.79638351222102, 156.02465648170525, 28.367338927396204, 65.82030061693872, 27.34555525157209, 342.1602619038434, 27.11276482075499, 265.7485121322524, 27.72956819151418, 182.30216394921635, 27.1711318230081, 98.33484865705337, 27.099478485723058, 22.663975211238576, 28.30507955410217, 302.30622741382194, 28.721518912452154, 214.47937420916634, 28.790756848417747, 130.02030726169443, 28.99342631097762, 45.22597349302567, 29.563447201431117, 317.939620829702, 29.06676648218266, 223.97987629840227, 27.663086602043773, 134.71903859426715, 26.196012789754583, 50.54665630226063, 24.58275349043342, 327.05416403710024, 23.03166805791807, 247.0627138210387, 20.77512645789088, 170.00300693272746, 19.983875966243893, 100.279577177514, 20.065137614574105, 31.050607255343845, 21.41452227309522, 311.32011118379165, 22.542559156310105, 222.56881452379338, 22.24409611382982, 130.22096434881212, 21.36717200668075, 29.88917581695321, 18.489385263262744, 289.0303190195409, 12.768768335717162, 189.25566950861307, 4.820748293567885, 121.73209545165894
