Lens and feed coordinates within the array global CS and probe rotation angle - Lens: Mrk1TxPCBv4_MockUpOnlyGoodForCalGeom - Array geometry: Mrk1_S2000_TLM_TX_ArrayGeometry_V20062022.csv - Array Tool Version 13102022,,,,,,,,,
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
1,1,0,-37.5,1.25,-35.34,315,45,45,0
1,2,0,-37.5,-3.75,-35.34,315,315,45,0
1,3,0,-37.5,-1.25,-39.66,315,45,45,0
1,4,0,-37.5,3.75,-39.66,315,315,45,0
1,5,0,-37.5,6.25,-35.34,315,45,45,0
1,6,0,-37.5,3.75,-31,315,315,45,0
1,7,0,-37.5,-1.25,-31,315,45,45,0
1,8,0,-37.5,-6.25,-31,315,315,45,0
1,9,0,-37.5,-8.75,-35.34,315,45,45,0
1,10,0,-37.5,-6.25,-39.66,315,315,45,0
1,11,0,-37.5,-3.75,-43.99,315,45,45,0
1,12,0,-37.5,1.25,-43.99,315,315,45,0
1,13,0,-37.5,6.25,-43.99,315,45,45,0
1,14,0,-37.5,8.75,-39.66,315,315,45,0
1,15,0,-37.5,11.25,-35.34,315,45,45,0
1,16,0,-37.5,8.75,-31,315,315,45,0
1,17,0,-37.5,6.25,-26.68,315,45,45,0
1,18,0,-37.5,1.25,-26.68,315,315,45,0
1,19,0,-37.5,-3.75,-26.68,315,45,45,0
1,20,0,-37.5,-8.75,-26.68,315,315,45,0
1,21,0,-37.5,-11.25,-31,315,45,45,0
1,22,0,-37.5,-13.75,-35.34,315,315,45,0
1,23,0,-37.5,-11.25,-39.66,315,45,45,0
1,24,0,-37.5,-8.75,-43.99,315,315,45,0
1,25,0,-37.5,-6.25,-48.33,315,45,45,0
1,26,0,-37.5,-1.25,-48.33,315,315,45,0
1,27,0,-37.5,3.75,-48.33,315,45,45,0
1,28,0,-37.5,8.75,-48.33,315,315,45,0
1,29,0,-37.5,11.25,-43.99,315,45,45,0
1,30,0,-37.5,13.75,-39.66,315,315,45,0
1,31,0,-37.5,16.25,-35.34,315,45,45,0
1,32,0,-37.5,13.75,-31,315,315,45,0
1,33,0,-37.5,11.25,-26.68,315,45,45,0
1,34,0,-37.5,8.75,-22.34,315,315,45,0
1,35,0,-37.5,3.75,-22.34,315,45,45,0
1,36,0,-37.5,-1.25,-22.34,315,315,45,0
1,37,0,-37.5,-6.25,-22.34,315,45,45,0
1,38,0,-37.5,-11.25,-22.34,315,315,45,0
1,39,0,-37.5,-13.75,-26.68,315,45,45,0
1,40,0,-37.5,-16.25,-31,315,315,45,0
1,41,0,-37.5,-18.75,-35.34,315,45,45,0
1,42,0,-37.5,-16.25,-39.66,315,315,45,0
1,43,0,-37.5,-13.75,-43.99,315,45,45,0
1,44,0,-37.5,-11.25,-48.33,315,315,45,0
1,45,0,-37.5,-8.75,-52.66,315,45,45,0
1,46,0,-37.5,-3.75,-52.66,315,315,45,0
1,47,0,-37.5,1.25,-52.66,315,45,45,0
1,48,0,-37.5,6.25,-52.66,315,315,45,0
1,49,0,-37.5,11.25,-52.66,315,45,45,0
1,50,0,-37.5,13.75,-48.33,315,315,45,0
1,51,0,-37.5,16.25,-43.99,315,45,45,0
1,52,0,-37.5,18.75,-39.66,315,315,45,0
1,53,0,-37.5,21.25,-35.34,315,45,45,0
1,54,0,-37.5,18.75,-31,315,315,45,0
1,55,0,-37.5,16.25,-26.68,315,45,45,0
1,56,0,-37.5,13.75,-22.34,315,315,45,0
1,57,0,-37.5,11.25,-18.02,315,45,45,0
1,58,0,-37.5,6.25,-18.02,315,315,45,0
1,59,0,-37.5,1.25,-18.02,315,45,45,0
1,60,0,-37.5,-3.75,-18.02,315,315,45,0
1,61,0,-37.5,-8.75,-18.02,315,45,45,0
1,62,0,-37.5,-16.25,-22.34,135,315,45,0
1,63,0,-37.5,-18.75,-26.68,315,45,45,0
1,64,0,-37.5,-21.25,-31,135,315,45,0
1,65,0,-37.5,-21.25,-39.66,315,45,45,0
1,66,0,-37.5,-18.75,-43.99,315,315,45,0
1,67,0,-37.5,-16.25,-48.33,315,45,45,0
1,68,0,-37.5,-13.75,-52.66,315,315,45,0
1,69,0,-37.5,-11.25,-56.98,315,45,45,0
1,70,0,-37.5,-6.25,-56.98,315,315,45,0
1,71,0,-37.5,-1.25,-56.98,315,45,45,0
1,72,0,-37.5,3.75,-56.98,315,315,45,0
1,73,0,-37.5,8.75,-56.98,315,45,45,0
1,74,0,-37.5,16.25,-52.66,315,315,45,0
1,75,0,-37.5,18.75,-48.33,315,45,45,0
1,76,0,-37.5,21.25,-43.99,315,315,45,0
2,1,32.5,18.75,30.11,19.49,57.75,147.75,147.75,102.75
2,2,32.5,18.75,31.22,14.61,57.75,57.75,147.75,102.75
