Index, x (m), y (m), z (m), alpha (deg), beta (deg), gamma (deg), diameter (m), thickness (m), Rx, Tx, TLM, PCS
1,0.0573742,0.033125,0,300,0,0,0.15,NaN,1,0,1,1
2,0.122326,0.033125,0,77.25,0,0,0.15,NaN,1,0,1,1
3,0.0898501,0.089375,0,214.5,0,0,0.15,NaN,1,0,1,1
4,0.24,-0.032476,0,30,0,0,0.15,NaN,1,0,2,1
5,0.24,0.032476,0,167.25,0,0,0.15,NaN,1,0,2,1
6,0.18375,1.39E-17,0,304.5,0,0,0.15,NaN,1,0,2,1
7,0.212176,0.1225,0,120,0,0,0.15,NaN,1,0,3,1
8,0.147224,0.1225,0,257.25,0,0,0.15,NaN,1,0,3,1
9,0.1797,0.06625,0,34.5,0,0,0.15,NaN,1,0,3,1
10,0,0.06625,0,0,0,0,0.15,NaN,1,0,4,2
11,0.032476,0.1225,0,137.25,0,0,0.15,NaN,1,0,4,2
12,-0.032476,0.1225,0,274.5,0,0,0.15,NaN,1,0,4,2
13,0.148125,0.191608,0,90,0,0,0.15,NaN,1,0,5,2
14,0.091875,0.224084,0,227.25,0,0,0.15,NaN,1,0,5,2
15,0.091875,0.159132,0,4.5,0,0,0.15,NaN,1,0,5,2
16,0,0.245,0,180,0,0,0.15,NaN,1,0,6,2
17,-0.032476,0.18875,0,317.25,0,0,0.15,NaN,1,0,6,2
18,0.032476,0.18875,0,94.5,0,0,0.15,NaN,1,0,6,2
19,-0.0573742,0.033125,0,60,0,0,0.15,NaN,1,0,7,3
20,-0.0898501,0.089375,0,197.25,0,0,0.15,NaN,1,0,7,3
21,-0.122326,0.033125,0,334.5,0,0,0.15,NaN,1,0,7,3
22,-0.091875,0.224084,0,150,0,0,0.15,NaN,1,0,8,3
23,-0.148125,0.191608,0,287.25,0,0,0.15,NaN,1,0,8,3
24,-0.091875,0.159132,0,64.5,0,0,0.15,NaN,1,0,8,3
25,-0.212176,0.1225,0,240,0,0,0.15,NaN,1,0,9,3
26,-0.1797,0.06625,0,17.25,0,0,0.15,NaN,1,0,9,3
27,-0.147224,0.1225,0,154.5,0,0,0.15,NaN,1,0,9,3
28,-0.0573742,-0.033125,0,120,0,0,0.15,NaN,1,0,10,4
29,-0.122326,-0.033125,0,257.25,0,0,0.15,NaN,1,0,10,4
30,-0.0898501,-0.089375,0,34.5,0,0,0.15,NaN,1,0,10,4
31,-0.24,0.032476,0,210,0,0,0.15,NaN,1,0,11,4
32,-0.24,-0.032476,0,347.25,0,0,0.15,NaN,1,0,11,4
33,-0.18375,-1.39E-17,0,124.5,0,0,0.15,NaN,1,0,11,4
34,-0.212176,-0.1225,0,300,0,0,0.15,NaN,1,0,12,4
35,-0.147224,-0.1225,0,77.25,0,0,0.15,NaN,1,0,12,4
36,-0.1797,-0.06625,0,214.5,0,0,0.15,NaN,1,0,12,4
37,0,-0.06625,0,180,0,0,0.15,NaN,1,0,13,5
38,-0.032476,-0.1225,0,317.25,0,0,0.15,NaN,1,0,13,5
39,0.032476,-0.1225,0,94.5,0,0,0.15,NaN,1,0,13,5
40,-0.148125,-0.191608,0,270,0,0,0.15,NaN,1,0,14,5
41,-0.091875,-0.224084,0,47.25,0,0,0.15,NaN,1,0,14,5
42,-0.091875,-0.159132,0,184.5,0,0,0.15,NaN,1,0,14,5
43,0,-0.245,0,0,0,0,0.15,NaN,1,0,15,5
44,0.032476,-0.18875,0,137.25,0,0,0.15,NaN,1,0,15,5
45,-0.032476,-0.18875,0,274.5,0,0,0.15,NaN,1,0,15,5
46,0.0573742,-0.033125,0,240,0,0,0.15,NaN,1,0,16,6
47,0.0898501,-0.089375,0,17.25,0,0,0.15,NaN,1,0,16,6
48,0.122326,-0.033125,0,154.5,0,0,0.15,NaN,1,0,16,6
49,0.091875,-0.224084,0,330,0,0,0.15,NaN,1,0,17,6
50,0.148125,-0.191608,0,107.25,0,0,0.15,NaN,1,0,17,6
51,0.091875,-0.159132,0,244.5,0,0,0.15,NaN,1,0,17,6
52,0.212176,-0.1225,0,60,0,0,0.15,NaN,1,0,18,6
53,0.1797,-0.06625,0,197.25,0,0,0.15,NaN,1,0,18,6
54,0.147224,-0.1225,0,334.5,0,0,0.15,NaN,1,0,18,6
