RFA_240701-17_17_55-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam2_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:55
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,40.34595636842105
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
0.0, 122.5017532546563, 0.0, 196.56183138437007, 0.0, 270.7201267855364, 0.0, 344.8509868516404, 0.7521340833976492, 58.53879120828696, 1.3966585036980181, 133.1082401798998, 1.5936658485162987, 207.18982465321497, 1.6470824041761651, 278.9775301203084, 1.6002852028447272, 346.26344597401265, 1.6110099712734112, 54.10660294322718, 1.9127027849993385, 120.76624737412088, 2.623852469734973, 186.72465504893188, 2.763334597831914, 253.95277509126532, 3.309855289125691, 321.926156565362, 3.9288733679886487, 29.643145589219078, 4.591762054310735, 96.0270042117477, 5.147518418870246, 166.63896017279924, 5.557783287040295, 236.68529108404329, 2.6498768687240473, 307.20922732472803, 2.4828327422695335, 18.324736748353367, 2.161398015621347, 84.4405159356787, 2.209717055147081, 152.56382782882866, 2.247986484144087, 218.50810487798145, 5.725028117955512, 285.05412537390816, 6.334373571529265, 354.49915029831465, 6.312490226435119, 62.21883959537146, 6.288433132458863, 130.59252072530396, 6.517918851825193, 197.35843358304544, 6.789726063590545, 264.57589006930834, 6.819150730496889, 338.00107399753426, 6.805151741805748, 48.911441910860376, 6.480744102743432, 118.78428115720858, 6.237938342616461, 187.6564350488025, 5.686739310507898, 255.8210658952919, 5.759164402071155, 329.4513064783456, 5.325575378043045, 39.84537230880041
0.0, 221.7339461437762, 0.0, 293.6080438001039, 0.0, 2.8150660440361013, 0.7297779651421356, 73.97353508793063, 2.1792726652577317, 145.53923722931907, 3.194018778792917, 216.92057402107142, 4.099427202432539, 292.56944423767595, 4.677709513419224, 4.281572593546219, 5.354668217066641, 74.80669535697169, 6.027269986705781, 145.68064385802563, 6.55454598213341, 218.13428350588597, 7.139971296560027, 290.7720937140015, 7.392943759681301, 2.5972422396343786, 7.21430248040228, 72.85500823684096, 7.4433382010992215, 143.4763770636146, 7.390798684415074, 210.14806432909208, 7.920756116674172, 280.0847994363454, 7.6969168123754015, 350.54570560955557, 0.22280545200561297, 61.115059890814955, 0.0, 130.63796949997848, 0.0, 198.68254521607275, 0.0, 266.8419287104783, 0.0, 335.59412511978167, 7.23362651942315, 44.06714698930083, 6.958780219567534, 114.09160409962232, 6.534425465145875, 184.24142316522136, 5.838858771018116, 252.64883562200436, 5.272049869868056, 319.56655299724287, 4.997012170701433, 26.02096947697299, 4.464475313855928, 96.41472223144898, 3.8867588933509776, 163.33823011934757, 3.204308859559713, 229.53899447538566, 2.880701566272934, 298.59581318440723, 2.3262128561554665, 4.55926632439076, 2.066516730384292, 74.59231507182143, 1.0681138403330268, 145.47828766670614
0.0, 165.72741465162116, 0.1173758208633846, 234.27245066497443, 0.9570038653924435, 302.4384552717812, 2.4436754072087803, 12.759226363927695, 3.458265337279066, 83.70754630509154, 4.472987193022901, 157.00608283861965, 4.880649835857999, 231.849479170765, 5.122710624690324, 305.83226875502066, 5.006953902502654, 17.93028402365551, 4.834499627937782, 87.28749459690573, 4.858557609762034, 158.90564157444265, 4.907389251754814, 227.62759545281267, 4.398914898604332, 299.6727305522291, 3.6365603147292127, 12.289922186188868, 2.7740573189752338, 79.81498192843618, 2.0719601858766206, 145.02878917752727, 1.1367269937260447, 211.8411944385146, 0.4634878845621174, 273.58008139879786, 0.0, 338.17376773454635, 0.0, 41.67668405822454, 0.0, 99.40705531447861, 0.0, 159.1175673829732, 0.0, 219.4730932455416, 0.29705266352156234, 282.75476035362675, 1.2469954017134686, 352.30280524998534, 1.3477335423494985, 61.17952673758313, 0.9924893090986833, 129.10465642151684, 0.9681545076210473, 194.06627576072026, 0.9985794091490728, 259.71028536314793, 1.103000461583743, 329.22811703446934, 1.4345203071631951, 39.540526494690894, 0.8009853309047141, 110.73043893848703, 0.29052703821635056, 182.79289742483382, 0.0, 252.02016606461197, 0.0, 323.7972758065418, 0.0, 28.441950579773547
0.0, 263.4470740315193, 0.0, 332.5377883559492, 0.0, 41.58365019260702, 0.0, 111.54158358487501, 0.0, 179.91422397505474, 0.0, 249.91075859798724, 0.6086018439344811, 322.4316922244321, 0.856792029460018, 32.06117843809609, 1.401570207969813, 100.05501353277299, 1.971830546001855, 170.66651344037285, 2.311373437134657, 241.58879321947464, 2.599564491439377, 312.7569095394814, 2.3599743500508015, 23.821064927737154, 1.7830424858902105, 92.23557819601946, 1.664478341003211, 160.36881549795746, 1.0826801858043764, 226.31303792253593, 1.1823327866189741, 291.31170942014705, 0.21917565816081172, 357.9350336884911, 0.0, 61.64641532944846, 0.0, 124.13780257413475, 0.0, 186.8983023821039, 0.0, 248.76724777748933, 0.0, 310.4644903982412, 0.9393543959791193, 14.231103253742164, 1.699330518277742, 79.92720923564003, 2.233086372901224, 148.96092610227612, 2.3138778150894987, 219.4463748054443, 2.1719102539154136, 286.6851844415845, 2.298934586997629, 354.56907482345906, 1.8777215264502487, 65.4216269174778, 1.6020773727196729, 131.80977712406604, 1.2309845446000893, 196.6220517377489, 1.1421111682506464, 266.1252554430621, 0.8849687705664437, 333.5928423131847, 0.8427715660764654, 43.05781403017882, 0.0, 115.63818793924018
0.0, 213.97802325928086, 0.0, 287.4277307634982, 0.0, 0.8537357036721742, 0.0, 75.02276561180982, 0.0, 150.65613664712177, 0.0, 225.35418198234566, 0.0, 301.220631652781, 0.0, 13.589532431302365, 0.0, 83.2483210424791, 0.0, 151.1840833896776, 0.0, 217.92348675858358, 0.40837368209525465, 285.2825126274432, 0.9148808940028019, 352.58773080819367, 1.2628084121252325, 63.58501682086108, 1.8778451110151608, 132.22591687627096, 2.4273553333633533, 198.40043265845986, 2.6644845064167026, 268.1475577950124, 3.03713186382023, 337.01660487104874, 2.067090903181568, 46.47255967952804, 2.236017994798188, 117.62965177811415, 1.8854077356616852, 183.5819409876614, 2.178215033660751, 253.4473653408067, 2.359880723526451, 320.07014633494873, 3.833315836369585, 27.9111555419729, 3.9765244742792607, 98.49972691695227, 3.927813866610344, 166.0746901500937, 3.3966897384178023, 234.96082270092143, 3.300319205224276, 300.4619805587033, 3.3289553239881498, 5.380842668759159, 3.1486571578674467, 77.07621497297248, 3.440554072568328, 144.09823617520678, 3.026772644037062, 215.03552667925524, 2.8778494374711205, 281.0287719376114, 2.7200273386122236, 349.7188569554861, 2.9438540546451177, 62.75894978634179, 2.6408269973301794, 133.74015763821845
0.0, 114.12426985851313, 0.0, 181.68451172302832, 0.0, 250.79976991167575, 0.0, 323.5995186907179, 0.0, 35.071928744289856, 0.0, 107.22728371732269, 0.0, 185.40342317047427, 0.0, 257.8418003039102, 0.13534802739067747, 328.7165903023008, 0.4626851935473848, 39.4706731044718, 0.5787791878668415, 109.96605610842334, 0.709430483657314, 180.55491708568434, 0.5979677663023321, 248.93477424856502, 0.563312362100777, 314.0081287143469, 0.8256409866880798, 21.493812345974845, 0.9803395531115926, 83.60295253028241, 1.7779717940944881, 151.02015113454829, 1.917440880187197, 217.48222449379236, 0.0, 285.8110064814467, 0.0, 354.79635473487156, 0.0, 62.470653708921525, 0.0, 130.13575205761248, 0.0, 199.32197490367463, 4.463760876801367, 268.30917707956, 4.490540879655133, 338.8342755379291, 4.49925673458159, 47.775178103476534, 4.268860074162362, 117.31415476728148, 4.302575394403708, 184.6679588863599, 4.497213666658219, 253.33562446061916, 4.262461844790144, 327.01906712388296, 4.069028129717244, 35.74757331044043, 3.5923319126801276, 103.76286603130445, 3.459633797517052, 174.1405863546369, 2.8999138389000585, 243.58001945720707, 2.722002166693191, 313.9837072089239, 1.7349524950505124, 27.184150958793705
0.0, 267.7042666759185, 0.0, 333.09761841326605, 0.0, 36.40619654621249, 0.0, 103.98175652483776, 1.0085541727228822, 174.44110251937778, 2.59826835993628, 247.13037669881248, 3.6454397986074922, 322.9320076640918, 4.235832742825469, 39.21415645744225, 4.579495118802105, 112.85485763413564, 4.59925838635581, 186.5803924329417, 4.580074104706321, 260.5672323219289, 4.322874069547829, 332.7726204035286, 3.6057890059739335, 47.17488745977538, 2.6574794047215384, 120.03243850828474, 1.6175796890041765, 191.04479048171274, 0.0922193536114147, 257.9124060771916, 0.0, 324.3853503599063, 0.0, 25.532527926242352, 0.0, 78.62626487805572, 0.0, 133.35609700924041, 0.0, 182.20231492627153, 0.0, 241.40868310099688, 0.0, 300.10373516537504, 0.0, 1.4746271575299978, 0.0, 71.90942173253812, 0.26226501198926416, 140.2236409877472, 0.40064394131404363, 209.15418266184915, 0.8906598119152974, 274.8577607515406, 0.9577169501215157, 343.84761891132825, 1.2903948702058812, 56.674273061010034, 0.9740242591271178, 128.73264551339724, 0.15833188262616038, 199.23024008458137, 0.0, 264.9583443093924, 0.0, 329.9135564853934, 0.0, 37.88232144655633, 0.0, 103.76826750428775
0.0, 209.5986908762633, 0.0, 275.57332319736054, 0.0, 336.69974192595964, 0.0, 42.33839756598904, 0.0, 107.92935215140407, 0.0, 176.54427821167383, 0.0, 250.9547850352975, 0.6018577602263366, 320.34839462656385, 1.7145503376864526, 31.90102231170941, 2.4520319181170276, 100.43116005379191, 3.2745396539443523, 172.7345314190856, 3.782765968190201, 244.649778298142, 4.147911890241367, 316.6922784871516, 3.951714481810718, 26.50738241474181, 4.17894399405863, 97.81036501854994, 3.71448535681423, 166.30511201151856, 3.6565547431475403, 234.12025925858723, 2.996738533697613, 300.4988280772104, 0.5087525494217977, 7.18550899002665, 0.18513518799722406, 71.69444348601905, 0.03299029592691364, 135.6721263842247, 0.0, 199.50766293146515, 0.0, 260.8758183254024, 2.7793443739284154, 324.06844735168806, 3.301348425145611, 28.079677854259806, 4.130342933648593, 94.00615178106219, 4.3691590109826315, 162.3842747962897, 4.955680524511816, 229.44013404940745, 5.323201561487114, 298.78552928632433, 5.440355754790546, 13.582291622166629, 5.107707889401404, 83.69674278474247, 4.4825794285955025, 154.3599619612662, 3.9522830453648976, 223.20476865899286, 3.04622601772522, 291.2154819941727, 2.571847396731303, 0.42858414301808023, 1.2480393845278168, 69.52774832355855
0.0, 256.47234494873373, 0.0, 320.31395171481097, 0.0, 22.12572436647491, 1.259010898199476, 87.32218953455995, 2.7536893762406893, 153.30247811386664, 4.54487404949106, 222.0119567466165, 5.523929106578337, 294.82868514802163, 6.285026229465145, 7.604472474198693, 6.5625495441914, 78.64399240656945, 6.885751358075022, 148.3149940489303, 6.953716598846579, 219.5283708932729, 7.2265973775497745, 287.9158170181244, 6.7322281221656075, 359.3786738196569, 5.9167240832701715, 71.4712218055767, 5.145299945655539, 137.45399509900804, 4.422833707538626, 202.4317786637653, 3.45169971171452, 267.89784192099967, 2.427831110060246, 330.0853143666232, 0.0, 32.92754003392399, 0.0, 95.76556409784, 0.0, 153.28450404808373, 0.0, 210.73209050780105, 0.0, 260.6445985003247, 0.0, 314.1901921870782, 0.0, 10.464371796135612, 0.8747351336533381, 69.1399283535979, 1.4862905527709072, 130.82442879935655, 2.7180195856619016, 190.81256838623884, 3.7400087032481273, 255.03793933588386, 4.664686836921863, 323.3210313392933, 5.452072313600573, 32.96685534894955, 5.401248582093903, 104.76895449446658, 5.148371550325503, 173.02400139423005, 4.289238739750163, 240.6401333160716, 3.9465308567455497, 310.234974340181, 2.823590519684787, 14.577006620433492
