OP_230607-19_19_11-None_QR00006-ES2c_TSW_1p14p491_CCG24_PCG24-CGNone_None_biasNone_p-40_rx_Beam1_HV_17.7_21.2_GHz_both_21.2_GHz_45C
cal_frequency:,21.2
date time, 07-06-23 19:19:11
itcc_runner_version, 1.2.5356
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo_Orig
lens_assembly name, None
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.14.491
# Initial attenuation, 5
# Terminal series, s2000
f_s, 17.7
f_e, 21.2
# f_c, 21.2
Source power [dBm], -40
IFBW [Hz], 200
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,42.93049725
barcodes,00006-ES2c_TSW_1p14p491_CCG24_PCG24
17.7,, 17.8,, 17.9,, 18.0,, 18.099999999999998,, 18.2,, 18.3,, 18.4,, 18.5,, 18.599999999999998,, 18.7,, 18.8,, 18.9,, 19.0,, 19.099999999999998,, 19.2,, 19.3,, 19.4,, 19.5,, 19.599999999999998,, 19.7,, 19.8,, 19.9,, 20.0,, 20.1,, 20.2,, 20.3,, 20.4,, 20.5,, 20.6,, 20.7,, 20.8,, 20.9,, 21.0,, 21.1,, 21.2
28.794421600005847, 292.85208249079926, 30.486729721242316, 202.8431828748428, 32.03289545582556, 110.19257832102045, 32.74046801830301, 19.189009614779433, 33.778943960651254, 290.7701012217349, 35.05400074094305, 200.45893389428542, 36.13055389203639, 110.11881599328274, 36.90644844994165, 19.04385363145093, 37.6927371395466, 287.0204862542525, 38.10507113283829, 194.9221253716326, 38.40197728882264, 103.99162840235165, 38.75358174746619, 10.11227513418954, 37.85382359249848, 273.99960426951327, 36.43114135027808, 188.54450054719996, 36.1538033140301, 104.16665291498592, 35.032045525896905, 18.723751743531263, 34.61789264887099, 300.0431151239583, 34.89547639182405, 215.2930627348363, 34.367014608074065, 129.9091594880866, 34.08289625660953, 46.40356635592291, 33.79032495295504, 321.5141846744833, 32.96953497919479, 236.96288767519502, 32.317435659521074, 157.53317899782513, 32.769878878497785, 76.81285450333597, 33.08942181201853, 346.91411812630446, 32.40546042484377, 258.49076691195546, 31.839106527919977, 172.13985889647574, 31.30838872714767, 82.69920867337727, 30.16407570194906, 351.4242648376462, 28.706595432752366, 259.2859621212699, 26.829538391042256, 167.89886288741212, 24.678881305913933, 75.15156872420623, 21.978606801332248, 337.7158369089186, 16.014307571543153, 227.52663156616708, 4.090216159769977, 152.21830457387867, -4.438100661810274, 131.1272698118842
29.273662971698396, 313.69452909760474, 30.40489100983086, 222.34910697231587, 31.20532064408389, 132.70966097829125, 31.630912758441813, 44.87158899344545, 32.24463138954971, 318.3335548257194, 33.194501784408686, 233.51591448250792, 34.57115448985213, 148.4432319838463, 35.54933833282525, 59.73725535623624, 36.278546218455816, 333.3636348106646, 37.40739157678163, 248.6398035890272, 38.90399863853473, 162.45183114282727, 41.13120603740013, 72.47179646780897, 42.658722754234674, 329.83614860409017, 42.015531839154576, 233.41898237390612, 43.07271567054418, 139.39364015613015, 41.700315761691144, 30.083628772457917, 38.7103803710616, 302.92108531131083, 37.739061352606576, 220.88374737391456, 36.976357772248946, 133.85127614060545, 35.96065228540267, 43.016249334941165, 33.81341183895867, 317.1692434936169, 32.08181712075871, 239.85775192477598, 31.604749736906577, 158.97971454667942, 30.71671084740248, 73.2757015372627, 29.27405280142487, 347.86898607264453, 27.881036890502703, 266.53488606527577, 26.27081645936166, 185.59340397544457, 24.99246219524514, 103.56977323561385, 23.173341476464504, 22.472406379154535, 21.15317985862857, 301.5181028261495, 19.744613282872578, 230.77925897134915, 19.897754033214657, 147.4727707568572, 18.590585980809923, 54.18658857281416, 13.471610532273147, 316.6113032695579, 9.24585142383432, 257.65418518246383, 4.78315671973597, 191.0623550179661
23.95870012112569, 241.310259408246, 26.212241882571426, 154.46050244325548, 27.866460007124427, 62.61314658538965, 28.494894791661128, 337.4445182560822, 30.337810207905726, 254.59308561058896, 32.596370233426704, 164.82019852174636, 33.83584831259914, 74.51277301721116, 35.00542923109106, 348.2326439824171, 37.25771383190938, 257.84611658739675, 38.000957813554976, 160.55134975447646, 38.561902117570654, 72.76194974557569, 40.18716507852706, 337.6479775343139, 39.563347514583214, 236.3797615549122, 38.284883231381535, 152.35721046595853, 39.50332849443025, 65.2752311803838, 37.76041527005606, 327.0337167638569, 36.42571011695924, 254.09710283746247, 37.99847492751556, 171.92913453706993, 37.80871092985325, 72.13679461219346, 35.16875739921375, 352.79769310843676, 36.15040695916129, 283.98970120868023, 38.267893929367034, 185.76935600841193, 35.718903591270504, 94.30988520569069, 35.05410149006671, 21.260750947343094, 36.992025409892136, 298.07061338797985, 37.424050031343356, 193.82854439293865, 34.72909886717889, 101.71008331484845, 33.51066620590461, 19.22302833521533, 33.08250937478557, 290.2041185897117, 31.65935906773148, 189.49908248609577, 27.88726223491849, 95.11708062069879, 23.864074937878698, 13.839418811739387, 20.460004917941287, 296.03968915292563, 16.50826492411062, 216.68447332448625, 12.75041156182649, 143.3872966528471, 7.494984241168656, 87.00924712112136
24.76973035012158, 170.6062016092515, 26.72770516260328, 79.41645093436776, 27.801754793547275, 348.75698138161596, 28.56197007018561, 261.90992564794, 29.996970446192996, 172.70612950717293, 30.809127456363825, 81.0874625558428, 31.284151306742256, 353.95585818985455, 31.985125038732335, 265.28158479427, 32.11436923503253, 175.67666404184754, 31.954515801532523, 90.51351169796239, 32.394141138626054, 8.399078759087594, 33.07488125806729, 279.72888452175437, 32.63475672416555, 193.53264073432226, 32.56339836042052, 112.38192901078874, 33.024036136406316, 29.9750380591281, 33.0902016276404, 307.44972441097013, 33.63330409351511, 227.50196777438356, 34.49402396516686, 140.64639581693925, 34.44789991923054, 56.33835307815357, 35.204181484132974, 333.79890023357757, 36.2711019848216, 245.20599919363684, 36.063012655364545, 154.8328551611648, 35.74981207772427, 67.68954773757214, 35.678238695789844, 341.80111307783346, 35.86116537257108, 252.83857231300158, 35.63562171004973, 159.80818013131616, 34.263402719603185, 68.92927638650242, 33.164804995770155, 343.04190928617106, 32.18059694306915, 252.30207972397085, 30.754680131627502, 158.1600561864322, 28.01125701768597, 67.29289676001622, 24.63057810501622, 340.31048513728285, 21.538879313063784, 267.6772255327715, 19.651639215938417, 188.05488128860483, 17.838496076273763, 103.10071422142958, 13.446172281786762, 19.23382179477026
29.335311665893332, 128.98885796987597, 31.419924141436407, 36.2572329011969, 32.86707881445681, 301.4053463940669, 33.81330449273375, 209.8554624298699, 34.92136216399792, 117.44255557554447, 36.10420787469723, 24.372197014257615, 36.74296027354743, 290.43798935009977, 36.849738384650664, 198.07046389506823, 37.278295140275624, 107.61794647470151, 37.177302670529066, 14.944403702144346, 36.822279903398744, 286.83538170343013, 37.246277990506655, 198.77103019751416, 36.821740403264386, 102.86225226597513, 35.142946541992856, 17.946088026093943, 34.96850060417326, 298.57709216687476, 35.13045513392037, 211.490160953205, 34.230642014933004, 125.37764234993895, 33.871017932738596, 44.1894263184302, 33.97652424713884, 320.7738277799501, 33.96061383110134, 232.8935594005283, 32.974821300125114, 144.8651099075211, 31.404231939438603, 64.0044880533829, 31.14562341153873, 349.0861267630334, 31.872402329496055, 267.1380350591281, 31.772247829519678, 176.07843663419035, 30.913545990355175, 93.79438104625163, 31.001391501379917, 8.600913458110083, 30.65410243349483, 277.32343833596923, 29.227429041717315, 186.17760818060788, 27.926772842423983, 98.78719872071186, 26.782617874580747, 10.260672904879891, 25.079622505223284, 274.02201186439174, 22.18907905637645, 175.8369921400479, 16.34892014726267, 70.94960048850815, 4.653702248444926, 1.1648471677230523, -0.5307957824707593, 333.0666784764511
27.357495935143184, 138.28582009963154, 28.878693214072293, 49.033414415177056, 30.116893850645347, 319.5470323865509, 30.704095057826436, 231.0044095667856, 31.840905812581212, 145.96859853247366, 33.47338522299358, 59.03085139389544, 34.83448354073521, 329.5143064612984, 35.74548066314252, 239.87095237007162, 36.85915012868537, 150.40721011732788, 37.60474465926751, 59.433856316922295, 38.18726674321976, 330.2641089830257, 39.733569121949024, 238.72026621353933, 39.56434724175259, 134.97270993841042, 37.556794865906625, 48.31731890836106, 38.03051489983906, 328.2232028260734, 38.61500384203595, 232.88617581495362, 37.14588418453673, 141.84655062856586, 36.39556744555412, 57.94930647861465, 35.87123772899798, 332.74183155380985, 35.72085056664811, 244.01128373997506, 34.542556606238904, 152.91959887660198, 32.51264795784876, 68.64374319880457, 31.39092064355754, 349.06344305686554, 30.48848050069907, 264.29604733783555, 28.94767263580903, 181.88745049776713, 27.53634664700541, 104.84212352016938, 27.030829983777934, 27.209359925376898, 26.670876254706684, 307.1302537469941, 26.019365790985752, 223.9771325339973, 26.059835032637487, 137.2176580375318, 25.046567812064136, 46.35691179000289, 23.756808726371645, 313.50596763484003, 21.192166754638862, 214.7032651616553, 15.951059683148683, 101.68232279940408, -20.14949411734044, 153.36459900162484, 7.071261911453952, 47.14418894194259
24.47901254754113, 296.6846805145583, 25.989775619976776, 207.32348093745912, 27.11476945164991, 117.10995603172664, 27.85029930755442, 29.16002286449177, 28.441035262364895, 302.2531829697409, 29.50309000383882, 218.5384603476465, 31.05301658223413, 133.86732931013, 32.11304937226024, 44.41762977766909, 33.09250169863463, 317.37111440431744, 34.49870947463813, 229.7878966829719, 35.65535725968594, 137.6486752226573, 36.16812291371003, 44.551748475532285, 36.45349409716846, 313.3401066255876, 36.74885842916206, 222.32151821079216, 36.573587674820594, 127.99147281709439, 35.160380760043445, 40.093554976432515, 35.00137303638653, 317.86614345477705, 34.97967251636259, 227.90353313643917, 33.8465392309081, 140.62144540797127, 33.22902040402477, 58.47574943783094, 33.05787521363247, 334.4099339847816, 32.16907401743374, 247.63347367919715, 31.358022767808237, 165.78240370534104, 30.999712385627124, 82.97817003014661, 30.23905339533334, 356.8980524094626, 29.680618680491648, 277.96597609934906, 29.913204758748563, 191.9833531093681, 29.301929710774203, 101.48443586390675, 27.61741642946516, 12.126307532985797, 25.88598468906834, 282.0207423844618, 23.177606160654435, 200.15467753341957, 20.84169570729722, 121.4596011831982, 19.86466067197918, 47.701312591750956, 18.154624762002346, 316.7664164820644, 14.981227266633404, 231.09352444707244, 9.712432235063487, 155.95117343914902
25.75599139174811, 251.41431137167706, 28.02083483684189, 158.0613350669594, 29.446900768405463, 62.49435061054867, 30.238659397685133, 330.4085056131028, 31.260979375568528, 238.26866882801326, 32.10354683008711, 146.92618249854016, 32.88610923239067, 54.25754137725156, 32.659198535757966, 323.0486842103065, 32.85963374458029, 237.7875431228075, 33.51397783641979, 150.1912291491312, 33.621855565205, 60.1477119428773, 33.614377072683, 333.49746109094895, 33.598568057457655, 247.9336266493991, 33.591380576291286, 161.55816018722984, 33.38910238933594, 75.83365985666855, 33.10211512055056, 356.45268693977545, 33.98009894548438, 275.16075365632287, 34.442947173520054, 186.838636481873, 34.45212241611198, 101.83037026234851, 34.773452533980056, 16.837894910288394, 35.232258735164706, 290.4149765758432, 34.83795479733678, 203.79063074098997, 35.10520741190556, 118.55238887548578, 35.5614629646881, 28.973910117995793, 35.002837510503376, 296.3377467587246, 34.5672498496781, 209.2800986895698, 34.16101503410249, 118.97818307599981, 32.99141826712689, 26.82277212569316, 32.01038287068091, 297.4860062271543, 31.00720457700443, 197.86395075528395, 27.547348401282576, 100.23483477503734, 23.156399897946148, 15.026725367769608, 19.530421186213992, 300.53397667275647, 16.548603420479566, 220.84296605303234, 12.830996793567518, 149.98318567005106, 11.373053868522724, 76.98343992711881
23.863626527432814, 52.17281100704638, 26.20822060953945, 321.0969918919836, 27.920146919329042, 227.70334776877556, 28.90263124651551, 135.2332197436159, 29.595988803757937, 44.05596863755425, 30.349002663456627, 315.80789477001315, 31.48180490778487, 225.33599644686737, 31.6617575922133, 132.2080853939104, 31.22146913109113, 43.52709189685364, 31.297686171891165, 320.2175514061369, 31.990741256560415, 232.862964022013, 31.520424454229055, 140.51449973600677, 30.24173819603142, 59.21154580822252, 30.659125783022127, 341.488294393245, 31.022373829366302, 254.59373219053901, 30.43872654705329, 173.67498392890357, 30.90264800388649, 97.64742295259855, 32.32793675015012, 14.219663590874204, 33.27536200132098, 285.62633998504964, 33.907982127665164, 192.59318110094478, 32.737170375906615, 99.5292366459445, 31.917091476718742, 16.367106494734873, 31.858162788940785, 284.6077684237964, 29.866949793586773, 191.00785950074857, 27.06507290101229, 108.27053097229042, 25.410821084090387, 33.95770397923652, 23.678872442822822, 317.75653306399096, 22.556268488664593, 246.30087668505496, 22.333599744129646, 178.7678690670227, 23.187861397077505, 104.97957963344258, 25.610606165602277, 22.040204919908543, 25.966820421602918, 283.0550619574342, 24.983596877593573, 185.11373576857977, 22.890580868086406, 86.7718060298856, 18.131212616771926, 343.0175403177477, 9.744434547421566, 273.2179979406948
