Frequency (GHz):, ,17.7,17.9,18.1,18.3,18.5,18.7,18.9,19.1,19.3,19.5,19.7,19.9,20.1,20.3,20.5,20.7,20.9,21.1
Th 70,"	Ph 0:",3.71,4.22,4.55,4.2,3.45,4.63,4.29,4.79,4.92,4.48,4.72,4.88,4.66,4.56,5.09,4.4,4.24,3.81
Th 60,"	Ph 0:",7.19,7.91,7.88,7.78,7.2,8.05,8.32,8.87,9.23,8.4,8.66,8.97,8.74,8.56,8.98,8.44,8.45,7.87
Th 50,"	Ph 45:",8.49,9.12,9.24,8.84,8.48,9.46,9.39,10.38,10.45,9.63,9.84,9.96,9.57,9.75,10.09,9.68,9.62,8.91
Th 50,"	Ph 0:",8.64,9.13,9.3,9.26,8.63,9.53,9.49,10.29,10.71,9.74,10.05,10.1,9.67,9.78,10.31,9.75,9.64,9.02
Th 50,"	Ph 313:",8.45,9.18,9.27,9.2,8.75,9.62,9.21,10.34,10.54,9.6,9.94,9.94,9.75,9.74,10.15,9.77,9.54,9.11
Th 40,"	Ph 0:",8.73,9.61,9.4,9.06,8.18,9.56,9.55,9.86,10.46,9.98,10.07,9.49,9.4,9.5,10.14,9.56,9.34,8.9
Th 30,"	Ph 0:",8.79,9.5,9.49,9.06,8.38,9.7,9.57,10.3,10.54,10.07,10.07,10.18,9.86,9.73,10.28,9.4,9.36,8.71
Th 20,"	Ph 0:",8.98,9.81,9.61,9.67,9.07,9.88,9.78,10.39,10.81,10.54,10.49,10.07,10.46,10.47,10.83,10.36,9.99,9.03
Th 10,"	Ph 0:",9.23,9.92,10.44,9.85,9.55,10.46,10.27,11.01,10.72,10.31,10.18,10.55,10.83,10.61,11.23,10.41,10.47,9.75
Th 0,"	Ph 0:",9.7,10.16,10.07,9.91,9.56,10.66,10.56,11.37,11.34,10.56,10.91,11.18,11.05,10.67,11.29,10.74,10.84,9.47
Th 50,"	Ph 193:",8.28,9.04,8.85,8.58,8,9.45,9.68,10.13,10.29,10.38,9.8,9.47,9.63,9.49,10.15,9.73,9.61,8.69
Th 50,"	Ph 158:",8.37,9.16,8.9,8.77,8.12,9.6,9.64,10.16,10.32,10.5,9.63,9.62,9.49,9.56,10.2,9.59,9.47,8.57
Th 70,"	Ph 160:",3.12,3.75,3.7,3.48,3.09,4.15,3.76,4.34,4.72,4.18,4.18,4.14,4.26,4.16,4.89,4.41,4.12,3.53
