RFA_240207-15_16_59-MCR4_Rig1__QR440-0375-00279_rx_Beam2_17.70_21.20_GHz_20.70_GHz_45C_ReCalc
cal_frequency:,20.7
date time, 07-02-24 15:16:59
# ER Id, c0028788
itcc_runner_version, 1.2.6520
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo.csv
lens_assembly name, None
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.20.33
# Initial attenuation, 5
# Terminal series, s2000
f_s, 17.7
f_e, 21.2
# f_c, 20.7
Source power [dBm], -15
IFBW [Hz], 5000
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,41.89229005555555
# efuse_data,None
# combiners_common_setting,48
# common_settings,[[1. 1. 24]. [1. 2. 24]. [2. 1. 24]. [2. 2. 24]. [3. 1. 24]. [3. 2. 24]]
barcodes,440-0375-00279
17.7,, 17.8,, 17.9,, 18.0,, 18.099999999999998,, 18.2,, 18.3,, 18.4,, 18.5,, 18.599999999999998,, 18.7,, 18.8,, 18.9,, 19.0,, 19.099999999999998,, 19.2,, 19.3,, 19.4,, 19.5,, 19.599999999999998,, 19.7,, 19.8,, 19.9,, 20.0,, 20.1,, 20.2,, 20.3,, 20.4,, 20.5,, 20.6,, 20.7,, 20.8,, 20.9,, 21.0,, 21.1,, 21.2
15.110906317175289, 334.0557643181766, 15.432340352710188, 39.34990718891011, 16.141833173329434, 94.78918739995585, 16.1226156752612, 31.320019495807667, 17.027257292526123, 88.32531004535257, 17.900990509336246, 150.72282627891505, 18.519848345025316, 213.07514959226222, 19.027926487424757, 274.42228101821036, 19.194271699406706, 225.6412270117759, 19.589005762682746, 286.46124067681365, 20.51025667939504, 345.3729690412373, 20.987833805429716, 55.28741861014795, 19.901286075298145, 112.64010053462601, 20.480664655862974, 61.324527598943305, 20.14307841078025, 126.3149491910816, 20.082304702135115, 179.5668973342633, 20.44523741509506, 240.90822527307324, 20.251422698090625, 298.9171111744034, 19.69533202705087, 255.35397491068622, 19.427705176506766, 314.16663501760524, 19.508588520836835, 12.949049584216194, 19.01503449976474, 73.53453764247898, 18.583596970732017, 131.5797545907145, 18.22889307082204, 83.68565138452436, 18.240592123881598, 140.8369275335851, 17.998466306789446, 204.98506576163388, 16.74934202840833, 265.00470282488845, 15.786690997509234, 323.99106675306876, 15.18869505985133, 284.8780422380312, 13.97738433472451, 343.28369389277714, 12.590669623609935, 38.067368108929884, 11.692916607187842, 92.14289838382145, 10.690561716052677, 148.64784479644945, 8.45224243608796, 102.51039146760284, 7.369694319817842, 157.38669915993398, 6.445913405993525, 212.09079226591348
14.645257530147493, 85.72547886366533, 15.486518000113431, 146.33226623464077, 16.550314224150874, 203.18665615240954, 17.27401070615005, 138.91016521330977, 18.246246226269683, 196.1191661644744, 19.64672235427171, 259.9641002672566, 20.026033834409734, 323.84734039073163, 20.613745818873973, 26.87635238341337, 21.4171250634055, 347.2196019751972, 21.578554415955157, 39.454632889097596, 23.975470995204823, 106.81749013098545, 23.690545996403575, 188.78630780365418, 22.912725244283433, 243.1903916161513, 22.950120186219056, 209.62532134570233, 22.261617143846777, 270.6799505155237, 22.132736220942046, 330.99103085751483, 21.653443623211025, 27.853160401311637, 21.512415233202017, 86.01175602896913, 20.16558248767072, 45.36138087613418, 19.798997950659064, 105.60292714385099, 19.103429852454163, 163.13555042261433, 19.172670855027725, 220.10771639146932, 18.832475539603138, 282.0299692164856, 17.93420896004331, 227.76359312543954, 18.107360241261535, 288.73595054219095, 17.091096946786497, 350.74314996171404, 16.370581103579074, 50.74070942820795, 15.506758906605906, 109.69228721035427, 15.281498825236351, 71.11917039627731, 13.787924381930093, 126.20931534453592, 12.731119316940632, 180.83253162593408, 11.6708972866133, 235.98954130937304, 10.858553292755754, 291.08937781902256, 9.569262164223208, 244.68628498603437, 8.768175125896473, 297.188619866043, 8.56132371314293, 353.17847319873033
14.789760526240034, 211.48471055032047, 14.910550672642184, 276.82332733258147, 15.988562814088592, 330.8069106226778, 17.587938658425255, 273.17877726416737, 18.580546953019294, 332.8354871870588, 19.71873374854003, 37.12302658584698, 20.585455369305524, 103.78212354716821, 20.826684324987504, 168.43788137290247, 21.268220081543674, 125.22767882560895, 21.89128330251531, 189.596158012224, 21.89229462390697, 255.18864402662484, 22.541399189529553, 314.6009039695598, 22.59151612498762, 26.367278425255048, 21.562035480811375, 340.50354090375663, 21.506732939394325, 37.429796601215244, 22.418901034146344, 101.6889533250217, 21.327933290434338, 164.00970435189615, 21.62071910501067, 218.06237392972304, 20.642631958301525, 183.1777733132035, 20.097291132899965, 245.32168594492174, 19.932527089646758, 303.7035813781238, 19.548963195983855, 8.262108514137273, 18.346374313366642, 67.17733892192724, 18.19965701599595, 11.041843766838934, 18.23470694594746, 72.12796653674344, 17.87848542268362, 132.41211156250404, 17.71644038128629, 195.28625143063744, 16.610695537545134, 263.4313104188302, 16.24757906438905, 222.57198187004178, 15.107148963882068, 281.9728422582699, 13.385642222788526, 338.25014282636215, 12.510174424482708, 33.09194584429801, 11.632550089445793, 90.37099871724212, 10.119358785598289, 53.92077256779259, 8.828525891679018, 108.88804448449737, 8.030070298740181, 163.9225556855833
17.317039630484263, 71.66042469021032, 19.03812238390972, 142.04599850644317, 19.27887088650704, 209.8826469048892, 17.51086048600449, 154.4609576263853, 18.498910914614626, 218.0633100940904, 18.967027719752195, 286.02558900933855, 18.735290590285643, 349.239310063057, 18.53884969927507, 53.82666637715178, 16.88015989641565, 349.72879961374053, 18.11103074914157, 48.71289365406291, 17.923655187271955, 115.31773056491446, 17.160304645766608, 166.4655374297354, 18.83183397902438, 226.3287695080304, 18.62674888746496, 178.18327515872613, 18.504216133501682, 230.86724204616633, 18.91684392586522, 287.14065124606293, 19.229340863151723, 347.3998081900497, 19.06698983612237, 45.18838066661465, 20.44367669866196, 1.8944983783057308, 20.954246242888864, 62.13238278630321, 20.897767174758656, 124.43077595614497, 21.09685928652238, 186.59240598842734, 20.68032590348688, 251.6024292718167, 21.033494376094648, 213.0441583972986, 20.7241098003332, 276.05280862036443, 19.6502840560218, 339.27269375026736, 18.53211490543318, 41.430497517809606, 17.395249096174698, 101.98585842969466, 15.965830318255549, 73.80077447503025, 14.581182140038552, 131.04133307192265, 12.969182603703988, 187.48012430448233, 11.384814032129498, 242.55700311994536, 9.945168727293298, 295.81158612558704, 5.917661710119723, 248.8181827050986, 4.906353763802387, 300.97230316829456, 4.2979998452817725, 354.33996402600985
14.169559672303505, 345.66299474044746, 14.87037732003264, 48.62736924910634, 16.25328945967711, 108.48056978910816, 15.942918290312122, 49.623290654879995, 16.86788438715992, 107.69547400425299, 17.698041083687393, 171.77669163764267, 18.334729141993733, 234.8846490304248, 18.986258363025605, 298.94208349253506, 18.289647025052897, 258.6354627160073, 17.468087616256163, 307.40429116914635, 19.334438874323737, 4.893076605003753, 20.24230792071888, 76.97844506787145, 18.46476385632351, 139.6637891045147, 18.581225664845626, 80.36045347274832, 18.969923814430267, 145.47436794680058, 18.537793009518836, 201.41927523278787, 18.68769216732089, 261.7697938345215, 18.15226432463929, 316.2881045450491, 18.290974286630068, 269.7369681393976, 18.382715756447507, 329.0643959569206, 18.823509587000505, 28.960842612409312, 18.39661635507876, 93.03841334465308, 17.679060971819755, 151.8431054441807, 18.053330191936084, 102.14875548105545, 18.4121518743127, 166.458511971, 17.1434908895021, 230.80193898383195, 15.900548420042462, 290.1906906331544, 14.600964860331816, 348.54071734531766, 13.68839092304195, 311.5105731104179, 12.685238899642231, 7.741144301885615, 11.515047267088876, 61.844341742785545, 10.806265129748722, 117.54039959607785, 9.89569459902936, 175.71406445744097, 7.1799599451280125, 130.47022568470982, 5.91845116670461, 185.51803540609325, 4.732037939315472, 239.26642468261906
13.262758582665535, 130.95852976574864, 15.062599773665088, 194.45217369917043, 15.362093416136997, 256.59401923954795, 15.588167478290554, 190.85128789847465, 16.517345842317372, 247.47407323989995, 18.02199519502687, 309.5292876015038, 18.574184602487275, 14.147402482922452, 18.95694644992598, 78.18248321799706, 19.486819088606037, 28.580176678165454, 21.113213147213706, 88.3277638393897, 22.473633205850845, 159.32383962751126, 21.246402279074076, 226.16992302240422, 21.95967611181424, 274.951106051211, 22.84263763168742, 253.066811615333, 21.339139655503786, 318.57036614444, 21.492579755209363, 13.116170894770978, 21.48777519478272, 77.07627224448218, 20.818056883852357, 140.0599268645403, 18.887132543469914, 95.49099957771263, 18.906290025680565, 155.09682567115925, 17.998738755238673, 215.99491271057514, 17.6947926150096, 272.00300992878454, 17.381489675262085, 333.29787755110806, 16.367666734037662, 281.90346337997954, 15.653100656107704, 339.25204231904263, 15.274803451809326, 36.11864012793989, 14.588560657653986, 98.13522358203767, 13.732180820496225, 156.070012790202, 13.520145891430209, 115.46174755497032, 12.39948831095312, 172.66380221875733, 11.233944415525949, 227.1286200871369, 10.38619884290792, 281.6655825088628, 9.81813762767466, 337.66136976779336, 8.711118755529352, 293.21077314842864, 7.778841034662455, 348.7708782964098, 7.250728578339828, 45.43055368750118
16.977657116363428, 228.73747851070266, 17.59699549145545, 295.9229120045676, 18.536843837110858, 351.6621196472006, 19.575352537672657, 295.8605369130504, 20.067768135761753, 352.9335365921327, 21.270177445068082, 51.45063109914888, 23.02668196451501, 117.76787646122422, 23.723653035030576, 192.18596018318908, 23.289057998107502, 148.61297432919747, 24.066409524019008, 218.81546977797308, 24.582330223943856, 285.26167748875497, 24.702385156276797, 0.2851777366639273, 23.122220599440638, 59.94239750909275, 23.21134778035386, 7.4207374222427545, 23.288479464074467, 75.0163302511611, 22.685679103565704, 133.15355633763224, 22.521947542845197, 192.46673452823757, 22.221558368864464, 250.2171985455687, 21.353057664026238, 211.54897733435058, 21.02150388960093, 271.9489231306543, 20.744989028606863, 331.03417078794683, 20.356871026750362, 29.88587431315284, 20.275807185278254, 88.77586568332838, 19.976337694352218, 41.10002230750935, 19.982416761751715, 103.37648339015682, 19.46074802060037, 166.76253150273928, 18.94455625061235, 229.3217545454891, 18.035702252353566, 295.6291938501307, 17.4401873999428, 258.20409481598034, 15.965939148305004, 319.1581787474561, 14.414223019199525, 15.086528253390519, 13.181457546938795, 72.90026010374187, 11.794951616210206, 130.79524017470897, 9.97873054631756, 86.4654597261263, 9.017424966466107, 138.49241026789434, 8.508334163224422, 193.74522755849745
17.768828117888418, 123.88558683125092, 19.49791963707252, 189.8880151351474, 19.88943241400731, 259.73214892997396, 18.196996468261894, 205.61623199416377, 18.80040578189871, 268.28851407927846, 19.529837284987522, 332.8136533245157, 19.55998492179717, 37.663971552843925, 19.554311880654208, 102.1272362068228, 18.073739358734798, 44.97251159149294, 18.235983202035285, 98.5236940264589, 18.649354227787896, 156.25359068616234, 19.210740220990402, 217.44582183100852, 19.010428338461878, 279.924076013349, 19.479923364332688, 221.18250834619172, 19.967993689534264, 277.9545503455598, 20.524591493160187, 338.46802370914605, 20.30640817994844, 37.76445861600919, 20.554669300831275, 94.19888084692879, 22.13695572905484, 53.183072712867386, 22.527306372500217, 116.76934621886598, 22.131794051786194, 183.139121502516, 21.360897184395107, 242.9824102300237, 21.187482288710605, 302.008710552916, 21.823958485292025, 264.5186733081801, 21.121263736170214, 324.7687019562128, 20.726453868459295, 25.791997901672925, 19.7845805716048, 90.6622284123648, 18.539506852819706, 149.65872861789657, 17.687602477084244, 123.54243539487368, 16.406891415512458, 180.9144227907367, 15.019623824054701, 238.7216594775796, 13.536396139842669, 295.974381400952, 12.252605593157867, 350.73365660386247, 8.207038245530981, 307.262110070478, 6.746397995945351, 1.2857121825177091, 5.828926835777079, 53.242396775617614
19.730684866748717, 320.95190203830396, 19.96605487079114, 32.45187845930978, 20.827537025117365, 88.46749195869442, 19.853803523130342, 37.62718757014956, 20.37534558444262, 98.90524908367529, 20.57645782289913, 163.82286500841428, 20.74799342137037, 225.44346235704938, 20.93039940530732, 288.86400128791917, 19.796186581574823, 232.8302775813507, 20.270498932823187, 287.92362769215435, 20.2569384799447, 346.5995783070498, 21.51542914633852, 43.599183720294924, 20.9137521166438, 112.42924901757758, 21.2048947220311, 54.720298002223565, 21.410801319694535, 112.17385495690985, 21.646281619992656, 171.92004969687864, 21.375829473331756, 230.60430318315144, 21.449810077287623, 285.43030751943706, 22.447660150690826, 246.0292971300765, 22.573819098732777, 304.1990032431639, 23.157696593439784, 3.1616053579583823, 23.102147423046016, 68.58279740432536, 22.484172330522433, 130.01447386908671, 22.282167391872814, 91.93314552313473, 22.071511297943513, 154.49800881773947, 21.301260496588267, 218.12283261484683, 19.848009011817734, 279.10773557787746, 18.710671971408456, 335.84829131242196, 17.11393639807657, 302.3908787342902, 15.395436659722659, 2.3390791646141293, 13.409056815288903, 55.27767989033154, 12.548009772825875, 107.08514162289704, 11.658236713012109, 163.45003481084447, 8.813842226748633, 112.18984635260907, 7.458768957100662, 167.07127395909086, 6.364780254396178, 219.57321534735493
