RFA_240426-14_18_40-MCR1_Rig1__QR440-0329-00916_tx_Beam2_27.50_31.00_GHz_28.00_GHz_45C
cal_frequency:,28.0
date time, 26-04-24 14:18:40
# ER Id, c004d633
itcc_runner_version, 1.2.6899
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.38
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 28.0
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,44.061645122807036
# efuse_data,None
# combiners_common_setting,12
# common_settings,[[1. 1. 12]. [1. 2. 12]. [2. 1. 12]. [2. 2. 12]. [3. 1. 12]. [3. 2. 12]]
barcodes,440-0329-00916
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
7.9105220616361045, 309.2600922095346, 8.94372967075866, 358.82754742141947, 9.690562758075348, 52.02627923434032, 8.586151427491956, 17.79549150470414, 8.73865560901939, 73.91518701061564, 8.424482872843598, 129.30258028021353, 8.028338791397573, 183.32581164864672, 7.645151410732241, 238.69561843813028, 6.257370677951073, 181.06890035466503, 5.59917161037287, 235.58703025365122, 4.828212356093316, 290.0713206659801, 4.039245962584182, 342.05012459880385, 2.9171610329521087, 35.6186697787643, 2.2912945296678875, 345.90457081108434, 0.6951779842684568, 34.70659810720339, 0.0, 82.1523232123271, 0.0, 130.54867248105847, 0.0, 171.3524758110165, 0.0, 124.37036080466135, 0.0, 167.85150946947778, 0.0, 208.50429201643524, 0.0, 252.81381416811615, 0.0, 294.2678311057348, 0.0, 246.30615737977536, 0.0, 295.7892881482483, 0.0, 343.140711805599, 0.0, 33.919738744558, 0.0, 79.99841793900839, 0.0, 21.08191337508371, 0.0, 72.29336707816424, 0.0, 121.30660707512492, 0.0, 170.90065876895108, 0.0, 215.2980105440047, 0.0, 153.58125699714515, 0.0, 204.82760002969025, 0.0, 250.15814203139547
10.431861750026304, 2.6764982497758236, 11.024502151193087, 52.74864965181551, 11.617480481796253, 102.97737244924735, 10.497312250951138, 58.860070467443464, 11.109973746728363, 114.1875376284636, 10.867378198335944, 171.08414406825824, 10.575609353621914, 227.64369818449288, 9.722202347721216, 283.8397219112728, 8.38530592812915, 223.97962426036253, 7.492983343443548, 275.11229802363204, 6.475967513847145, 328.60829904539406, 5.284509808836844, 20.021218047827475, 4.132183536926889, 69.8305685997514, 3.5901961529380655, 18.82375689986854, 1.9377417375297914, 68.38157962363684, 0.3238943683955691, 112.91499526733747, 0.0, 158.79990537875292, 0.0, 202.2838057961796, 0.0, 150.42370402361155, 0.0, 190.01870493593384, 0.0, 231.31133166870063, 0.0, 270.87652669094916, 0.0, 312.5827496205458, 0.0, 253.2159357356669, 0.0, 300.18042037257834, 0.0, 345.9020379225492, 0.0, 32.92866413677597, 0.0, 77.3528156383676, 0.0, 8.849652805651468, 0.0, 57.38482059506197, 0.0, 99.08532199905248, 0.0, 140.67799363625917, 0.0, 184.55851996858803, 0.0, 127.52423613591415, 0.0, 174.9297654231007, 0.0, 223.9819935098824
8.417343528142606, 272.54980452962116, 9.368237753689602, 321.99559162457757, 10.106078272282328, 14.13397782164559, 9.118802715205716, 334.98434301739746, 9.549839834081752, 31.00994123042092, 9.481073099243055, 88.43768218081179, 9.0194995228969, 145.178813181463, 8.299200799245824, 201.77183811604567, 6.735081265577341, 141.59736501703213, 5.795171319010065, 195.71882764484332, 4.773159874626451, 248.92532612866336, 3.508916277145438, 299.4028434522843, 2.1693630525325385, 348.852757764529, 1.8133823183016773, 296.63757888410737, 0.5773972584191506, 340.6833257187268, 0.0, 25.658923791779277, 0.0, 73.44296385073437, 0.0, 115.87233993925014, 0.0, 69.83897604783424, 0.0, 114.99135310375321, 0.0, 159.1898407041654, 0.0, 207.69961959129498, 0.0, 252.5913494513751, 0.0, 204.99242052922705, 0.0, 256.21842393341586, 0.0, 303.3928308285971, 0.0, 351.9441218430659, 0.0, 35.41973617871061, 0.0, 332.92618496054195, 0.0, 22.123781487848465, 0.0, 70.3398624512443, 0.0, 120.69353332951806, 0.0, 164.88325927321588, 0.0, 108.04230574307262, 0.0, 158.3096307383524, 0.0, 203.5137807754013
15.806248509912468, 359.88120713063455, 16.734508213950182, 50.112948979357824, 17.87162697840719, 102.58394511327226, 16.6792547064808, 60.534416065153145, 17.260957465258848, 116.62389843473986, 17.15295559638143, 173.44627615967553, 16.929250070097005, 230.0795347243969, 16.577975949608902, 284.58067264328554, 15.60894460543308, 225.38645483555743, 15.271441519709006, 277.4232041100054, 14.934223496628533, 332.1011754702275, 14.469554324855515, 26.403589506221422, 13.79349719087444, 79.75524004200449, 13.213737163837756, 28.824801963236407, 12.017326976737806, 80.76713381199684, 10.892877126019458, 128.53609119530498, 10.005824411800432, 178.42431531176797, 8.51851836650004, 226.63776861332798, 8.292111490730875, 177.85745191373, 7.29173485187691, 224.8470316889768, 6.347755553125985, 271.3779286402014, 5.662927493634207, 316.1143896599711, 4.848251035142837, 4.904112814331704, 3.1627164624581274, 314.2062604214393, 2.3922712940892166, 5.15916877586488, 0.9086082458231965, 53.14705707679621, 0.0, 99.97131785814616, 0.0, 145.2999199141968, 0.0, 80.77014745903101, 0.0, 129.90144040739196, 0.0, 171.7435363870288, 0.0, 214.0310539815722, 0.0, 260.1995474683121, 0.0, 195.42455904093723, 0.0, 243.21132132962106, 0.0, 294.30436824926187
11.437076867304917, 19.463542641156454, 12.286174924764685, 66.48130823849218, 12.940167056363377, 116.37831546750347, 11.697818959248032, 78.78700240898941, 12.048176798734225, 132.68019580745994, 11.974860398785438, 187.09513412712096, 11.547959556052916, 240.55863928291683, 11.046974421244336, 294.60442522549096, 9.456323184338835, 232.85602079488416, 8.85944889409275, 284.2790655085546, 8.261369861034476, 337.2229102894241, 7.523727755103193, 27.988215056027222, 6.422793480179556, 80.11040644577203, 5.7528932794125245, 29.008535445473857, 4.162613463102282, 76.3668358735303, 3.0215677542832333, 123.15005187596178, 1.0289575870582617, 172.62136528356783, 0.0, 214.7347815767398, 0.0, 165.4843854493561, 0.0, 207.36863818669184, 0.0, 245.08296611842468, 0.0, 286.5986769571762, 0.0, 323.86191934835813, 0.0, 273.1560898758466, 0.0, 319.90208622027757, 0.0, 4.9401180472881, 0.0, 52.83945554761472, 0.0, 95.42266301702854, 0.0, 31.791100183575757, 0.0, 78.71992243162993, 0.0, 123.2312659135446, 0.0, 170.04212197722353, 0.0, 213.28808879890386, 0.0, 150.31584824006205, 0.0, 199.6866970189486, 0.0, 245.30362377800486
11.475187144716145, 330.15238982387723, 12.095649904613484, 16.761410925464336, 13.191638281534422, 66.26974959985985, 11.736970936905118, 24.042522978905055, 12.424136901604982, 77.99574457237028, 12.547374825681743, 135.1368199341657, 12.130431501018638, 193.8914650120929, 11.523515446202872, 248.81444524290018, 10.442468470537827, 190.57148475534171, 9.736997749903963, 241.6675678627476, 9.171649182058701, 295.0809536926922, 8.527945418364133, 348.7333951681236, 7.586856694109407, 41.16732807555524, 7.3864249002462445, 351.8698902279791, 6.103570748793659, 43.13791410500942, 4.809484384157425, 90.47371839077677, 3.613193090712013, 139.2461912643281, 1.6857554204448633, 186.05948084558915, 0.7554455127736621, 137.06846951674174, 0.0, 182.8674666689457, 0.0, 224.34881803471959, 0.0, 265.4783591576937, 0.0, 312.87980079232244, 0.0, 260.0319244669105, 0.0, 307.1131010750595, 0.0, 354.29589081938366, 0.0, 42.84986031953796, 0.0, 88.88316744323642, 0.0, 22.27899032337608, 0.0, 73.27344031279986, 0.0, 117.82853790186469, 0.0, 163.13708448059174, 0.0, 210.82834106653027, 0.0, 156.1037648273844, 0.0, 203.8718511473555, 0.0, 256.7438871056981
3.5805925199595627, 338.8604914790679, 4.387635494561211, 28.445981687694328, 4.970010191396728, 81.60067767761146, 3.824054540053694, 41.93656093932455, 4.2986114137504, 97.53843421963147, 4.214998437618931, 153.83324863895194, 3.9681755391610816, 208.51761739446135, 3.5279535641131137, 265.7154378889651, 2.1067852844083177, 205.96673932316793, 1.4549414436899175, 260.2030595800071, 0.5865967700792865, 315.3205710531856, 0.0, 6.0810069333520405, 0.0, 56.760547560119285, 0.0, 5.905969549309138, 0.0, 52.362221019213415, 0.0, 98.76255432021564, 0.0, 147.9192237108054, 0.0, 190.76927780901522, 0.0, 144.37207138195194, 0.0, 190.10582789054394, 0.0, 232.11867997884445, 0.0, 277.75918874523114, 0.0, 319.721446746395, 0.0, 269.18720276704596, 0.0, 317.69465775581284, 0.0, 5.3740823860405555, 0.0, 55.09820787311382, 0.0, 98.84036517490289, 0.0, 35.975010340206204, 0.0, 86.69154150925732, 0.0, 134.4096925375775, 0.0, 181.59522052093536, 0.0, 223.76928353239157, 0.0, 163.84272337384974, 0.0, 212.01537774031627, 0.0, 254.0081298934495
7.680931315893977, 4.36922412235821, 8.615275256699876, 54.66117560448525, 9.702804589679197, 106.85207457649166, 8.584507068641615, 64.8791817877038, 9.15855840553697, 121.023301143538, 8.91563443281808, 178.14263649568534, 8.628220567451061, 234.07442474961692, 8.237607354172553, 288.20553620189065, 7.214344870485875, 228.95945063151308, 6.958485817208433, 281.4439531940476, 6.53773392519441, 337.62754425038406, 5.938957859613666, 32.46323482533897, 4.940355486236598, 85.65791944408748, 4.289386552116396, 34.144984792805914, 3.030316319522541, 85.58027516121196, 1.675823133112912, 132.96937448982428, 0.37213709829170527, 181.32378291634944, 0.0, 227.09218033609108, 0.0, 174.9455841666397, 0.0, 218.64614344639435, 0.0, 262.0061094826155, 0.0, 305.6621416011695, 0.0, 353.7325895188378, 0.0, 301.8008806325685, 0.0, 352.8619031414153, 0.0, 41.34179839198318, 0.0, 88.41863645497719, 0.0, 134.9182216828568, 0.0, 72.13298659582283, 0.0, 123.28927158539919, 0.0, 166.79866753229607, 0.0, 209.94995837975682, 0.0, 256.7404801126484, 0.0, 193.47070742696988, 0.0, 241.2718446793902, 0.0, 292.63794512023065
10.058244828934429, 105.54439762443873, 10.951455838266215, 155.64219781040987, 11.472047562555352, 208.37239332435695, 9.698239577026364, 168.6634632260365, 9.6538036370711, 222.83513439678217, 9.153338763803298, 276.8116398047808, 8.545190727175928, 328.43010311545765, 8.102201891414907, 21.459536504389305, 6.70470980129842, 319.8656684106764, 5.879181302786548, 12.278186360239461, 4.937221338316789, 64.75093955702447, 3.8726814705934776, 114.01531151641944, 2.5408910738862005, 164.0433663394326, 1.4696300732581526, 112.41281192525464, 0.0, 156.7288970079488, 0.0, 200.2029697011758, 0.0, 245.37644563374116, 0.0, 283.78539106959397, 0.0, 231.0096605573147, 0.0, 274.2829306376148, 0.0, 315.6771420789172, 0.0, 1.9697943483398375, 0.0, 45.17874306188697, 0.0, 358.0890697795906, 0.0, 47.25564823925294, 0.0, 92.12097411306253, 0.0, 138.31833637380828, 0.0, 180.7446799976338, 0.0, 119.45259037654041, 0.0, 166.81611798525677, 0.0, 212.80887416228978, 0.0, 260.6963373393426, 0.0, 303.25449776076823, 0.0, 239.48907899854314, 0.0, 285.2050718948574, 0.0, 327.300980933607
8.230612131125337, 142.76329000125423, 8.745833727649003, 192.99335797358566, 9.314864527636477, 243.34203910737676, 8.537162615609267, 196.73615814310315, 9.069545731526702, 250.41690469069346, 8.888494482306951, 305.8397366755811, 8.664284137458928, 0.39799148884500485, 8.147013040047348, 55.2822421921604, 7.058496609354209, 357.2431497308061, 6.272981589877724, 48.831070646585886, 5.367366689480534, 102.9614438273324, 4.183652247771994, 154.0831731174168, 2.9582208002498933, 202.54569928710072, 2.2088097722112647, 148.92841881792546, 0.9880230555328745, 195.94507113282407, 0.0, 239.23848099939318, 0.0, 285.55000311117794, 0.0, 330.4004194624826, 0.0, 278.71362417752323, 0.0, 321.8811087910208, 0.0, 5.9736285508286056, 0.0, 50.91327270526914, 0.0, 98.71366270020253, 0.0, 44.806517986402085, 0.0, 91.25163059124468, 0.0, 135.59516230014646, 0.0, 178.78729901872845, 0.0, 221.75606503382548, 0.0, 155.49866271340767, 0.0, 203.66895452154387, 0.0, 244.79002490111978, 0.0, 285.8506602402296, 0.0, 328.77546806128197, 0.0, 264.65846195908483, 0.0, 308.1412998905721, 0.0, 353.17512392217236
12.860394090031157, 166.80680389795162, 14.037450096201418, 219.28137086158216, 14.713976627869684, 273.6942823200163, 13.515854424787717, 234.50196349858794, 13.738423771082132, 290.0934046864119, 13.459607248542351, 344.8704396182385, 13.213930312293293, 38.06927504769956, 13.078926316208184, 93.59981364318128, 11.62368489809247, 36.286111900520076, 10.834241794969195, 92.27090727756443, 9.807970166591502, 147.66578498279873, 8.435549384861766, 199.73327844687452, 6.809475957646349, 251.2552156427617, 5.496256930318502, 197.71764392373728, 3.641994474980031, 242.34140318112497, 2.2792221051035635, 285.53834796455624, 0.5642226175704149, 329.61245373611973, 0.0, 7.923387804961306, 0.04758783983369867, 315.29014767499643, 0.0, 358.8281457573549, 0.0, 39.92516326105255, 0.0, 85.73590929858071, 0.0, 129.55772365400142, 0.0, 82.44151751221266, 0.0, 133.4721004786579, 0.0, 180.11061145935412, 0.0, 226.927799834751, 0.0, 269.93738843570895, 0.0, 210.83034894117927, 0.0, 259.5132247784559, 0.0, 306.2938557214726, 0.0, 354.9224469030195, 0.0, 38.98222896420101, 0.0, 337.43363940826987, 0.0, 27.35583221836274, 0.0, 70.87861399111449
