RFC_240425-16_05_12-MCR1_Rig1__QR440-0329-00530_tx_Beam1_27.50_31.00_GHz_31.00_GHz_45C
cal_frequency:,31.0
date time, 25-04-24 16:05:12
# ER Id, c001ab15
itcc_runner_version, 1.2.6899
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.38
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 31.0
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,None
# efuse_data,None
# combiners_common_setting,12
# common_settings,[[1. 1. 12]. [1. 2. 12]. [2. 1. 12]. [2. 2. 12]. [3. 1. 12]. [3. 2. 12]]
barcodes,440-0329-00530
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
0.0000,244.9057,0.0000,20.6135,0.0000,165.1964,0.0000,325.6564,0.0000,134.5328,0.0000,299.6257,0.0000,107.8348,0.0000,277.5628,0.0000,74.8735,0.0000,249.4326,0.0000,54.0851,0.0000,225.2168,0.0000,29.2125,0.0000,201.4452,0.0000,354.3559,0.0000,139.9409,0.0000,280.6542,0.0000,49.9332,0.0000,184.7241,0.0000,320.9583,0.0000,87.4416,0.0000,219.8672,0.0000,343.2520,0.0000,117.2567,0.0000,262.5841,0.0000,47.9956,0.0000,206.6043,0.0000,352.4902,0.0000,138.8339,0.0000,296.4171,0.0000,86.2008,0.0000,245.8319,0.0000,42.8443,0.0000,211.4462,0.0000,18.1260,0.0000,185.2004
0.0000,117.6792,0.0000,250.3927,0.0000,32.3228,0.0000,190.9463,0.0000,358.3420,0.0000,161.9079,0.0000,328.9712,0.0000,138.5068,0.0000,295.7054,0.0000,110.6398,0.0000,277.2595,0.0000,90.6015,0.0000,258.0164,0.0000,74.1732,0.0000,231.7357,0.0000,21.5857,0.0000,167.8159,0.0000,301.2513,0.0000,81.3617,0.0000,223.0341,0.0000,353.3362,0.0000,129.8408,0.0000,257.2601,0.0000,33.1116,0.0000,181.5611,0.0000,327.3120,0.0000,126.8265,0.0000,273.1894,0.0000,58.4859,0.0000,214.7856,0.0000,2.9579,0.0000,159.7084,0.0000,313.7469,0.0000,119.1274,0.0000,282.5613,0.0000,85.4315
0.0000,263.6746,0.0000,39.5207,0.0000,188.0551,0.0000,345.9332,0.0000,136.8652,0.0000,300.3716,0.0000,111.8859,0.0000,276.8680,0.0000,82.0182,0.0000,255.2953,0.0000,64.2298,0.0000,227.9069,0.0000,29.7789,0.0000,193.3131,0.0000,343.9685,0.0000,138.3791,0.0000,292.1849,0.0000,70.2214,0.0000,219.4174,0.0000,358.7152,0.0000,128.1560,0.0000,257.2792,0.0000,29.5391,0.0000,156.7130,0.0000,318.3565,0.0000,107.0922,0.0000,268.8081,0.0000,67.8858,0.0000,231.6380,0.0000,40.1086,0.0000,202.9329,0.0000,4.8412,0.0000,175.0508,0.0000,341.2181,0.0000,158.5381,0.0000,329.3234
0.0000,307.6928,0.0000,81.1543,0.0000,226.8523,0.0000,21.8359,0.0000,170.2455,0.0000,330.6296,0.0000,140.1857,0.0000,301.9249,0.0000,104.8427,0.0000,276.6066,0.0000,84.7089,0.0000,247.5317,0.0000,48.6541,0.0000,211.4295,0.0000,0.3536,0.0000,153.1391,0.0000,304.8030,0.0000,79.9602,0.0000,225.2337,0.0000,359.7103,0.0000,122.2080,0.0000,244.0424,0.0000,7.8696,0.0000,125.5670,0.0000,276.2737,0.0000,52.9366,0.0000,199.3963,0.0000,343.2951,0.0000,129.9193,0.0000,280.2341,0.0000,64.2964,0.0000,206.6665,0.0000,357.0326,0.0000,143.7469,0.0000,302.8783,0.0000,97.6755
0.0000,265.1757,0.0000,57.2290,0.0000,210.1141,0.0000,17.0607,0.0000,181.6768,0.0000,348.8851,0.0000,144.7864,0.0000,299.0145,0.0000,97.5810,0.0000,254.1950,0.0000,57.4938,0.0000,220.4732,0.0000,26.1933,0.0000,179.7222,0.0000,335.9682,0.0000,116.7408,0.0000,260.0169,0.0000,34.4232,0.0000,162.3597,0.0000,305.9980,0.0000,75.9747,0.0000,209.1044,0.0000,358.1781,0.0000,144.8746,0.0000,312.5501,0.0000,104.0744,0.0000,260.0109,0.0000,45.7108,0.0000,183.3176,0.0000,330.3108,0.0000,115.7031,0.0000,252.1782,0.0000,52.0293,0.0000,205.4964,0.0000,4.1897,0.0000,163.6969
0.0000,164.0712,0.0000,315.3047,0.0000,107.8116,0.0000,273.6017,0.0000,77.0862,0.0000,243.2368,0.0000,38.3824,0.0000,192.4600,0.0000,351.7325,0.0000,150.2142,0.0000,316.7032,0.0000,123.5208,0.0000,293.8869,0.0000,92.0024,0.0000,253.1331,0.0000,39.6863,0.0000,189.1955,0.0000,330.5610,0.0000,106.1027,0.0000,257.9762,0.0000,35.9525,0.0000,177.0606,0.0000,333.0028,0.0000,126.5734,0.0000,299.9473,0.0000,96.4270,0.0000,257.0114,0.0000,46.7064,0.0000,187.4254,0.0000,336.4294,0.0000,121.9041,0.0000,258.6774,0.0000,57.1440,0.0000,209.7353,0.0000,6.7235,0.0000,164.5668
