Index, x (m), y (m), z (m), alpha (deg), beta (deg), gamma (deg), diameter (m), thickness (m), Rx, Tx, TLM, PCS
1,0.3625,0,0,90,0,0,0.15,NaN,0,1,1,1
2,0.30625,0.032476,0,192.75,0,0,0.15,NaN,0,1,1,1
3,0.30625,-0.032476,0,295.5,0,0,0.15,NaN,0,1,1,1
4,0.281809,0.108469,0,281.5,0,0,0.15,NaN,0,1,2,1
5,0.343404,0.087859,0,24.25,0,0,0.15,NaN,0,1,2,1
6,0.330455,0.151507,0,127,0,0,0.15,NaN,0,1,2,1
7,0.24779,0.253467,0,198.5,0,0,0.15,NaN,0,1,3,1
8,0.234841,0.189819,0,301.25,0,0,0.15,NaN,0,1,3,1
9,0.296436,0.210429,0,44,0,0,0.15,NaN,0,1,3,1
10,0.18125,0.313934,0,150,0,0,0.15,NaN,0,1,4,2
11,0.125,0.281458,0,252.75,0,0,0.15,NaN,0,1,4,2
12,0.18125,0.248982,0,355.5,0,0,0.15,NaN,0,1,4,2
13,0.0469678,0.298288,0,341.5,0,0,0.15,NaN,0,1,5,2
14,0.0956139,0.341326,0,84.25,0,0,0.15,NaN,0,1,5,2
15,0.0340185,0.361936,0,187,0,0,0.15,NaN,0,1,5,2
16,-0.0956139,0.341326,0,258.5,0,0,0.15,NaN,0,1,6,2
17,-0.0469678,0.298288,0,1.25,0,0,0.15,NaN,0,1,6,2
18,-0.0340185,0.361936,0,104,0,0,0.15,NaN,0,1,6,2
19,-0.18125,0.313934,0,210,0,0,0.15,NaN,0,1,7,3
20,-0.18125,0.248982,0,312.75,0,0,0.15,NaN,0,1,7,3
21,-0.125,0.281458,0,55.5,0,0,0.15,NaN,0,1,7,3
22,-0.234841,0.189819,0,41.5,0,0,0.15,NaN,0,1,8,3
23,-0.24779,0.253467,0,144.25,0,0,0.15,NaN,0,1,8,3
24,-0.296436,0.210429,0,247,0,0,0.15,NaN,0,1,8,3
25,-0.343404,0.087859,0,318.5,0,0,0.15,NaN,0,1,9,3
26,-0.281809,0.108469,0,61.25,0,0,0.15,NaN,0,1,9,3
27,-0.330455,0.151507,0,164,0,0,0.15,NaN,0,1,9,3
28,-0.3625,0,0,270,0,0,0.15,NaN,0,1,10,4
29,-0.30625,-0.032476,0,12.75,0,0,0.15,NaN,0,1,10,4
30,-0.30625,0.032476,0,115.5,0,0,0.15,NaN,0,1,10,4
31,-0.281809,-0.108469,0,101.5,0,0,0.15,NaN,0,1,11,4
32,-0.343404,-0.087859,0,204.25,0,0,0.15,NaN,0,1,11,4
33,-0.330455,-0.151507,0,307,0,0,0.15,NaN,0,1,11,4
34,-0.24779,-0.253467,0,18.5,0,0,0.15,NaN,0,1,12,4
35,-0.234841,-0.189819,0,121.25,0,0,0.15,NaN,0,1,12,4
36,-0.296436,-0.210429,0,224,0,0,0.15,NaN,0,1,12,4
37,-0.18125,-0.313934,0,330,0,0,0.15,NaN,0,1,13,5
38,-0.125,-0.281458,0,72.75,0,0,0.15,NaN,0,1,13,5
39,-0.18125,-0.248982,0,175.5,0,0,0.15,NaN,0,1,13,5
40,-0.0469678,-0.298288,0,161.5,0,0,0.15,NaN,0,1,14,5
41,-0.0956139,-0.341326,0,264.25,0,0,0.15,NaN,0,1,14,5
42,-0.0340185,-0.361936,0,7,0,0,0.15,NaN,0,1,14,5
43,0.0956139,-0.341326,0,78.5,0,0,0.15,NaN,0,1,15,5
44,0.0469678,-0.298288,0,181.25,0,0,0.15,NaN,0,1,15,5
45,0.0340185,-0.361936,0,284,0,0,0.15,NaN,0,1,15,5
46,0.18125,-0.313934,0,30,0,0,0.15,NaN,0,1,16,6
47,0.18125,-0.248982,0,132.75,0,0,0.15,NaN,0,1,16,6
48,0.125,-0.281458,0,235.5,0,0,0.15,NaN,0,1,16,6
49,0.234841,-0.189819,0,221.5,0,0,0.15,NaN,0,1,17,6
50,0.24779,-0.253467,0,324.25,0,0,0.15,NaN,0,1,17,6
51,0.296436,-0.210429,0,67,0,0,0.15,NaN,0,1,17,6
52,0.343404,-0.087859,0,138.5,0,0,0.15,NaN,0,1,18,6
53,0.281809,-0.108469,0,241.25,0,0,0.15,NaN,0,1,18,6
54,0.330455,-0.151507,0,344,0,0,0.15,NaN,0,1,18,6
