First line is descriptive text that is ignored by the preparation tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstTheta,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaTheta,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumTheta,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstPhi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaPhi,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumPhi,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,29500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarisation,RHCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriLensQR,440-0329-00527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LensNumber,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RawAttenPhase,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,352.7405,0,353.5199,0,354.2999,0,355.0804,0,355.861,0,356.6415,0,357.4215,0,358.2009,0,0.40659,0,2.629,0,4.8615,0,7.0975,0,9.33,0,11.5524,0,13.7581,0,16.2717,0,18.8101,0,21.3637,0,23.9223,0,26.4759,0,29.0143,0,31.5279,0,36.9536,0,42.6593,0,48.5472,0,54.4984,0,60.3864,0,66.092,0,71.5177,0,73.4332,0,75.3596,0,77.2926,0,79.2278,0,81.1607,0,83.0871,0,85.0027
0,352.7405,0,355.1148,0,355.9162,0,356.7053,0,357.494,0,358.2819,0,359.0688,0,359.8542,0,1.3523,0,3.5898,0,5.8347,0,8.08,0,10.3188,0,12.5445,0,14.7505,0,16.2091,0,18.7466,0,21.2994,0,23.8577,0,26.4111,0,28.9496,0,31.4635,0,34.8464,0,40.4109,0,46.1953,0,52.0903,0,57.9733,0,63.7233,0,69.2349,0,69.3928,0,71.3099,0,73.2429,0,75.1873,0,77.1389,0,79.0931,0,81.0453
0,352.7405,0,355.6365,0,357.543,0,358.3648,0,359.1603,0,359.9544,0,0.74684,0,1.5372,0,2.3253,0,4.5607,0,6.8167,0,9.0701,0,11.314,0,13.5415,0,15.7464,0,16.7541,0,18.683,0,21.2352,0,23.793,0,26.3462,0,28.8848,0,31.399,0,34.4443,0,38.2304,0,43.897,0,49.7172,0,55.5748,0,61.349,0,66.929,0,67.0403,0,67.2507,0,69.1641,0,71.0982,0,73.0489,0,75.0117,0,76.9821
0,352.7405,0,356.1589,0,358.0712,0,0.018174,0,0.85805,0,1.6571,0,2.4537,0,3.2477,0,4.0386,0,5.5411,0,7.807,0,10.0673,0,12.3148,0,14.543,0,16.7453,0,17.7567,0,18.7724,0,21.1711,0,23.7284,0,26.2814,0,28.8201,0,31.3346,0,34.3794,0,37.467,0,41.6576,0,47.3863,0,53.1988,0,58.9771,0,64.6073,0,64.7216,0,64.8357,0,65.0974,0,67.0016,0,68.9312,0,70.8825,0,72.8511
0,352.7405,0,356.1932,0,358.5996,0,0.55097,0,2.5321,0,3.3876,0,4.1871,0,4.9831,0,5.7755,0,6.5639,0,8.8053,0,11.071,0,13.3208,0,15.5482,0,17.7467,0,18.7611,0,19.7792,0,21.1069,0,23.6638,0,26.2166,0,28.7553,0,31.2702,0,34.3146,0,37.4021,0,40.5154,0,45.1041,0,50.8532,0,56.6157,0,62.2771,0,62.3942,0,62.511,0,62.6276,0,62.9389,0,64.8283,0,66.7478,0,68.6939
0,352.7405,0,355.2242,0,359.1282,0,1.0836,0,3.0675,0,5.0759,0,5.9442,0,6.7409,0,7.5331,0,8.3207,0,9.8109,0,12.0807,0,14.3314,0,16.5565,0,18.7498,0,19.7666,0,20.7866,0,21.8089,0,23.5992,0,26.1518,0,28.6906,0,31.2057,0,34.2497,0,37.3371,0,40.4507,0,43.5723,0,48.545,0,54.2727,0,59.9462,0,60.0657,0,60.1849,0,60.3039,0,60.4226,0,60.7813,0,62.6504,0,64.5542
0,352.7405,0,354.2621,0,359.6567,0,1.6158,0,3.6023,0,5.6118,0,7.6398,0,8.518,0,9.3086,0,10.0939,0,10.8735,0,13.0959,0,15.346,0,17.5675,0,19.7541,0,20.7728,0,21.7939,0,22.8168,0,23.8408,0,26.087,0,28.6258,0,31.1413,0,34.1848,0,37.2721,0,40.386,0,43.5083,0,46.6206,0,51.9557,0,57.6224,0,57.7438,0,57.8649,0,57.9859,0,58.1066,0,58.2271,0,58.6307,0,60.4743
0,352.7405,0,353.3072,0,0.18519,0,2.1477,0,4.1363,0,6.1467,0,8.1742,0,10.2138,0,11.0987,0,11.88,0,12.6551,0,14.1158,0,16.364,0,18.5803,0,20.759,0,21.7788,0,22.8005,0,23.8233,0,24.8466,0,26.0223,0,28.5611,0,31.0768,0,34.1199,0,37.2071,0,40.3213,0,43.4443,0,46.5576,0,49.6716,0,55.313,0,55.436,0,55.5587,0,55.6812,0,55.8035,0,55.9256,0,56.0475,0,56.493
0,352.7405,0,352.6439,0,359.7206,0,2.6791,0,4.6695,0,6.6803,0,8.707,0,10.7444,0,12.7876,0,13.6759,0,14.4448,0,15.2067,0,17.3847,0,19.5945,0,21.7639,0,22.7842,0,23.8058,0,24.8279,0,25.8498,0,26.871,0,28.4964,0,31.0124,0,34.055,0,37.1421,0,40.2565,0,43.3802,0,46.4945,0,49.5813,0,53.0255,0,53.1496,0,53.6624,0,54.3397,0,55.0177,0,55.6962,0,56.3751,0,57.054
0,352.7405,0,352.1322,0,358.7322,0,3.2099,0,5.2017,0,7.2127,0,9.2381,0,11.273,0,13.3123,0,15.3507,0,16.2391,0,16.9927,0,18.4075,0,20.6094,0,22.768,0,23.7884,0,24.8092,0,25.8299,0,26.8499,0,27.8684,0,28.8849,0,30.948,0,33.99,0,37.077,0,40.1918,0,43.3389,0,46.6074,0,49.848,0,53.0407,0,54.6567,0,55.3367,0,56.0171,0,56.6978,0,57.3785,0,58.059,0,58.7391
0,352.7405,0,351.6198,0,357.7488,0,3.74,0,5.7329,0,7.7437,0,9.7676,0,11.7995,0,13.8345,0,15.8675,0,17.8932,0,18.7784,0,19.5141,0,21.6243,0,23.7709,0,24.7905,0,25.81,0,26.8288,0,27.8462,0,28.8615,0,29.8741,0,30.8835,0,34.0703,0,37.3091,0,40.5801,0,43.8623,0,47.1342,0,50.3749,0,53.5643,0,55.2633,0,56.9738,0,57.7045,0,58.3866,0,59.0683,0,59.7493,0,60.4295
0,352.7405,0,351.1068,0,356.7709,0,4.2693,0,6.263,0,8.2732,0,10.2952,0,12.3239,0,14.3544,0,16.3814,0,18.4001,0,20.4054,0,21.2844,0,22.6387,0,24.772,0,25.7902,0,26.8078,0,27.8239,0,28.8381,0,29.8496,0,30.971,0,32.1189,0,34.6353,0,37.8181,0,41.0989,0,44.3875,0,47.6624,0,50.9025,0,54.0881,0,55.7891,0,57.5006,0,59.2197,0,60.0814,0,60.7629,0,61.4433,0,62.1223
0,352.7405,0,351.0963,0,355.7991,0,3.2977,0,6.7919,0,8.8012,0,10.8209,0,12.8461,0,14.8717,0,16.8926,0,18.9038,0,20.9006,0,22.8783,0,23.7482,0,25.7705,0,26.7868,0,27.8018,0,28.8148,0,29.9114,0,31.0586,0,32.2081,0,33.3589,0,35.8908,0,38.4669,0,41.62,0,44.9145,0,48.1918,0,51.4308,0,54.612,0,56.3146,0,58.0269,0,59.7458,0,61.4683,0,62.4593,0,63.1378,0,63.8145
0,352.7405,0,351.0963,0,354.8338,0,2.2972,0,7.3195,0,9.3276,0,11.3447,0,13.366,0,15.3864,0,17.4008,0,19.4045,0,21.3925,0,23.3604,0,25.3039,0,26.7659,0,27.7797,0,28.8521,0,29.9977,0,31.1465,0,32.2975,0,33.4498,0,34.6024,0,37.1475,0,39.7319,0,42.3458,0,45.4432,0,48.7222,0,51.9596,0,55.1359,0,56.8399,0,58.5526,0,60.271,0,61.9921,0,63.7126,0,64.83,0,65.5032
