First line is descriptive text that is ignored by the preparation tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstTheta,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaTheta,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumTheta,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstPhi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaPhi,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumPhi,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,30500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarisation,LHCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriLensQR,440-0329-00890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LensNumber,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RawAttenPhase,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,244.0639,0,245.5083,0,246.9574,0,248.4093,0,249.8622,0,251.3141,0,252.7632,0,254.2077,0,254.8774,0,255.5476,0,256.218,0,256.8886,0,257.5591,0,258.2292,0,258.899,0,261.7215,0,264.5796,0,267.4593,0,270.3463,0,273.226,0,276.084,0,278.9066,0,282.1006,0,285.3464,0,288.6242,0,291.9128,0,295.1907,0,298.4365,0,301.6305,0,305.8964,0,310.2907,0,314.7658,0,319.2686,0,323.7437,0,328.138,0,332.4039
0,244.0639,0,246.1083,0,247.5732,0,249.0349,0,250.4967,0,251.9568,0,253.4132,0,254.8641,0,255.9275,0,256.6002,0,257.2728,0,257.9453,0,258.6173,0,259.2888,0,259.9596,0,262.3093,0,265.1802,0,268.0698,0,270.9637,0,273.8471,0,276.7057,0,279.5257,0,282.6784,0,285.9401,0,289.2302,0,292.527,0,295.809,0,299.055,0,302.2452,0,304.7729,0,309.1198,0,313.5599,0,318.0419,0,322.5114,0,326.915,0,331.2037
0,244.0639,0,246.2445,0,248.1863,0,249.6684,0,251.139,0,252.607,0,254.0704,0,255.5274,0,256.9762,0,257.6594,0,258.3338,0,259.0077,0,259.6809,0,260.3533,0,261.0246,0,263.1793,0,265.7846,0,268.6836,0,271.5837,0,274.4702,0,277.3286,0,280.1454,0,283.2988,0,286.5379,0,289.8395,0,293.144,0,296.4294,0,299.6747,0,302.8603,0,305.3439,0,307.965,0,312.367,0,316.8245,0,321.2843,0,325.693,0,330.0008
0,244.0639,0,246.3804,0,248.3208,0,250.293,0,251.789,0,253.2646,0,254.7347,0,256.1975,0,257.651,0,258.7246,0,259.4003,0,260.0752,0,260.7491,0,261.4218,0,262.0932,0,264.2601,0,266.4614,0,269.3005,0,272.2062,0,275.095,0,277.9526,0,280.7655,0,283.927,0,287.1594,0,290.4522,0,293.7635,0,297.0516,0,300.2954,0,303.4757,0,305.9641,0,308.4867,0,311.1878,0,315.6172,0,320.0634,0,324.4733,0,328.7962
0,244.0639,0,246.3978,0,248.4549,0,250.4254,0,252.4234,0,253.9296,0,255.406,0,256.8742,0,258.3322,0,259.7782,0,260.4717,0,261.1471,0,261.8212,0,262.4938,0,263.1648,0,265.3424,0,267.5514,0,269.9204,0,272.8311,0,275.7215,0,278.5776,0,281.3859,0,284.5547,0,287.7906,0,291.0746,0,294.3855,0,297.6754,0,300.9171,0,304.0913,0,306.5839,0,309.1083,0,311.6552,0,314.4211,0,318.8498,0,323.2567,0,327.5909
0,244.0639,0,246.1718,0,248.5887,0,250.5574,0,252.5532,0,254.5717,0,256.0843,0,257.5575,0,259.0195,0,260.4686,0,261.5471,0,262.2226,0,262.8964,0,263.5685,0,264.2387,0,266.4254,0,268.6405,0,270.8778,0,273.4581,0,276.3496,0,279.2034,0,282.0065,0,285.1817,0,288.4203,0,291.7029,0,295.0086,0,298.3008,0,301.5395,0,304.7068,0,307.2031,0,309.7288,0,312.2745,0,314.8304,0,317.6445,0,322.0445,0,326.386
0,244.0639,0,245.9461,0,248.7221,0,250.6891,0,252.6827,0,254.6986,0,256.7322,0,258.2472,0,259.7129,0,261.1646,0,262.6009,0,263.3009,0,263.974,0,264.6451,0,265.3139,0,267.5083,0,269.7279,0,271.9664,0,274.2172,0,276.9789,0,279.8299,0,282.6271,0,285.8081,0,289.0485,0,292.3288,0,295.6281,0,298.9245,0,302.1625,0,305.3223,0,307.8216,0,310.348,0,312.892,0,315.4436,0,317.9927,0,320.8377,0,325.1827
0,244.0639,0,245.7209,0,248.8552,0,250.8203,0,252.8118,0,254.8251,0,256.8558,0,258.8988,0,260.4122,0,261.8661,0,263.3036,0,264.3815,0,265.0533,0,265.7229,0,266.3899,0,268.5904,0,270.8129,0,273.051,0,275.298,0,277.6096,0,280.4569,0,283.2475,0,286.4335,0,289.675,0,292.9523,0,296.2444,0,299.5295,0,302.786,0,305.9375,0,308.4393,0,310.9658,0,313.5074,0,316.0542,0,318.5961,0,321.1233,0,323.9819
0,244.0639,0,245.1992,0,248.7519,0,250.9512,0,252.9404,0,254.9512,0,256.979,0,259.0187,0,261.0653,0,262.573,0,264.0112,0,265.4306,0,266.1335,0,266.8011,0,267.4658,0,269.6708,0,271.8946,0,274.1308,0,276.3724,0,278.6128,0,281.0842,0,283.8676,0,287.0578,0,290.2996,0,293.5731,0,296.8573,0,300.1306,0,303.3719,0,306.5522,0,309.0559,0,311.5594,0,314.0678,0,316.5814,0,319.0905,0,321.5857,0,324.0576
0,244.0639,0,244.5202,0,248.5233,0,251.0817,0,253.0687,0,255.0769,0,257.1017,0,259.1381,0,261.1811,0,263.2254,0,264.7236,0,266.1423,0,267.2138,0,267.8789,0,268.5409,0,270.7489,0,272.9724,0,275.2049,0,277.4397,0,279.67,0,281.889,0,284.4873,0,287.681,0,290.9223,0,294.1912,0,297.4983,0,300.9784,0,304.4343,0,307.8417,0,309.4475,0,311.9469,0,314.4597,0,316.9763,0,319.4868,0,321.9818,0,324.4521
0,244.0639,0,243.8417,0,248.295,0,251.2118,0,253.1966,0,255.2022,0,257.224,0,259.2571,0,261.2964,0,263.3369,0,265.3733,0,266.858,0,268.2535,0,268.9556,0,269.6144,0,271.8238,0,274.0454,0,276.2728,0,278.4993,0,280.718,0,282.9225,0,285.1064,0,288.4869,0,291.9331,0,295.4217,0,298.9271,0,302.4233,0,305.8845,0,309.2866,0,310.8268,0,312.3804,0,314.8528,0,317.3719,0,319.8836,0,322.3783,0,324.8467
0,244.0639,0,243.1639,0,248.067,0,251.3415,0,253.324,0,255.327,0,257.3459,0,259.3756,0,261.4114,0,263.4479,0,265.4801,0,267.5029,0,268.9707,0,270.0305,0,270.6856,0,272.8948,0,275.113,0,277.3338,0,279.5504,0,281.7563,0,283.5131,0,285.1672,0,289.7162,0,293.3233,0,296.8451,0,300.3733,0,303.8813,0,307.3434,0,310.7358,0,312.2835,0,313.8425,0,315.4107,0,317.7684,0,320.2809,0,322.775,0,325.2413
0,244.0639,0,243.1501,0,247.8394,0,251.1183,0,253.4511,0,255.4515,0,257.4673,0,259.4938,0,261.5259,0,263.5585,0,265.5864,0,267.6048,0,269.6087,0,271.0562,0,271.7538,0,273.9612,0,276.1745,0,278.3872,0,280.2485,0,281.9133,0,283.5741,0,285.2281,0,289.7781,0,294.4899,0,298.2888,0,301.8356,0,305.3508,0,308.809,0,312.1872,0,313.7405,0,315.303,0,316.8725,0,318.4466,0,320.6787,0,323.1719,0,325.6358
0,244.0639,0,243.1501,0,247.6121,0,250.8879,0,253.5778,0,255.5755,0,257.5884,0,259.6115,0,261.6399,0,263.6686,0,265.6924,0,267.7064,0,269.7056,0,271.6855,0,272.8181,0,275.0223,0,276.9786,0,278.6433,0,280.3094,0,281.9743,0,283.635,0,285.2889,0,289.8401,0,294.5521,0,299.3674,0,303.3121,0,306.8299,0,310.2797,0,313.6392,0,315.1961,0,316.76,0,318.3287,0,319.8998,0,321.4711,0,323.569,0,326.0304
