metric,lowerRange,upperRange
TLM_1_Rx1.1v.Volts.Now,NaN,NaN
TLM_1_Rx2.1v.Volts.Now,NaN,NaN
TLM_1_Rx3.1v.Volts.Now,NaN,NaN
TLM_2_Rx1.1v.Volts.Now,NaN,NaN
TLM_2_Rx2.1v.Volts.Now,NaN,NaN
TLM_2_Rx3.1v.Volts.Now,NaN,NaN
TLM_3_Rx1.1v.Volts.Now,NaN,NaN
TLM_3_Rx2.1v.Volts.Now,NaN,NaN
TLM_3_Rx3.1v.Volts.Now,NaN,NaN
TLM_4_Rx1.1v.Volts.Now,NaN,NaN
TLM_4_Rx2.1v.Volts.Now,NaN,NaN
TLM_4_Rx3.1v.Volts.Now,NaN,NaN
TLM_5_Rx1.1v.Volts.Now,NaN,NaN
TLM_5_Rx2.1v.Volts.Now,NaN,NaN
TLM_5_Rx3.1v.Volts.Now,NaN,NaN
TLM_6_Rx1.1v.Volts.Now,NaN,NaN
TLM_6_Rx2.1v.Volts.Now,NaN,NaN
TLM_6_Rx3.1v.Volts.Now,NaN,NaN
TLM_1_Rx1.1v.Amps.Now,NaN,NaN
TLM_1_Rx2.1v.Amps.Now,NaN,NaN
TLM_1_Rx3.1v.Amps.Now,NaN,NaN
TLM_2_Rx1.1v.Amps.Now,NaN,NaN
TLM_2_Rx2.1v.Amps.Now,NaN,NaN
TLM_2_Rx3.1v.Amps.Now,NaN,NaN
TLM_3_Rx1.1v.Amps.Now,NaN,NaN
TLM_3_Rx2.1v.Amps.Now,NaN,NaN
TLM_3_Rx3.1v.Amps.Now,NaN,NaN
TLM_4_Rx1.1v.Amps.Now,NaN,NaN
TLM_4_Rx2.1v.Amps.Now,NaN,NaN
TLM_4_Rx3.1v.Amps.Now,NaN,NaN
TLM_5_Rx1.1v.Amps.Now,NaN,NaN
TLM_5_Rx2.1v.Amps.Now,NaN,NaN
TLM_5_Rx3.1v.Amps.Now,NaN,NaN
TLM_6_Rx1.1v.Amps.Now,NaN,NaN
TLM_6_Rx2.1v.Amps.Now,NaN,NaN
TLM_6_Rx3.1v.Amps.Now,NaN,NaN
TLM_1_Rx1.1v5.Volts.Now,NaN,NaN
TLM_1_Rx2.1v5.Volts.Now,NaN,NaN
TLM_1_Rx3.1v5.Volts.Now,NaN,NaN
TLM_2_Rx1.1v5.Volts.Now,NaN,NaN
TLM_2_Rx2.1v5.Volts.Now,NaN,NaN
TLM_2_Rx3.1v5.Volts.Now,NaN,NaN
TLM_3_Rx1.1v5.Volts.Now,NaN,NaN
TLM_3_Rx2.1v5.Volts.Now,NaN,NaN
TLM_3_Rx3.1v5.Volts.Now,NaN,NaN
TLM_4_Rx1.1v5.Volts.Now,NaN,NaN
TLM_4_Rx2.1v5.Volts.Now,NaN,NaN
TLM_4_Rx3.1v5.Volts.Now,NaN,NaN
TLM_5_Rx1.1v5.Volts.Now,NaN,NaN
TLM_5_Rx2.1v5.Volts.Now,NaN,NaN
TLM_5_Rx3.1v5.Volts.Now,NaN,NaN
TLM_6_Rx1.1v5.Volts.Now,NaN,NaN
TLM_6_Rx2.1v5.Volts.Now,NaN,NaN
TLM_6_Rx3.1v5.Volts.Now,NaN,NaN
TLM_1_Rx1.1v5.Amps.Now,NaN,NaN
TLM_1_Rx2.1v5.Amps.Now,NaN,NaN
TLM_1_Rx3.1v5.Amps.Now,NaN,NaN
TLM_2_Rx1.1v5.Amps.Now,NaN,NaN
TLM_2_Rx2.1v5.Amps.Now,NaN,NaN
TLM_2_Rx3.1v5.Amps.Now,NaN,NaN
TLM_3_Rx1.1v5.Amps.Now,NaN,NaN
TLM_3_Rx2.1v5.Amps.Now,NaN,NaN
TLM_3_Rx3.1v5.Amps.Now,NaN,NaN
TLM_4_Rx1.1v5.Amps.Now,NaN,NaN
TLM_4_Rx2.1v5.Amps.Now,NaN,NaN
