metric,lowerRange,upperRange
pcs_0_state,NaN,NaN
pcs_1_state,NaN,NaN
pcs_2_state,NaN,NaN
pcs_3_state,NaN,NaN
pcs_4_state,NaN,NaN
pcs_5_state,NaN,NaN
pcs_0_tlm_5_pllLock1,1,1
pcs_1_tlm_5_pllLock1,1,1
pcs_2_tlm_5_pllLock1,1,1
pcs_3_tlm_5_pllLock1,1,1
pcs_4_tlm_5_pllLock1,1,1
pcs_5_tlm_5_pllLock1,1,1
pcs_0_tlm_5_pllLock2,1,1
pcs_1_tlm_5_pllLock2,1,1
pcs_2_tlm_5_pllLock2,1,1
pcs_3_tlm_5_pllLock2,1,1
pcs_4_tlm_5_pllLock2,1,1
pcs_5_tlm_5_pllLock2,1,1
pcs_0_tlm_5_pllTemp1,10,90
pcs_1_tlm_5_pllTemp1,10,90
pcs_2_tlm_5_pllTemp1,10,90
pcs_3_tlm_5_pllTemp1,10,90
pcs_4_tlm_5_pllTemp1,10,90
pcs_5_tlm_5_pllTemp1,10,90
pcs_0_tlm_5_pllTemp2,10,90
pcs_1_tlm_5_pllTemp2,10,90
pcs_2_tlm_5_pllTemp2,10,90
pcs_3_tlm_5_pllTemp2,10,90
pcs_4_tlm_5_pllTemp2,10,90
pcs_5_tlm_5_pllTemp2,10,90
pcs_0_tlm_2_pllLock1,1,1
pcs_1_tlm_2_pllLock1,1,1
pcs_2_tlm_2_pllLock1,1,1
pcs_3_tlm_2_pllLock1,1,1
pcs_4_tlm_2_pllLock1,1,1
pcs_5_tlm_2_pllLock1,1,1
pcs_0_tlm_2_pllLock2,1,1
pcs_1_tlm_2_pllLock2,1,1
pcs_2_tlm_2_pllLock2,1,1
pcs_3_tlm_2_pllLock2,1,1
pcs_4_tlm_2_pllLock2,1,1
pcs_5_tlm_2_pllLock2,1,1
