metric,lowerRange,upperRange
TPB.FanBay1.fan1.RPM,5500.0,8500.0
TPB.FanBay1.fan2.RPM,5500.0,8500.0
TPB.FanBay1.fan3.RPM,5500.0,8500.0
TPB.FanBay1.fan4.RPM,5500.0,8500.0
TPB.FanBay2.fan1.RPM,5500.0,8500.0
TPB.FanBay2.fan2.RPM,5500.0,8500.0
TPB.FanBay2.fan3.RPM,5500.0,8500.0
TPB.FanBay2.fan4.RPM,5500.0,8500.0
TPB.FanBay1.fan1.Status,1.0,1.0
TPB.FanBay1.fan2.Status,1.0,1.0
TPB.FanBay1.fan3.Status,1.0,1.0
TPB.FanBay1.fan4.Status,1.0,1.0
TPB.FanBay2.fan1.Status,1.0,1.0
TPB.FanBay2.fan2.Status,1.0,1.0
TPB.FanBay2.fan3.Status,1.0,1.0
TPB.FanBay2.fan4.Status,1.0,1.0
TPB.PsuMeasurements.MPB1I.Amps.Now,0.0,0.5
TPB.PsuMeasurements.MPB2I.Amps.Now,0.0,0.5
TPB.PsuMeasurements.MPB3I.Amps.Now,0.0,0.5
TPB.PsuMeasurements.CCUI.Amps.Now,2.3,5.65
TPB.PsuMeasurements.PCS1I.Amps.Now,0.003,4.1
TPB.PsuMeasurements.PCS2I.Amps.Now,0.003,4.1
TPB.PsuMeasurements.PCS3I.Amps.Now,0.003,4.1
TPB.PsuMeasurements.PCS4I.Amps.Now,0.003,4.1
TPB.PsuMeasurements.PCS5I.Amps.Now,0.003,4.1
TPB.PsuMeasurements.PCS6I.Amps.Now,0.003,4.1
TPB.PsuMeasurements.MPB1V.Volts.Now,23.0,25.0
TPB.PsuMeasurements.MPB2V.Volts.Now,23.0,25.0
TPB.PsuMeasurements.MPB3V.Volts.Now,23.0,25.0
TPB.PsuMeasurements.CCUV.Volts.Now,23.0,25.0
TPB.PsuMeasurements.PCS1V.Volts.Now,35.0,36.5
TPB.PsuMeasurements.PCS2V.Volts.Now,35.0,36.5
TPB.PsuMeasurements.PCS3V.Volts.Now,35.0,36.5
TPB.PsuMeasurements.PCS4V.Volts.Now,35.0,36.5
TPB.PsuMeasurements.PCS5V.Volts.Now,35.0,36.5
TPB.PsuMeasurements.PCS6V.Volts.Now,35.0,36.5
