Portman_all,Portman_Gen2,Sanmina_all,Sanmina_Gen2,Portman Check,Sanmina Check,Boards,,
QR420-0345-20918,QR420-0461-20092,QR420-0345-20918,QR420-0461-20088,39,MISSING, ,,
QR420-0345-20690,QR420-0461-20028,QR420-0345-20886,QR420-0461-20068,14,4,QR420-0461-20028,,QR420-0461-20028
QR420-0345-20886,QR420-0461-20068,QR420-0345-20690,QR420-0461-20087,2,37,QR420-0461-20068,,QR420-0461-20068
QR420-0345-20757,QR420-0461-20123,QR420-0345-20866,QR420-0461-20036,9,11,QR420-0461-20123,,QR420-0461-20123
QR420-0345-20866,QR420-0461-20078,QR420-0461-20088,QR420-0461-20094,40,40, ,,QR420-0461-20001
QR420-0345-20856,QR420-0461-20001,QR420-0345-20757,QR420-0461-20064,28,12,QR420-0461-20001,,QR420-0461-20037
QR420-0345-20439,QR420-0461-20076,QR420-0345-20799,QR420-0461-20038,42,35, ,,QR420-0461-20036
QR420-0345-20315,QR420-0461-20103,QR420-0345-20856,QR420-0461-20110,72,MISSING, ,,QR420-0461-20064
QR420-0345-20799,QR420-0461-20037,QR420-0345-20315,QR420-0461-20123,18,5,QR420-0461-20037,,QR420-0461-20014
QR420-0345-20344,QR420-0461-20036,QR420-0345-20831,QR420-0461-20102,4,17,QR420-0461-20036,,QR420-0461-20100
QR420-0345-20862,QR420-0461-20064,QR420-0461-20068,QR420-0461-20041,6,46,QR420-0461-20064,,QR420-0461-20102
QR420-0345-20855,QR420-0461-20014,QR420-0345-20862,QR420-0461-20101,13,38,QR420-0461-20014,,QR420-0461-20010
QR420-0345-20752,QR420-0461-20100,QR420-0345-20749,QR420-0461-20014,23,13,QR420-0461-20100,,QR420-0461-20021
QR420-0345-20749,QR420-0461-20081,QR420-0345-20389,QR420-0461-20028,56,3, ,,QR420-0461-20038
QR420-0345-20872,QR420-0461-20082,QR420-0345-20752,QR420-0461-20010,79,22, ,,QR420-0461-20087
QR420-0345-20831,QR420-0461-20102,QR420-0345-20439,QR420-0461-20015,10,39,QR420-0461-20102,,QR420-0461-20101
QR420-0345-20389,QR420-0461-20069,QR420-0345-20995,QR420-0461-20016,35,50, ,,QR420-0461-20015
QR420-0345-20443,QR420-0461-20093,QR420-0345-20855,QR420-0461-20037,47,10, ,,QR420-0461-20094
QR420-0345-20193,QR420-0461-20083,QR420-0345-20897,QR420-0461-20017,66,60, ,,QR420-0461-20113
QR420-0345-20897,QR420-0461-20035,QR420-0345-20344,QR420-0345-21000,57,MISSING, ,,QR420-0461-20041
QR420-0345-20630,QR420-0461-20010,QR420-0345-20993,QR420-0461-20048,15,MISSING,QR420-0461-20010,,QR420-0461-20016
