Lens and feed coordinates within the array global CS and probe rotation angle - Lens: Mrk1TxPCBv4_MockUpOnlyGoodForCalGeom - Array geometry: Mrk1_S2000_TLM_TX_ArrayGeometry_V20062022.csv - Array Tool Version 13102022
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
1.00,1.00,0.00,-37.50,1.25,-35.34,315.00,45.00,45.00,0.00
1.00,2.00,0.00,-37.50,-3.75,-35.34,315.00,315.00,45.00,0.00
1.00,3.00,0.00,-37.50,-1.25,-39.66,315.00,45.00,45.00,0.00
1.00,4.00,0.00,-37.50,3.75,-39.66,315.00,315.00,45.00,0.00
1.00,5.00,0.00,-37.50,6.25,-35.34,315.00,45.00,45.00,0.00
1.00,6.00,0.00,-37.50,3.75,-31.00,315.00,315.00,45.00,0.00
1.00,7.00,0.00,-37.50,-1.25,-31.00,315.00,45.00,45.00,0.00
1.00,8.00,0.00,-37.50,-6.25,-31.00,315.00,315.00,45.00,0.00
1.00,9.00,0.00,-37.50,-8.75,-35.34,315.00,45.00,45.00,0.00
1.00,10.00,0.00,-37.50,-6.25,-39.66,315.00,315.00,45.00,0.00
1.00,11.00,0.00,-37.50,-3.75,-43.99,315.00,45.00,45.00,0.00
1.00,12.00,0.00,-37.50,1.25,-43.99,315.00,315.00,45.00,0.00
1.00,13.00,0.00,-37.50,6.25,-43.99,315.00,45.00,45.00,0.00
1.00,14.00,0.00,-37.50,8.75,-39.66,315.00,315.00,45.00,0.00
1.00,15.00,0.00,-37.50,11.25,-35.34,315.00,45.00,45.00,0.00
1.00,16.00,0.00,-37.50,8.75,-31.00,315.00,315.00,45.00,0.00
1.00,17.00,0.00,-37.50,6.25,-26.68,315.00,45.00,45.00,0.00
1.00,18.00,0.00,-37.50,1.25,-26.68,315.00,315.00,45.00,0.00
1.00,19.00,0.00,-37.50,-3.75,-26.68,315.00,45.00,45.00,0.00
1.00,20.00,0.00,-37.50,-8.75,-26.68,315.00,315.00,45.00,0.00
1.00,21.00,0.00,-37.50,-11.25,-31.00,315.00,45.00,45.00,0.00
1.00,22.00,0.00,-37.50,-13.75,-35.34,315.00,315.00,45.00,0.00
1.00,23.00,0.00,-37.50,-11.25,-39.66,315.00,45.00,45.00,0.00
1.00,24.00,0.00,-37.50,-8.75,-43.99,315.00,315.00,45.00,0.00
1.00,25.00,0.00,-37.50,-6.25,-48.33,315.00,45.00,45.00,0.00
