RFIC Number,H- Feed,V-Feed,Patch Number
7,CH3_H,CH3_V,1
10,CH0_H,CH0_V,2
6,CH0_H,CH0_V,3
3,CH3_H,CH3_V,4
7,CH2_H,CH2_V,5
7,CH0_H,CH0_V,6
7,CH1_H,CH1_V,7
10,CH1_H,CH1_V,8
10,CH2_H,CH2_V,9
6,CH1_H,CH1_V,10
6,CH3_H,CH3_V,11
6,CH2_H,CH2_V,12
3,CH2_H,CH2_V,13
3,CH1_H,CH1_V,14
4,CH0_H,CH0_V,15
4,CH2_H,CH2_V,16
8,CH2_H,CH2_V,17
11,CH2_H,CH2_V,18
11,CH3_H,CH3_V,19
10,CH3_H,CH3_V,20
12,CH1_H,CH1_V,21
9,CH3_H,CH3_V,22
9,CH1_H,CH1_V,23
5,CH0_H,CH0_V,24
2,CH1_H,CH1_V,25
2,CH0_H,CH0_V,26
1,CH0_H,CH0_V,27
3,CH0_H,CH0_V,28
1,CH2_H,CH2_V,29
4,CH1_H,CH1_V,30
4,CH3_H,CH3_V,31
8,CH0_H,CH0_V,32
8,CH1_H,CH1_V,33
8,CH3_H,CH3_V,34
11,CH0_H,CH0_V,35
11,CH1_H,CH1_V,36
12,CH3_H,CH3_V,37
12,CH2_H,CH2_V,38
12,CH0_H,CH0_V,39
9,CH2_H,CH2_V,40
9,CH0_H,CH0_V,41
5,CH1_H,CH1_V,42
5,CH3_H,CH3_V,43
5,CH2_H,CH2_V,44
2,CH3_H,CH3_V,45
2,CH2_H,CH2_V,46
1,CH1_H,CH1_V,47
1,CH3_H,CH3_V,48
