Lens and feed coordinates within the array global CS and probe rotation angle - Lens: EVT_Rx_ES1_V10_Npa48_UnBal_L6-89-10_Nominal_17.7_21.2_Nf8 - Array geometry: Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022.csv - Array Tool Version 23112022
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
1.00,1.00,0.00,-37.50,0.00,-40.45,135.00,315.00,135.00,0.00
1.00,2.00,0.00,-37.50,5.11,-37.50,315.00,45.00,225.00,0.00
1.00,3.00,0.00,-37.50,0.00,-34.55,315.00,315.00,135.00,0.00
1.00,4.00,0.00,-37.50,-5.11,-37.50,135.00,45.00,225.00,0.00
1.00,5.00,0.00,-37.50,-5.11,-43.40,315.00,315.00,135.00,0.00
1.00,6.00,0.00,-37.50,0.00,-46.35,315.00,45.00,225.00,0.00
1.00,7.00,0.00,-37.50,5.11,-43.40,135.00,315.00,135.00,0.00
1.00,8.00,0.00,-37.50,10.22,-40.45,135.00,45.00,225.00,0.00
1.00,9.00,0.00,-37.50,10.22,-34.55,315.00,315.00,135.00,0.00
1.00,10.00,0.00,-37.50,5.11,-31.60,135.00,45.00,225.00,0.00
1.00,11.00,0.00,-37.50,0.00,-28.65,135.00,315.00,135.00,0.00
1.00,12.00,0.00,-37.50,-5.11,-31.60,315.00,45.00,225.00,0.00
1.00,13.00,0.00,-37.50,-10.22,-34.55,315.00,315.00,135.00,0.00
1.00,14.00,0.00,-37.50,-10.22,-40.45,135.00,45.00,225.00,0.00
1.00,15.00,0.00,-37.50,-10.22,-46.35,135.00,315.00,135.00,0.00
1.00,16.00,0.00,-37.50,-5.11,-49.30,135.00,45.00,225.00,0.00
1.00,17.00,0.00,-37.50,0.00,-52.25,315.00,315.00,135.00,0.00
1.00,18.00,0.00,-37.50,5.11,-49.30,315.00,45.00,225.00,0.00
1.00,19.00,0.00,-37.50,10.22,-46.35,135.00,315.00,135.00,0.00
1.00,20.00,0.00,-37.50,15.33,-37.50,135.00,45.00,225.00,0.00
1.00,21.00,0.00,-37.50,15.33,-31.60,315.00,315.00,135.00,0.00
1.00,22.00,0.00,-37.50,10.22,-28.65,315.00,45.00,225.00,0.00
1.00,23.00,0.00,-37.50,5.11,-25.70,315.00,315.00,135.00,0.00
1.00,24.00,0.00,-37.50,0.00,-22.75,315.00,45.00,225.00,0.00
1.00,25.00,0.00,-37.50,-5.11,-25.70,135.00,315.00,135.00,0.00
1.00,26.00,0.00,-37.50,-10.22,-28.65,315.00,45.00,225.00,0.00
1.00,27.00,0.00,-37.50,-15.33,-31.60,135.00,315.00,135.00,0.00
1.00,28.00,0.00,-37.50,-15.33,-37.50,315.00,45.00,225.00,0.00
1.00,29.00,0.00,-37.50,-15.33,-43.40,135.00,315.00,135.00,0.00
1.00,30.00,0.00,-37.50,-15.33,-49.30,315.00,45.00,225.00,0.00
1.00,31.00,0.00,-37.50,-10.22,-52.25,315.00,315.00,135.00,0.00
1.00,32.00,0.00,-37.50,-5.11,-55.20,315.00,45.00,225.00,0.00
1.00,33.00,0.00,-37.50,0.00,-58.15,135.00,315.00,135.00,0.00
1.00,34.00,0.00,-37.50,5.11,-55.20,135.00,45.00,225.00,0.00
1.00,35.00,0.00,-37.50,10.22,-52.25,315.00,315.00,135.00,0.00
1.00,36.00,0.00,-37.50,15.33,-49.30,135.00,45.00,225.00,0.00
1.00,37.00,0.00,-37.50,15.33,-43.40,315.00,315.00,135.00,0.00
1.00,38.00,0.00,-37.50,20.44,-40.45,315.00,45.00,225.00,0.00
1.00,39.00,0.00,-37.50,20.44,-34.55,315.00,315.00,135.00,0.00
1.00,40.00,0.00,-37.50,15.33,-25.70,135.00,45.00,225.00,0.00
1.00,41.00,0.00,-37.50,10.22,-22.75,135.00,315.00,135.00,0.00
1.00,42.00,0.00,-37.50,5.11,-19.80,135.00,45.00,225.00,0.00
1.00,43.00,0.00,-37.50,0.00,-16.85,135.00,315.00,135.00,0.00
1.00,44.00,0.00,-37.50,-5.11,-19.80,315.00,45.00,225.00,0.00
1.00,45.00,0.00,-37.50,-10.22,-22.75,135.00,315.00,135.00,0.00
1.00,46.00,0.00,-37.50,-15.33,-25.70,315.00,45.00,225.00,0.00
1.00,47.00,0.00,-37.50,-20.44,-34.55,135.00,315.00,135.00,0.00
1.00,48.00,0.00,-37.50,-20.44,-40.45,135.00,45.00,225.00,0.00
2.00,1.00,32.50,18.70,34.50,20.87,272.25,92.25,272.25,137.25
2.00,2.00,32.50,18.70,28.75,22.17,92.25,182.25,2.25,137.25
2.00,3.00,32.50,18.70,30.50,16.53,92.25,92.25,272.25,137.25
2.00,4.00,32.50,18.70,36.25,15.23,272.25,182.25,2.25,137.25
2.00,5.00,32.50,18.70,40.26,19.56,92.25,92.25,272.25,137.25
2.00,6.00,32.50,18.70,38.51,25.20,92.25,182.25,2.25,137.25
2.00,7.00,32.50,18.70,32.75,26.50,272.25,92.25,272.25,137.25
2.00,8.00,32.50,18.70,27.00,27.80,272.25,182.25,2.25,137.25
2.00,9.00,32.50,18.70,22.99,23.47,92.25,92.25,272.25,137.25
2.00,10.00,32.50,18.70,24.74,17.84,272.25,182.25,2.25,137.25
2.00,11.00,32.50,18.70,26.49,12.20,272.25,92.25,272.25,137.25
2.00,12.00,32.50,18.70,32.25,10.90,92.25,182.25,2.25,137.25
2.00,13.00,32.50,18.70,38.00,9.60,92.25,92.25,272.25,137.25
2.00,14.00,32.50,18.70,42.01,13.93,272.25,182.25,2.25,137.25
2.00,15.00,32.50,18.70,46.01,18.26,272.25,92.25,272.25,137.25
2.00,16.00,32.50,18.70,44.26,23.90,272.25,182.25,2.25,137.25
2.00,17.00,32.50,18.70,42.51,29.53,92.25,92.25,272.25,137.25
2.00,18.00,32.50,18.70,36.76,30.83,92.25,182.25,2.25,137.25
2.00,19.00,32.50,18.70,31.00,32.14,272.25,92.25,272.25,137.25
2.00,20.00,32.50,18.70,21.24,29.11,272.25,182.25,2.25,137.25
2.00,21.00,32.50,18.70,17.24,24.77,92.25,92.25,272.25,137.25
2.00,22.00,32.50,18.70,18.99,19.14,92.25,182.25,2.25,137.25
2.00,23.00,32.50,18.70,20.74,13.50,92.25,92.25,272.25,137.25
2.00,24.00,32.50,18.70,22.49,7.87,92.25,182.25,2.25,137.25
2.00,25.00,32.50,18.70,28.24,6.57,272.25,92.25,272.25,137.25
2.00,26.00,32.50,18.70,34.00,5.26,92.25,182.25,2.25,137.25
2.00,27.00,32.50,18.70,39.75,3.96,272.25,92.25,272.25,137.25
2.00,28.00,32.50,18.70,43.76,8.29,92.25,182.25,2.25,137.25
2.00,29.00,32.50,18.70,47.76,12.63,272.25,92.25,272.25,137.25
