OP_COMBINER_240701-17_17_45-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam1_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:45
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,None
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
8.470469334868584, 15.155971350445787, 10.303824539263742, 300.5095469595849, 11.882291618986445, 223.35278390292132, 13.55852364839858, 147.09462621409764, 14.620701071159134, 67.15672069125627, 15.068207355236375, 352.2210469668323, 15.61230601567441, 276.1983955654802, 15.509652145289659, 201.97494556821536, 15.842983515464557, 131.80500783812974, 16.20515729256509, 57.178456834917505, 16.671117666022862, 347.9394539947182, 16.945852907861685, 275.2629743952351, 16.82878162237599, 205.3663971213724, 17.33147569267925, 133.19917503535393, 16.984053968751013, 60.98653675440558, 17.008586967653144, 350.42097272151807, 17.022736973403287, 280.59963061944586, 17.013308696550997, 209.73902513544917, 17.031049008459846, 139.1734139094131, 16.720694846098084, 68.0687407415435, 16.201981346852786, 359.88218475351727, 16.093632040140328, 290.53539018939443, 15.670039645444152, 224.70326509322265, 15.411663915065981, 156.88610368116676, 15.145056044041901, 89.36952211576835, 14.745865028211133, 22.806382647580506, 15.045103802663423, 316.23396718607523, 15.299160834164473, 249.26222269780473, 15.459455395911736, 181.80488891478763, 15.464574973092361, 109.97742747639644, 15.006801307173408, 42.77247235822358, 15.306700638084077, 334.8881357740163, 15.7490095006518, 264.9666827631961, 15.762258142267253, 191.94770707616732, 15.291321911126982, 119.66524433502249, 14.610810500064149, 47.04426784960336
