RFC_240701-17_17_54-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam2_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:54
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,None
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
0.0000,287.2549,0.0000,155.0848,0.0000,21.9143,0.0000,245.9616,0.0000,113.0933,0.0000,334.5298,0.0000,199.1617,0.0000,54.9783,0.0000,253.1831,0.0000,96.0187,0.0000,291.6511,0.0000,126.2658,0.0000,327.2039,0.0000,171.3814,0.0000,13.2699,0.0000,207.3272,0.0000,60.7732,0.0000,270.1736,0.0000,124.5939,0.0000,340.6697,0.0000,179.0415,0.0000,24.4155,0.0000,224.8156,0.0000,66.2479,0.0000,281.2356,0.0000,127.4608,0.0000,338.0170,0.0000,180.8721,0.0000,29.0355,0.0000,251.9636,0.0000,108.3785,0.0000,320.6556,0.0000,172.0320,0.0000,19.4939,0.0000,242.7082,0.0000,93.1127
0.0000,304.4314,0.0000,172.3208,0.0000,36.8527,0.0000,265.2185,0.0000,133.9598,0.0000,0.9021,0.0000,228.8275,0.0000,89.2023,0.0000,297.0009,0.0000,145.5640,0.0000,351.8992,0.0000,192.0830,0.0000,36.9220,0.0000,247.0989,0.0000,93.4234,0.0000,292.6141,0.0000,150.2013,0.0000,359.8808,0.0000,216.4424,0.0000,71.7102,0.0000,270.1552,0.0000,115.0224,0.0000,314.6290,0.0000,153.1179,0.0000,3.2825,0.0000,207.4343,0.0000,50.7931,0.0000,249.4378,0.0000,91.9704,0.0000,309.7647,0.0000,160.3183,0.0000,9.6034,0.0000,214.5656,0.0000,59.7250,0.0000,280.6743,0.0000,128.2463
0.0000,196.5195,0.0000,54.8567,0.0000,271.2476,0.0000,121.6736,0.0000,335.2123,0.0000,202.0199,0.0000,63.5413,0.0000,293.0442,0.0000,150.3670,0.0000,12.6966,0.0000,225.8109,0.0000,84.6363,0.0000,302.2347,0.0000,167.6010,0.0000,24.3644,0.0000,232.2018,0.0000,77.3474,0.0000,293.8412,0.0000,149.1005,0.0000,3.7833,0.0000,206.0033,0.0000,40.1331,0.0000,241.5488,0.0000,89.4124,0.0000,313.8591,0.0000,172.8966,0.0000,7.8563,0.0000,199.4962,0.0000,42.4598,0.0000,258.3851,0.0000,113.7107,0.0000,319.6596,0.0000,169.2534,0.0000,16.9879,0.0000,225.2946,0.0000,78.9224
0.0000,292.8140,0.0000,155.1506,0.0000,12.4419,0.0000,229.5928,0.0000,85.5811,0.0000,310.6623,0.0000,171.0994,0.0000,43.1539,0.0000,254.2295,0.0000,116.1574,0.0000,322.0054,0.0000,176.0716,0.0000,25.9292,0.0000,240.2201,0.0000,88.2267,0.0000,291.7352,0.0000,130.0774,0.0000,338.8885,0.0000,188.6952,0.0000,34.8408,0.0000,233.2068,0.0000,62.5758,0.0000,262.5241,0.0000,105.8244,0.0000,326.4434,0.0000,181.9951,0.0000,19.7514,0.0000,213.5523,0.0000,52.6338,0.0000,266.4484,0.0000,124.4515,0.0000,331.4510,0.0000,183.0071,0.0000,34.4060,0.0000,243.6949,0.0000,99.3605
0.0000,204.4752,0.0000,57.3452,0.0000,278.8325,0.0000,138.0689,0.0000,5.3370,0.0000,230.2729,0.0000,100.1519,0.0000,320.8080,0.0000,176.2602,0.0000,13.2131,0.0000,207.8943,0.0000,48.4026,0.0000,249.8976,0.0000,96.4220,0.0000,298.8462,0.0000,141.8906,0.0000,346.8791,0.0000,193.6827,0.0000,47.7101,0.0000,251.1733,0.0000,97.3725,0.0000,300.0415,0.0000,140.8331,0.0000,352.0790,0.0000,206.1456,0.0000,59.4732,0.0000,277.7950,0.0000,125.0064,0.0000,331.7548,0.0000,186.7714,0.0000,41.3652,0.0000,261.8625,0.0000,108.3145,0.0000,320.9330,0.0000,175.2382,0.0000,30.0369
