CT2_240701-17_17_54-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam1_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:54
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,40.32914338596491
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
-35.89930055519674, 317.12363027023054, -41.12954874560521, 4.996473225012903, -29.217088382750532, 65.48218295081517, -41.31984150093259, 272.76711008051484, -34.01140553299217, 33.995333162906626, -30.311377163285727, 225.00490489069054, -33.40306937755973, 55.44489494125121, -32.42443386835743, 223.80404774191624, -31.156070800720777, 226.63476500447473, -27.32426995117782, 90.33188484997329, -37.57025950054994, 118.20634331607206, -30.56851211136117, 307.7464570654875, -32.744851658617264, 112.51519197505222, -28.290170837991667, 212.20659868448718, -24.877641822954235, 87.08173819602726, -27.96661040514591, 70.46876201374027, -32.50339172736318, 346.4354079945385, -30.725737626037922, 344.2364413281975, -26.808780492538414, 74.56004264047434, -30.484964914053215, 134.014374644581, -36.29122178055984, 122.47973883997497, -41.95904367073072, 15.897063605193583, -28.513161743096962, 261.1993045448818, -21.62605990770093, 222.86279661546905, -37.30174141417954, 62.8882989701322, -30.766465756055776, 313.1499173485467, -26.187780189263485, 326.79699340848697, -22.59629686168671, 291.24286587203204, -27.917463086872907, 226.26946322934882, -23.090216192720277, 61.99054477288386, -20.995472703117727, 26.837412073049833, -22.611248464108144, 310.1893799052199, -22.976583046652298, 184.21969978443082, -20.534529316915812, 93.9254288324441, -23.309649463173074, 1.9261599899040986, -27.53956493717457, 343.4418656373786
-35.727702371353296, 123.74251259897093, -38.18639224822968, 356.0170003019056, -31.542961485035654, 44.44336508009177, -37.976456518592904, 150.54282242636984, -41.58273942556028, 244.17672515997486, -36.11590214537258, 200.65324567514702, -38.165782478665186, 228.37471546723154, -28.799512677707003, 236.75502851025422, -29.140680240075124, 178.14955695665188, -30.835818970110825, 193.33108847646224, -25.48790789651821, 5.075837681948028, -44.298988950097176, 144.1150905932191, -37.26845920266611, 20.109507325610863, -31.517721902863517, 314.38247291061543, -37.82358011296068, 0.34446074596050597, -29.13781734660274, 32.53448970216456, -27.400726938582807, 290.5560141787381, -28.81578334502666, 224.80944098319242, -41.33018983945209, 115.73311815397537, -30.780436792376683, 65.90586406117156, -34.76656902358266, 206.15975955626425, -26.76227092459296, 351.9506371235552, -41.47663185330142, 156.57797207452728, -31.855375233227573, 140.5897033100402, -34.46033920398085, 190.1012798701806, -25.471535327975324, 340.829234193928, -34.32970117136313, 349.45275547714914, -28.60871067479804, 280.7374349562028, -25.66293465945543, 241.37111121440452, -25.43534250935407, 130.24845576727205, -24.932938943398018, 90.12922947088897, -24.041245108307884, 359.0419284910313, -35.33299072256418, 183.15251045585194, -27.515539212022894, 145.23229683534763, -38.686348581893874, 68.62334837898342, -31.85362578749375, 251.11265929326908
-32.477195504696304, 358.2085498463828, -47.272807885036045, 228.89322970287233, -28.48515690088931, 266.2769783911744, -35.443263204621445, 90.35354916093667, -29.742181796475915, 55.28359448348019, -28.183212176851455, 94.50255023287158, -32.86770802579182, 263.03298377852354, -44.422636527577495, 170.35766664350942, -30.592363556678414, 92.16614992100985, -45.65903601707706, 24.43913661879241, -25.970896348206853, 330.73375698050324, -24.179058942853906, 39.29048323784795, -26.47195907661454, 334.24219469813903, -34.870168891282994, 292.1883055558194, -32.98671405827046, 122.12979821901071, -40.637428004809024, 349.1276098404169, -26.86042552231015, 29.522813543330617, -36.864537287489604, 148.58581699711755, -35.403180323168534, 226.2393695642664, -31.441626779187885, 53.7726644429653, -34.92151809978431, 111.26863027180075, -47.85641798322109, 318.31571431806475, -37.949465375896416, 90.78574956907234, -30.639270243744583, 175.60822286635056, -32.70755952727236, 3.065407123682104, -29.833218049363484, 42.13553622507318, -27.09707930963528, 327.5050742957838, -42.72655793858305, 289.05297410049207, -44.9949993133276, 217.25664798419191, -26.828256803789017, 107.42668862588422, -30.59275323696898, 229.73054896671604, -23.67987918659646, 291.47801857928204, -27.872016235430877, 74.23862563605167, -28.769452576296082, 176.69000519451853, -35.620552736955126, 90.2300309780084, -28.614941819516364, 233.18693614174072
-31.398518781730683, 234.7149414548188, -27.829762921504756, 189.2016805496681, -29.966912013785283, 301.4803236340357, -27.945286897358574, 61.012360248814794, -41.634527080912164, 142.50462010593034, -33.824201792821555, 138.11986519885897, -45.0612158590767, 125.15593529342216, -32.29059980275912, 275.40831405466156, -43.505254282415535, 334.29896112636555, -28.827896138453717, 99.77396843303505, -31.408910513355405, 164.60026261410826, -36.78320642417896, 320.1236163074402, -32.05079495581697, 27.644831818651646, -39.00077635658094, 138.44603973779374, -28.02863287168719, 127.4052684069961, -27.507762462094266, 245.69969776269556, -30.333266785209307, 290.0898229010553, -34.26041557780914, 147.24371646117922, -42.68724008811253, 10.10908133993324, -29.310001397481088, 238.6172384971675, -43.634006268060006, 97.19663142323218, -36.36447764573735, 66.88579020513191, -33.5684112512929, 96.63891137828035, -42.27094050908532, 217.7598314134276, -32.60117810963094, 158.0784117404, -36.1478361551588, 332.5222032289866, -34.561610526774714, 52.67846677003236, -28.681017140463997, 263.5678141301136, -19.260669742083902, 198.70694990680568, -35.38085331865695, 315.17894137421104, -24.775795181591675, 123.06945446208422, -28.204297710473696, 291.1341839169414, -30.034736255093133, 209.10544433419815, -26.524199261773788, 193.16845889144872, -31.353225214232342, 331.09346308625857, -26.34899542597079, 10.952333476175896
-34.15245497308339, 294.5953496778411, -35.81084599428675, 191.78202342780787, -37.27983802126281, 51.20939939981725, -47.01256552445581, 352.2405004737298, -28.44110884617308, 66.60717069188534, -28.522700900206676, 36.59413708665499, -31.7746443685208, 245.32619246990487, -46.98197885399356, 121.89865560780922, -31.827537676906893, 355.4663180777555, -31.670749948333526, 159.33545490570714, -39.61582172367545, 38.55612328170209, -57.64372791454999, 299.453189338011, -27.31803896233727, 223.58926136380634, -38.97073170595651, 265.2654901036991, -32.96079759746108, 235.0370874656133, -31.935258914172124, 51.82469033411719, -31.772790319301695, 321.4771591955509, -32.24514839987541, 344.330075699297, -36.85415508675787, 72.64196499834848, -41.21666168022371, 21.814632594801232, -33.81221286093614, 11.9746469384001, -31.07277506882363, 58.46580042923113, -34.58829922101924, 307.9209700594369, -26.1640372533043, 180.3254246808752, -31.814261666904002, 117.40519233639247, -27.160854672180964, 87.02452576798983, -22.79947250548076, 344.519238778397, -24.47044940364682, 257.4386607025405, -25.27761766884026, 149.91190882751718, -26.5018232688166, 106.69437944458932, -26.826223207387372, 60.86281038355578, -24.88542815269048, 226.27816495153138, -46.17807617497567, 120.56259414949058, -23.177647609677976, 135.29194059423665, -35.25787708666662, 73.29035638862065, -33.25033910464385, 1.9383374257673975
-33.84861717736396, 132.77351243135624, -41.59602977900563, 265.08406467919417, -37.92668208160558, 216.33789332391473, -30.11856084141654, 292.758268631181, -40.19271010681369, 118.33208254699974, -37.89204379822249, 223.0457229333767, -37.83751741173085, 277.21918213156596, -29.46411027973477, 223.2307410114292, -33.3760007238681, 101.57478849914366, -29.787765111124884, 136.7167466842877, -31.1967734266911, 217.63441709572606, -33.41995407647124, 339.5435831254633, -29.45108963310711, 54.07061380931786, -25.915898530251372, 235.15199472685362, -33.213272252653574, 326.6688022246183, -28.736175260997246, 344.5543145090601, -31.074536584735426, 263.81502199173036, -36.27108235919002, 329.9940607114325, -37.96465461368837, 282.79225688859526, -31.037348216730173, 85.50668470788541, -32.90275650492676, 331.8566914099548, -28.350226967996992, 134.6439329648362, -30.677591479499128, 334.57980832222574, -27.838902798013162, 351.01460931571165, -31.189529304305267, 81.82182059321657, -26.563434860591713, 73.1221487537236, -30.300665155608755, 306.4851667534834, -28.295772583172774, 311.524392677055, -29.570836006179153, 277.4568342389613, -31.850626018759346, 199.97132840444075, -34.10108548978784, 63.075413646192736, -34.70688701787408, 275.0076714827817, -32.80217441147273, 228.56834883151654, -31.411793438323016, 182.25136844283935, -25.705338513388753, 76.31344495877663, -25.159474498281806, 6.251627494873851
-31.154414257312904, 352.1864220246269, -37.09885543431418, 117.64298556956955, -37.19086533948414, 292.94353138105953, -32.192761336058766, 71.02599506085596, -45.60257643550691, 180.58232193102944, -31.177593110860276, 123.4090614865145, -33.510554922249554, 269.37559880840394, -31.016174759099556, 337.61027940074007, -30.896686472162813, 228.52684840249398, -28.497057827301443, 54.99739259086335, -29.104724173200687, 58.33680209262414, -30.734477977266685, 224.92776873437964, -30.650237785389926, 301.6309589578102, -38.33387829965687, 199.94308816886556, -28.864254516225714, 302.8221686808186, -37.30709875780973, 77.4323297346363, -33.162615544385936, 99.87764408855551, -32.627157237666864, 44.350993408360246, -32.541532531273084, 335.6073143730247, -22.978214609075188, 177.47516368739474, -30.669383825500283, 8.203667688508174, -31.778298185516615, 78.97770057961112, -32.72322798424787, 227.74041354857673, -26.35943894364879, 56.90399386269371, -32.8886599404911, 143.4877292392468, -48.732762405404564, 22.611526848843035, -31.5981984564456, 32.55316069165956, -36.23762869530043, 182.4951220812859, -28.815803418196836, 149.27621624617544, -30.65593607590635, 50.451621408032146, -25.141169214023975, 311.0018214872926, -26.967487832472568, 327.8965549672629, -26.693269423739935, 197.42317992607266, -25.58262373293963, 66.55638696666217, -27.956834140910665, 62.73808563181504, -38.84016394527065, 102.77813884840046
-33.365042845666125, 26.706640405437774, -32.2652587187413, 237.38328844370125, -39.80263235763068, 184.94089581501993, -43.63857690370964, 223.0611409097914, -36.52473087303976, 210.70787463261516, -39.88314681900158, 326.3606476896499, -33.68245195214467, 343.0851939881507, -37.039243839457114, 144.03290609833334, -30.35922578777673, 225.0859105881555, -35.75943415640745, 180.74643023233287, -32.92538016548998, 331.0069112423067, -34.91383761517832, 295.48830757848503, -32.447285975489926, 41.6420844441923, -38.78471946172694, 222.4579215265819, -40.3943987549703, 7.82240156174374, -35.29093389933517, 51.1394451112754, -46.172253146966426, 37.1543204478858, -32.06161663931606, 40.206908366520686, -34.22843520993729, 51.127097163706864, -43.972943436552, 204.1063681629095, -32.90816516532335, 87.64803862308791, -33.72790633361516, 276.847465250621, -41.26809767491558, 346.1854700365558, -30.018175895549952, 200.61822889576987, -38.59070285665225, 76.54691817567131, -36.969089015227205, 357.814455982023, -26.439974828107637, 28.079664085166915, -32.830764461858344, 0.746939151329592, -28.60821849937834, 200.9206268785461, -27.546091174742443, 168.67147032768048, -26.92248177309253, 78.90223744312036, -27.83983795215454, 346.7382671758138, -40.31458247331854, 134.61389189010458, -31.76990493889933, 292.1741857463584, -29.24800043392457, 187.50196903285803, -27.34943979906955, 77.10806931067442
-36.469516562597164, 300.65013660207114, -32.74238034120082, 341.51659556048975, -52.36637380687152, 58.42325488252326, -39.51558900117491, 85.27223614602927, -29.15693345553474, 55.98313277586593, -27.48412931895491, 230.67439101056337, -30.05256627231963, 246.83818069108128, -36.4445805936579, 53.6896775156561, -32.723810293587135, 8.565302920348007, -37.97990295435356, 109.02912361934298, -28.611926583775627, 199.04066357140428, -31.15935684600474, 66.31428247504508, -36.49230659054219, 109.47253419130071, -30.269987018824793, 6.213246764117473, -31.139378234411407, 194.8806593694105, -32.76362769367929, 28.516566918447282, -29.369344992592946, 78.39285163460495, -41.86836694859003, 298.2354227810074, -36.12595067714047, 347.4469576417193, -28.826138151564244, 165.85234769092745, -32.30255833586986, 186.53733423111703, -33.18213358572501, 264.36203267910525, -37.88195275714227, 312.9356644113897, -42.288552777519406, 353.07125114198357, -40.23208477604094, 88.90929321861344, -30.814626086805106, 211.17562162461283, -26.339581502292667, 165.91360657112347, -24.95957145116662, 55.73107566152627, -32.32335170173569, 290.9921207662252, -27.91054618572319, 276.45508810600546, -28.404886057590787, 158.3399765088919, -31.07146959578117, 337.0544451908762, -23.292684210000026, 323.9246171910798, -36.51660047203145, 312.83906647440466, -29.147597710609354, 224.62558990564318, -24.55260011355123, 71.22840225003706
