RFA_240701-17_17_54-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam1_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:54
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,40.32914338596491
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
1.467084867763382, 62.659806095465775, 3.2302139398781375, 138.28660976658026, 4.842266826967364, 215.28750981719628, 6.478047486660059, 291.7944155431974, 7.532423242542166, 11.519575016403502, 8.073920764729015, 86.71037311065739, 8.595539385702077, 162.28411252473782, 8.546257899894664, 236.92222509683236, 8.970653793987141, 306.60813536722094, 9.346860862532285, 20.900387322375234, 9.881878502282873, 89.0364532947584, 10.370672659516636, 160.18965010743233, 10.499832670991553, 228.79978438606392, 11.371676037924644, 300.61743271484397, 11.367865109542997, 12.512622208038438, 11.608034907975522, 84.01268060323177, 12.019970412631181, 154.59368279709207, 12.414801998241778, 226.37321199556493, 9.484211145155047, 298.0175958050818, 9.547501091377345, 10.34658556889807, 9.26865179659662, 81.07714098850239, 9.414643719532336, 151.78963858492844, 9.336874045418998, 219.92619954927824, 12.52610841945465, 290.6319640226464, 12.409994980437586, 1.1161367103788562, 12.111463949749854, 70.77348177284362, 12.38748790695566, 140.0602088839452, 12.58236969207205, 210.3199140896973, 12.419654877988988, 280.351341778152, 12.162697133788704, 353.16431183633995, 11.536650588928968, 61.20741980252282, 11.600313196674922, 129.77221660960217, 11.855280054195935, 199.39777408350025, 11.869897571110464, 271.92875998767954, 11.291186518556307, 343.95653604017355, 10.526083201750385, 56.90715962067753
2.050043761820464, 103.5436174209765, 3.879682754428827, 174.87639055305254, 5.310823431543379, 246.81173077701152, 6.779165080744002, 320.95935984601374, 7.963840423687088, 33.57923864010226, 9.150805986628303, 106.65482387775594, 10.111976979567883, 182.83714233879365, 10.486375168534856, 254.56023913866724, 11.205629355390803, 326.62872573641664, 11.810981370388767, 39.980166636529816, 12.597907881003326, 112.50333570319776, 13.299499583899646, 186.65714081552022, 13.307405791527668, 259.59514080405563, 13.040286980661843, 333.51461511296026, 12.790647398941026, 47.31087112915574, 12.28200461259091, 115.94627860931823, 11.969824341397988, 185.8108645147453, 11.915339699661889, 255.11675549166904, 4.198500453166683, 325.9489824083387, 3.9259360390786666, 35.86097737042291, 3.5894021179811633, 105.43347889447679, 3.3605256988042562, 173.7475872740301, 3.1975511984369525, 242.13961584458437, 10.365145818030193, 311.9451046654372, 9.86536442839171, 21.833176394612913, 9.10271044495797, 89.6228768582703, 8.667607474941793, 155.64174377085652, 8.305583571566572, 223.38869909931392, 8.501947539925638, 290.6970372054178, 7.736118088541081, 358.39472203118385, 7.435586363227681, 65.1779387353268, 7.278235392152697, 131.64618531518792, 7.363301943840246, 199.86898122884838, 7.0479213751759, 270.92666670498636, 6.644794252831982, 344.30201771114446, 5.7709358638547625, 53.45750976153394
2.4278273451064596, 134.64425645373427, 3.992212386901767, 204.51067511541368, 5.501226554181276, 275.9272057400216, 7.269916609115921, 348.7951074911456, 8.711091650284423, 65.00736129476857, 9.611882841724007, 138.9251683901242, 10.437329380199916, 215.92887726367667, 10.716445294195985, 291.67520412738236, 11.151485185014218, 5.224935557900732, 11.641937127625168, 82.25714264742437, 12.012691133218016, 156.12407162882428, 12.069508743170449, 232.21729725604825, 11.62296312863171, 308.2945833847946, 11.030245459013031, 26.86404275823332, 9.414045985245066, 100.99599843425914, 7.976667427560203, 173.56410465492527, 6.379026986459949, 242.34488625920557, 5.139413224066734, 307.89163827457855, 0.0, 13.222303078736468, 0.0, 75.74928708826928, 0.0, 137.71074103330596, 0.0, 199.12257676420313, 0.0, 259.30557495258455, 1.7911092116206961, 326.6826305194754, 1.6508892646342008, 32.20917022350732, 1.1192826861435556, 99.488344680596, 0.8948715670140138, 164.20403034519146, 1.036891783651004, 228.46393930810117, 0.8269272566539774, 292.64536451126924, 0.9234924533713558, 359.02842767352115, 0.9797816253903087, 66.57365025844788, 1.1480613565162776, 135.70421916076447, 1.165999015279855, 208.07277316159767, 0.2870517006625669, 283.4002385924273, 0.0, 352.3533318110928, 0.0, 59.457172709455534
0.0, 149.92975569655619, 0.15073283044659233, 219.4688610687665, 1.6088077951197923, 289.21257508231076, 2.6109619463235845, 1.8958730169428295, 3.7033277106906173, 73.12707349851912, 4.8250329788364, 144.26047668316926, 5.7115643307432284, 218.56818312964842, 6.218842705695781, 289.80438051190816, 6.7824166251025195, 2.601230976808273, 7.393340086340619, 75.76263783238174, 7.821644866168768, 149.71380366682126, 8.210185314140512, 223.87190066549135, 7.67931187966639, 297.27102322004765, 6.825589325791851, 9.510929965914526, 6.169547185328527, 81.34662818999458, 4.976652312573369, 148.7830062723487, 4.205251094180282, 215.16773046381724, 3.48329931841537, 279.8375423671728, 1.44522759044005, 343.9213674556571, 1.1064969658369568, 47.17796051227352, 0.9799207100964834, 110.97253879190534, 1.1360400338211463, 174.17164824196507, 1.3598976488761072, 236.78784010436416, 3.135528779777086, 302.12950958750946, 3.5684805152935013, 9.637113282852207, 3.509426509271991, 77.53027501634145, 3.715183883185669, 145.12297732933985, 3.6201288482139886, 214.43314137846727, 3.890721370646943, 281.99488357775243, 3.1528907782297164, 347.6218505216013, 3.0868330724597866, 54.70918395650731, 3.1630547875816, 119.60517345755794, 3.5903663853212286, 186.7635813418146, 3.554553634323265, 257.03471511588907, 3.4140014203369256, 330.96603366454787, 2.686420286481024, 40.4272989536508
0.0, 76.67911805158768, 0.0, 150.6600549267657, 0.0, 224.5631812720455, 1.1398562964797034, 300.51344101957653, 2.6446463439268424, 16.072422794010965, 3.75618826737921, 89.79433971004617, 4.872632307196457, 163.0805620211809, 5.634048262597275, 235.9622827740958, 6.84869113894689, 305.6982202448914, 7.772796357829442, 19.695172038793764, 9.213057827656293, 89.08356507149357, 10.198474903064568, 163.43417985725702, 10.813227429660984, 235.86930403255445, 11.820684040257742, 312.3463273491647, 11.702048163983193, 28.415438868375297, 11.564569284168334, 102.44535340146602, 11.502611237553204, 173.83063340840758, 11.693472017165323, 245.79524616635106, 10.320166597215337, 317.3756259737247, 10.271415542737454, 29.639357746112154, 10.012953111222284, 100.42354583401637, 10.089479142639446, 173.04863454121443, 9.838629619193537, 242.14192857341828, 10.947569213738042, 315.12824691649655, 10.546658461285167, 25.94793892658236, 9.86239487048962, 96.66904013292803, 9.610380115433886, 165.80564336141973, 9.39463474639885, 235.66163262907617, 8.88468329793912, 304.0768370739841, 8.349638774911556, 16.228318946045952, 7.501808238587522, 82.58217544875167, 7.3634051769043065, 150.43933750204647, 7.435961140251655, 218.4807933290953, 7.209064271406148, 289.9968323560548, 6.589396189218797, 1.9948947662036174, 5.560980816040325, 74.29213631637973
0.0, 91.37344024935162, 0.0, 159.1054907351464, 0.0, 228.89956255252127, 1.5232264067778272, 303.4951194928049, 3.209616158613394, 16.94478134752916, 4.72064140213599, 92.25974249486288, 5.758056915269812, 169.83319501810857, 5.992206395459041, 243.2924407582683, 6.521807771549836, 315.40161067299033, 6.795810427335357, 28.98812094605776, 7.414559571457147, 98.700597960963, 7.905096149494844, 171.24579353027715, 7.819308379104739, 240.74904052370903, 7.813130138913803, 310.5698704339461, 7.7435188420740975, 22.178125686834118, 7.648625119107298, 88.21048506242485, 7.615258625490849, 156.8882069126463, 8.032501967635836, 223.6876077163092, 3.0046642510824433, 293.2320022912504, 3.3347418576564722, 3.6976583968132686, 3.549240802032595, 74.78146343071377, 3.5688714830437824, 145.0029700927989, 3.452945563813264, 214.09739158354444, 8.64928968761505, 284.82877406586164, 8.156533532567904, 355.5975177312791, 7.6933566736831835, 62.64624493346338, 7.491527397585677, 129.07833343550203, 7.294975863478981, 197.9976213895652, 7.746888854996136, 267.04254647124867, 7.137697744509951, 336.4236550084863, 6.938312563700868, 43.709521759203035, 6.876356797251289, 112.44923629553661, 6.9555585418104195, 182.40965625417144, 6.589717407579374, 253.46804069187687, 6.160226174028526, 328.2557839357489, 5.179048699172646, 38.04790800501353
0.605235313691841, 101.47633103897658, 2.1288165026955412, 167.7967140158776, 3.729558706032158, 236.31240991074935, 5.912204570904036, 306.07065040984736, 7.708925570193966, 21.105442937003744, 9.01023427138649, 94.34653492520715, 10.378416758903752, 171.99883734442054, 10.848947255374863, 250.81816355934234, 11.361402182462918, 325.5196252534233, 11.738473595280894, 44.79343989248971, 11.958730098865399, 119.69543338390123, 11.788645511472893, 196.34028654080947, 11.25405564047501, 271.3795623673289, 10.586646957602161, 348.6149995516329, 8.974230961889091, 63.568644850118105, 7.529523988258951, 135.30411309298984, 5.780290655400961, 202.71027930403872, 3.893314625807635, 266.6843813790571, 0.0, 321.4969879547376, 0.0, 16.297207324364003, 0.0, 69.67193594072059, 0.0, 133.05521396032643, 0.0, 195.70557043826295, 7.319498248578028, 266.11704931191764, 8.042014401443092, 338.0504905257818, 8.423029572881674, 50.1723606708561, 8.918897186224276, 123.41212836203437, 9.244661423881846, 196.86302518613834, 8.7708225922736, 270.1480773429719, 8.082939059581571, 345.6368354128223, 6.836337486646688, 55.20421204691421, 6.137810547612263, 124.64867619985091, 5.338218110906665, 192.45355669033495, 4.332117237072823, 260.09121408797284, 3.5235875100406973, 326.32354356689723, 2.185663081425894, 32.64069246480734
0.0, 123.61672060508229, 0.0, 188.95559966383567, 0.0, 254.58385661656206, 0.8031294100422194, 321.30422822161864, 2.529457821124722, 28.92646270254881, 4.469367123928095, 99.34315936264917, 5.802187042437264, 173.67018785641633, 6.622334933332806, 245.2333132336003, 7.586924787063375, 318.223432556204, 8.283220757676482, 30.989578731092454, 9.220891272009515, 104.32526913964973, 9.711326768601014, 178.3457449448676, 9.993240789726258, 250.85601086881263, 9.646729944079382, 324.90472334360425, 9.529449286126376, 39.14205132242465, 8.744825097566979, 108.77104188648963, 7.986007893838309, 178.4518212861038, 7.636253593478374, 244.86106949244896, 4.949320261256446, 311.774941051332, 4.726153438928458, 18.230742150925845, 4.604349948958009, 84.77367658304092, 4.363930458206195, 150.31332914579932, 4.5480398344720765, 213.7583012084715, 6.8260134332683275, 280.14751565685503, 6.854730882692941, 346.77853810103045, 7.10416917244155, 53.29465813178316, 7.322774866013594, 120.21969945810102, 7.60977036873765, 190.06918907501773, 8.175637800006815, 261.0047330564531, 7.604662945491607, 331.4496905441401, 7.4177724990411775, 40.78436288400211, 7.164420094978967, 111.03910189058189, 6.821344903473536, 180.0184500131257, 6.219365888683418, 250.78315444345748, 5.658999533432728, 322.8702200584977, 4.5436249263365465, 31.045499610721667
0.0, 341.23190635193265, 0.22629842922018073, 48.128227632260895, 1.6820142087513854, 116.13008382998592, 3.7677125782217855, 185.42895074577854, 5.64812236093096, 258.1528466369414, 7.227383524539351, 329.88966456792696, 8.775791072310426, 45.5488804669799, 9.818296516177636, 122.7325665652554, 10.983739530194791, 196.64931114625804, 12.096247296898735, 275.35584654912276, 12.966406737731923, 352.32916692453546, 13.625421048022998, 71.10123874480217, 13.823191465499157, 149.85305565959976, 14.053095161667326, 232.38108592560383, 12.996359070376851, 313.23867691545325, 11.840447730610713, 31.28138459820313, 10.484809009144243, 104.56437217787001, 9.264949135923409, 177.55731979024713, 1.0747720532883083, 247.80988249363114, 0.0, 318.5594279109239, 0.0, 26.501256656786754, 0.0, 91.84052854797166, 0.0, 150.03842087691342, 1.129678035463974, 210.10344567604952, 0.8242448123431622, 266.5842167545627, 1.2090867527967608, 325.8365842483364, 1.9464973644172612, 26.268919955447107, 3.287075463657691, 88.99941761900757, 4.16583320227188, 156.37508720288324, 5.10476822667143, 226.77545533867757, 5.606681329673532, 297.0645154762303, 6.273233879704254, 11.117369990756766, 6.777061272628195, 84.31066194308072, 6.482971628935033, 160.52689248745534, 5.6882596993183405, 233.7647962868857, 4.2545015929876415, 306.9218392056042
