SEC_240701-17_17_55-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam2_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:55
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,40.34595636842105
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
port, lens, rfic, channel, rfic temperature, combiner temperature, plate tem 1, plate tem 2, ambient temperature, odd_rf_power, even_rf_power, combiner_rf_power, active_port_rf_power, avg_rfic_tem, rail1_name, rail1_voltage, rail1_current, rail2_name, rail2_voltage, rail2_current, rail3_name, rail3_voltage, rail3_current, rail4_name, rail4_voltage, rail4_current, rail5_name, rail5_voltage, rail5_current, rail6_name, rail6_voltage, rail6_current, rail7_name, rail7_voltage, rail7_current, tlm_psu_power, tlm_psu_voltage, tlm_psu_current,27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
1,1,10,1,40.707039,42.62373,43.797393798828125,38.56594467163086,23.646364212036133,None,None,None,None,41.59350955,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.8324376722246676, 327.49824674534375, 4.467970361036696, 253.43816861562993, 5.497766229741885, 179.27987321446358, 6.970714486219669, 105.14901314835957, 7.75213408339765, 31.461208791713055, 8.396658503698019, 316.8917598201002, 8.593665848516299, 242.81017534678503, 8.647082404176166, 171.02246987969156, 8.600285202844727, 103.73655402598735, 8.611009971273413, 35.893397056772834, 8.91270278499934, 329.23375262587916, 9.623852469734974, 263.2753449510681, 9.763334597831914, 196.0472249087347, 10.309855289125691, 128.07384343463798, 10.92887336798865, 60.356854410780926, 11.591762054310735, 353.9729957882523, 12.147518418870247, 283.3610398272008, 12.557783287040296, 213.31470891595671, 12.951433538724048, 142.79077267527197, 12.784389412269533, 71.67526325164665, 12.462954685621348, 5.559484064321317, 12.511273725147081, 297.4361721711714, 12.549543154144088, 231.49189512201855, 12.725028117955512, 164.94587462609184, 13.334373571529262, 95.50084970168535, 13.312490226435118, 27.781160404628533, 13.288433132458863, 319.407479274696, 13.517918851825193, 252.64156641695456, 13.789726063590546, 185.42410993069169, 13.819150730496887, 111.99892600246577, 13.805151741805748, 41.088558089139646, 13.480744102743433, 331.21571884279143, 13.237938342616463, 262.3435649511975, 12.686739310507898, 194.17893410470813, 12.759164402071155, 120.54869352165443, 12.325575378043045, 50.15462769119961
2,1,10,1,42.144558,43.582077,45.08992385864258,39.544185638427734,23.61142349243164,None,None,None,None,42.887275499999994,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.172375725518884, 228.2660538562238, 4.739722788934829, 156.39195619989607, 6.052925757970973, 87.1849339559639, 7.729777965142135, 16.026464912069365, 9.17927266525773, 304.46076277068096, 10.194018778792916, 233.0794259789286, 11.099427202432539, 157.43055576232402, 11.677709513419224, 85.71842740645377, 12.354668217066642, 15.19330464302831, 13.02726998670578, 304.31935614197437, 13.554545982133412, 231.86571649411403, 14.139971296560027, 159.22790628599847, 14.3929437596813, 87.40275776036566, 14.214302480402282, 17.144991763159084, 14.44333820109922, 306.5236229363854, 14.390798684415074, 239.85193567090792, 14.92075611667417, 169.91520056365462, 14.696916812375402, 99.45429439044445, 14.846830522005611, 28.884940109185052, 14.489551673029508, 319.36203050002155, 14.356297481485322, 251.31745478392725, 14.342958513093889, 183.1580712895217, 14.033154649218247, 114.40587488021835, 14.23362651942315, 45.932853010699205, 13.958780219567533, 335.9083959003777, 13.534425465145876, 265.75857683477864, 12.838858771018117, 197.35116437799567, 12.272049869868056, 130.4334470027571, 11.997012170701433, 63.97903052302702, 11.464475313855928, 353.58527776855107, 10.88675889335098, 286.66176988065246, 10.204308859559713, 220.46100552461434, 9.880701566272934, 151.40418681559277, 9.326212856155466, 85.44073367560924, 9.066516730384294, 15.407684928178597, 8.068113840333027, 304.5217123332939
3,1,10,3,40.707039,42.144558,43.82639694213867,38.576873779296875,23.642684936523438,None,None,None,None,41.569550799999995,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.8391166969432415, 284.27258534837887, 7.117375820863385, 215.72754933502557, 7.957003865392443, 147.5615447282188, 9.44367540720878, 77.24077363607233, 10.458265337279064, 6.292453694908474, 11.4729871930229, 292.9939171613804, 11.880649835857998, 218.150520829235, 12.122710624690324, 144.16773124497934, 12.006953902502653, 72.06971597634448, 11.834499627937781, 2.7125054030942977, 11.858557609762034, 291.0943584255574, 11.907389251754815, 222.37240454718733, 11.398914898604332, 150.3272694477709, 10.636560314729213, 77.71007781381117, 9.774057318975233, 10.185018071563823, 9.071960185876621, 304.97121082247276, 8.136726993726045, 238.1588055614854, 7.4634878845621175, 176.41991860120214, 7.06785478819854, 111.82623226545363, 6.263600242577265, 48.323315941775476, 5.5750096668989055, 350.5929446855214, 6.087208305917596, 290.88243261702684, 6.647004908387183, 230.5269067544584, 7.29705266352156, 167.24523964637325, 8.246995401713468, 97.69719475001465, 8.347733542349498, 28.820473262416893, 7.992489309098683, 320.8953435784832, 7.968154507621045, 255.93372423927974, 7.998579409149072, 190.28971463685207, 8.103000461583743, 120.77188296553068, 8.434520307163195, 50.4594735053091, 7.800985330904716, 339.269561061513, 7.290527038216352, 267.2071025751662, 5.747114595554141, 197.97983393538803, 4.198729679712264, 126.20272419345822, 2.345318033856507, 61.55804942022648
4,1,10,3,42.144558,43.582077,45.08992385864258,39.544185638427734,23.61142349243164,None,None,None,None,42.887275499999994,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.379042623455782, 186.55292596848068, 3.300037765546508, 117.46221164405078, 4.140167308910366, 48.41634980739298, 5.232841088567323, 338.458416415125, 6.284439240767647, 270.0857760249453, 6.785449124126641, 200.08924140201276, 7.60860184393448, 127.56830777556793, 7.856792029460017, 57.93882156190393, 8.401570207969813, 349.944986467227, 8.971830546001854, 279.33348655962715, 9.311373437134659, 208.4112067805254, 9.599564491439377, 137.24309046051857, 9.359974350050802, 66.17893507226283, 8.78304248589021, 357.76442180398055, 8.66447834100321, 289.6311845020426, 8.082680185804378, 223.68696207746407, 8.182332786618975, 158.68829057985297, 7.219175658160813, 92.06496631150891, 7.034465604499255, 28.353584670551566, 6.757962618456965, 325.86219742586525, 6.490362978860661, 263.1016976178961, 6.742885220729588, 201.2327522225107, 7.033904432839821, 139.53550960175883, 7.939354395979121, 75.76889674625785, 8.699330518277742, 10.072790764359961, 9.233086372901223, 301.0390738977239, 9.3138778150895, 230.5536251945557, 9.171910253915414, 163.3148155584155, 9.298934586997628, 95.43092517654091, 8.87772152645025, 24.57837308252223, 8.602077372719673, 318.19022287593396, 8.23098454460009, 253.3779482622511, 8.142111168250647, 183.8747445569379, 7.884968770566445, 116.40715768681531, 7.8427715660764665, 46.94218596982118, 6.745489139690953, 334.36181206075986
5,1,10,2,40.707039,42.144558,43.82639694213867,38.576873779296875,23.642684936523438,None,None,None,None,41.545592,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4.642457212790076, 236.02197674071914, -1.676158448413142, 162.57226923650185, -0.09693839356568226, 89.14626429632786, 2.6785268796629897, 14.97723438819018, 3.7361272445516898, 299.34386335287826, 4.914020140831039, 224.64581801765434, 5.523456375511406, 148.77936834721905, 5.798561930197138, 76.41046756869764, 6.031532087997183, 6.751678957520935, 6.175316953268505, 298.8159166103224, 6.831586633524336, 232.07651324141642, 7.408373682095254, 164.71748737255675, 7.914880894002802, 97.41226919180635, 8.262808412125235, 26.414983179138964, 8.87784511101516, 317.77408312372904, 9.427355333363353, 251.59956734154014, 9.664484506416702, 181.85244220498757, 10.037131863820228, 112.98339512895126, 10.61059858318157, 43.527440320471975, 10.77952567479819, 332.3703482218859, 10.428915415661686, 266.41805901233863, 10.721722713660753, 196.5526346591933, 10.903388403526453, 129.92985366505127, 10.833315836369586, 62.08884445802714, 10.97652447427926, 351.5002730830477, 10.927813866610345, 283.92530984990634, 10.396689738417804, 215.0391772990786, 10.300319205224277, 149.53801944129665, 10.32895532398815, 84.61915733124084, 10.148657157867447, 12.923785027027542, 10.440554072568329, 305.9017638247932, 10.026772644037063, 234.96447332074476, 9.87784943747112, 168.97122806238858, 9.720027338612224, 100.28114304451393, 9.943854054645119, 27.241050213658244, 9.64082699733018, 316.2598423617816
6,1,10,2,42.144558,43.102905,45.08992385864258,39.544185638427734,23.61142349243164,None,None,None,None,42.81539934999999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3.9843462629539768, 335.8757301414869, -1.7133726574434063, 268.3154882769717, 0.13218137200352328, 199.20023008832422, 2.5328722926461316, 126.40048130928211, 4.262145258140907, 54.928071255710144, 5.620759561284844, 342.7727162826773, 6.3836060905842125, 264.5965768295257, 6.6448314003326185, 192.1581996960898, 7.135348027390678, 121.2834096976992, 7.462685193547385, 50.52932689552823, 7.578779187866841, 340.03394389157666, 7.709430483657316, 269.44508291431566, 7.597967766302331, 201.06522575143498, 7.563312362100777, 135.99187128565308, 7.8256409866880805, 68.50618765402517, 7.980339553111593, 6.397047469717598, 8.777971794094489, 298.9798488654517, 8.917440880187197, 232.51777550620764, 9.687734173524582, 164.18899351855325, 9.957327076573527, 95.20364526512846, 10.376353324405423, 27.529346291078493, 10.618341018616029, 319.8642479423876, 10.715623179009752, 250.67802509632537, 11.463760876801366, 181.69082292043998, 11.490540879655134, 111.16572446207088, 11.499256734581591, 42.22482189652346, 11.268860074162363, 332.6858452327186, 11.302575394403707, 265.3320411136401, 11.497213666658219, 196.66437553938084, 11.262461844790144, 122.98093287611702, 11.069028129717244, 54.25242668955957, 10.592331912680127, 346.2371339686956, 10.459633797517052, 275.85941364536313, 9.899913838900058, 206.4199805427929, 9.72200216669319, 136.01629279107615, 8.734952495050512, 62.81584904120632
7,1,10,0,40.707039,40.707039,43.82639694213867,38.576873779296875,23.642684936523438,None,None,None,None,41.44975745,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.7208894898167968, 182.29573332408148, 3.162832318337716, 116.90238158673395, 4.203408864054619, 53.593803453787544, 6.424467046836654, 346.01824347516225, 8.008554172722883, 275.55889748062225, 9.59826835993628, 202.86962330118752, 10.645439798607493, 127.06799233590816, 11.235832742825469, 50.785843542557764, 11.579495118802106, 337.14514236586433, 11.59925838635581, 263.41960756705834, 11.58007410470632, 189.43276767807112, 11.32287406954783, 117.22737959647138, 10.605789005973934, 42.825112540224644, 9.657479404721538, 329.9675614917153, 8.617579689004176, 258.9552095182873, 7.092219353611416, 192.08759392280842, 5.614920286878121, 125.61464964009369, 3.6279055526896493, 64.46747207375768, 1.960617013158625, 11.37373512194427, 1.7531027584156096, 316.6439029907596, 1.5195666665849992, 267.7976850737285, 2.874408920633116, 208.59131689900312, 4.435344389960964, 149.896264834625, 5.396641894803645, 88.52537284246999, 6.619599116744247, 18.090578267461893, 7.262265011989263, 309.77635901225284, 7.400643941314043, 240.84581733815085, 7.890659811915298, 175.14223924845942, 7.957716950121517, 106.15238108867172, 8.290394870205882, 33.32572693899, 7.974024259127117, 321.26735448660276, 7.158331882626159, 250.76975991541863, 6.226939364251683, 185.0416556906076, 5.2216819514662935, 120.08644351460659, 5.018983825992632, 52.117678553443675, 3.889255593714105, 346.23173249571227
8,1,10,0,42.144558,43.102905,45.07557678222656,39.55162811279297,23.607898712158203,None,None,None,None,42.81539934999999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1.5812845210413362, 240.4013091237367, -0.5086160355215601, 174.42667680263943, 0.577163739309929, 113.30025807404039, 2.1801022457860455, 47.66160243401097, 3.9276921564053096, 342.07064784859597, 5.721731839011555, 273.4557217883262, 6.938870943451124, 199.04521496470247, 7.601857760226337, 129.65160537343618, 8.714550337686454, 58.09897768829063, 9.45203191811703, 349.56883994620813, 10.274539653944352, 277.26546858091444, 10.782765968190201, 205.350221701858, 11.147911890241367, 133.3077215128484, 10.951714481810717, 63.492617585258195, 11.178943994058631, 352.18963498145007, 10.71448535681423, 283.69488798848147, 10.656554743147542, 215.8797407414128, 9.996738533697613, 149.50117192278958, 9.829181019421798, 82.81449100997338, 9.505563657997225, 18.30555651398093, 9.353418765926914, 314.3278736157753, 9.044614093719487, 250.49233706853485, 9.202574518270998, 189.12418167459757, 9.779344373928415, 125.93155264831196, 10.301348425145612, 61.92032214574021, 11.130342933648594, 355.99384821893784, 11.369159010982631, 287.6157252037103, 11.955680524511816, 220.55986595059255, 12.323201561487114, 151.21447071367567, 12.440355754790545, 76.41770837783336, 12.107707889401404, 6.3032572152575534, 11.482579428595503, 295.6400380387338, 10.952283045364899, 226.79523134100717, 10.04622601772522, 158.78451800582727, 9.571847396731304, 89.57141585698196, 8.248039384527816, 20.47225167644146
9,1,15,3,45.019592,40.707039,43.86665344238281,38.580894470214844,23.639385223388672,None,None,None,None,41.4976748,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.162905457476879, 193.52765505126624, 5.470396682132479, 129.686048285189, 6.553832174261221, 67.87427563352509, 8.259010898199477, 2.677810465440062, 9.75368937624069, 296.69752188613336, 11.54487404949106, 227.98804325338352, 12.523929106578338, 155.17131485197837, 13.285026229465146, 82.3955275258013, 13.5625495441914, 11.356007593430583, 13.885751358075025, 301.68500595106974, 13.95371659884658, 230.47162910672714, 14.226597377549773, 162.08418298187559, 13.732228122165607, 90.6213261803431, 12.916724083270172, 18.528778194423293, 12.14529994565554, 312.546004900992, 11.422833707538626, 247.56822133623473, 10.45169971171452, 182.10215807900033, 9.427831110060247, 119.91468563337678, 8.945943420114174, 57.072459966076, 7.930151679498788, 354.23443590216, 6.591819768380819, 296.7154959519163, 5.987095737365799, 239.26790949219895, 5.322076937190813, 189.35540149967525, 5.613787044045322, 135.8098078129218, 6.804152407166563, 79.53562820386439, 7.8747351336533375, 20.860071646402126, 8.486290552770907, 319.1755712006435, 9.718019585661901, 259.1874316137612, 10.740008703248128, 194.96206066411614, 11.664686836921863, 126.67896866070667, 12.452072313600572, 57.03314465105047, 12.401248582093903, 345.2310455055334, 12.148371550325503, 276.97599860577, 11.289238739750163, 209.3598666839284, 10.94653085674555, 139.76502565981897, 9.823590519684787, 75.42299337956652
10,1,15,3,47.89463,42.144558,45.07557678222656,39.55162811279297,23.607898712158203,None,None,None,None,42.79144074999999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.108842336534666, 102.237518192038, 7.100061689064824, 37.506086997095956, 8.572122807624106, 335.69273350435924, 10.083237838683448, 269.96213075945275, 11.627067193014044, 203.41083089418376, 12.927844019965079, 133.81919681781454, 13.81199240816674, 62.1746900661415, 14.47507695338986, 353.29804898323255, 15.281648582397057, 283.7552945916762, 15.911814975834819, 215.73143280685352, 16.515360732345698, 143.5064920175263, 16.850381735701127, 71.02990883782172, 16.76078050986942, 359.80903542976125, 15.80447179814016, 288.75433962650015, 14.931351905023307, 222.22683637438553, 14.188250829716424, 160.0107055151145, 13.989205248493665, 97.91890969371713, 13.386743045308494, 34.79212974463201, 13.013848995603205, 331.01882468735147, 12.587812648453651, 272.7637946293723, 12.865010231315512, 212.73063974958475, 12.915598181443375, 152.30776775083373, 13.543007387436772, 91.19677410998779, 14.506820025637804, 25.660787794010023, 14.757095267353677, 319.695297912761, 14.985401840079728, 250.78959742772952, 14.34645978860853, 182.92403582950905, 13.993863908743638, 117.5927097687375, 13.033369441765807, 51.466824329860486, 12.0343660551202, 347.2542042210894, 11.399623566088648, 288.9184497377587, 11.08817922840839, 233.4187517035146, 12.060931856876905, 172.18324209601354, 12.407038598612779, 107.37100305918395, 13.048870716262645, 38.99172597582183, 12.652270758821295, 327.76063951755395
