RFA_230315-19_10_04-None_QR00004-CGNone_None_biasNone_p-20_tx_Beam2_HV_27.5_31_GHz_both_29.5_GHz_45C
cal_frequency:, 29.5
date time, 15-03-23 19:10:04
itcc_runner_version, 1.2.5080
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.12.0
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -20
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data,65
Temp. [°C],45
rfic temperatures,30.482358452380947error reading rfic temperatures
barcodes,00004
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
2.817336752875346,18.310624948156814,2.817336752875346,68.81696709496153,3.9815566089787855,118.89515819055192,2.817336752875346,170.77946983110746,3.982438207815656,223.94662466832574,5.563048206879136,283.0291561224821,4.175143594278646,255.7929919467776,4.440345631823608,315.02231429521265,2.817336752875346,12.605193296183742,2.817336752875346,66.72468816832158,2.817336752875346,124.16756006780606,2.817336752875346,68.21569705938482,2.817336752875346,118.73632761277209,2.817336752875346,166.3148652998181,2.817336752875346,212.8102145677057,2.817336752875346,260.0931829815809,2.817336752875346,215.48983529569966,2.817336752875346,263.46730810894843,2.817336752875346,314.0165071765833,2.817336752875346,4.354307194348607,2.817336752875346,53.070163178838456,2.817336752875346,24.599776197068834,2.817336752875346,75.2492882123873,8.227381868599409,122.99777238350443,7.5802667527212275,168.9448036347793,7.33370637601087,216.59374678449194,4.893551917347151,174.53231123335263,3.9597638948301093,218.91844599683077,2.817336752875346,265.1571162528987,2.817336752875346,312.2359187674867,2.817336752875346,4.439274252651742,2.817336752875346,310.73483167405,2.817336752875346,0.8763904050860702,7.7779724987099454,47.892153023316,6.873057362740176,92.92980530364163,5.4062844563995025,139.57753936282836
2.9922057758262097,357.4089440350614,2.9922057758262097,45.56323270957366,2.9922057758262097,93.26227086138275,2.9922057758262097,141.44076120774918,2.9922057758262097,190.84164937483135,3.4201126665531927,244.6101071901658,2.9922057758262097,204.13720581683785,3.5720964569718494,256.6262991896757,2.9922057758262097,307.1115168765518,2.9922057758262097,358.14184173933734,4.080372332671832,51.745319565649446,5.605085893469613,6.058728300325907,6.533737664183908,64.99747758917101,6.0143616184137905,127.80845325967482,5.790399969870229,189.198322197721,4.943923820380122,248.5580643589989,4.573599875252201,213.04784149182547,3.27839719874018,266.9438532291751,4.306412900896745,320.40628052257836,3.2742543416375227,11.916400283577513,2.9922057758262097,61.49008660483067,2.9922057758262097,22.156874486706677,2.9922057758262097,71.56498565955499,6.313350717685836,116.59178093091774,4.971383060032578,159.60752762531413,4.303103812317133,200.8190500629072,3.188400159056007,152.32988082975177,2.9922057758262097,196.80908586787382,2.9922057758262097,238.88923878871228,2.9922057758262097,283.81457579747826,2.9922057758262097,331.4123632446426,2.9922057758262097,280.1845249337032,2.9922057758262097,331.4169722811699,7.299576505787313,18.47491394860681,6.21574042189634,62.343694501231774,5.156579815818112,111.75000226819284
2.707399240207154,55.77646006921745,2.707399240207154,106.57135262780159,2.707399240207154,153.96767495421713,2.707399240207154,203.0291501467551,2.707399240207154,254.62975346335244,2.752774891253967,311.79517776290095,2.707399240207154,278.8628652978308,2.707399240207154,335.8830928544926,2.707399240207154,29.52746046465859,2.707399240207154,79.12055367941193,2.707399240207154,132.26657759925288,2.707399240207154,77.5171378368868,2.707399240207154,125.05943839562272,2.707399240207154,172.40986248201918,2.707399240207154,219.71165218124034,2.707399240207154,268.9564007541046,2.707399240207154,226.2260651220205,2.707399240207154,276.1828933287768,2.707399240207154,327.1385695022906,2.707399240207154,18.190791152087286,2.707399240207154,67.21886430839609,2.707399240207154,32.36444884600189,2.707399240207154,83.01180232205374,8.937281939663917,130.38070075742675,8.796570962555528,179.0246323254163,8.613192392218986,229.97633705135596,6.5686063175136855,189.60368285720236,5.384619913354452,238.6917530621404,3.6141107142919835,287.42330529248227,2.707399240207154,335.5914916826533,2.707399240207154,25.92031333525196,2.707399240207154,331.8608483951274,2.707399240207154,16.38090164747402,5.706308557153968,54.77260060577751,4.837849698171178,92.18182717554637,4.047441842897756,132.53005038383733
3.1135503289805726,68.79706049062233,3.1135503289805726,120.24000961974411,3.1135503289805726,169.9369559538955,3.1135503289805726,219.20667279163524,3.1135503289805726,268.96013177612537,3.1135503289805726,324.17046673455883,3.1135503289805726,286.2447184740269,3.1135503289805726,339.5213254449396,3.1135503289805726,30.623714707257875,3.1135503289805726,78.5354293605555,3.1135503289805726,128.77391327581313,3.1135503289805726,71.7789104652407,3.1135503289805726,115.99591005087308,3.1135503289805726,160.4312547588683,3.1135503289805726,204.92767059170555,3.1135503289805726,249.93490058287634,3.1135503289805726,205.776411642817,3.1135503289805726,256.86964417509824,3.175412294633828,309.90705536365664,4.129569321779032,2.4033043056986827,4.787696477495205,56.4333903318098,4.8250122027171045,23.494078153056506,4.721397772449814,80.83382143114295,13.528545077559098,136.60864297330272,12.95627287836076,193.91585129250527,12.12164514046752,248.10374109539222,10.155035700110549,209.37495272323358,8.408210251700662,262.8118282697396,5.960766468728669,310.17918852482654,5.074051684552273,359.96633981131316,3.5716978883855646,48.92401037226204,3.1135503289805726,355.75589571853794,3.1135503289805726,41.823458633615445,7.881366335858914,87.38051044165573,6.6461832182730465,128.9928605226622,5.370492892820124,169.7147828240916
3.1226152128880056,1.1342705698040803,3.1226152128880056,52.10052276919334,4.23280204605767,101.60516415650216,3.1226152128880056,153.42234584121968,3.1226152128880056,205.24846539660493,3.7990077242976064,261.1833266756854,3.1226152128880056,229.0386088023174,3.1226152128880056,281.7527337150521,3.1226152128880056,331.5677447278522,3.1226152128880056,19.27395775987575,3.1226152128880056,69.39359339112599,3.1226152128880056,7.099908484045336,3.1226152128880056,52.837798002119605,3.1226152128880056,99.00013539111694,3.1226152128880056,147.0998770374443,3.1226152128880056,198.91580142252104,3.1226152128880056,158.74565235755085,3.1226152128880056,210.06859819113947,4.5242202186003,264.6512646854127,4.660021622716157,319.3445338095525,4.55138008097401,13.410032436001764,4.316005531037239,351.0285491835567,3.1226152128880056,45.36978359639051,10.478123294238006,95.41201532993114,9.19358832194174,141.48330942276135,8.372875136374953,187.6939533471604,5.453914370100744,142.2619621270337,4.436930294600812,184.29910964881952,3.2753599531534383,228.29458648757046,3.32518063481498,271.8302233261618,3.3871712395006957,321.92920611026443,3.1226152128880056,266.5734736466793,3.1226152128880056,316.5612725981134,10.736300612830783,5.211189519394033,10.210791413825206,52.832670103564915,9.023919269161727,101.69457930601396
3.2364855234765804,334.7248377108759,3.2538230059950206,26.55733293457989,4.614693340886063,77.00923754874711,3.2364855234765804,129.1590221033433,3.6626024831663364,181.6425920016724,4.952083244075899,239.10027072409866,3.7122664696524823,201.62637067082966,3.8521405521560896,256.56894389556635,3.2364855234765804,308.870083179455,3.2364855234765804,358.48874652567025,3.2364855234765804,49.74210177661073,3.2364855234765804,359.00095572953273,3.2364855234765804,46.81600374123074,3.2364855234765804,94.61529058878108,3.2364855234765804,144.99761902948723,3.2364855234765804,194.01249588994705,4.544138717167058,156.73822258650276,5.013064513522853,217.20145906240037,6.969572284909585,277.8746846177024,6.368733233713867,338.82280292265006,4.92927189614543,36.696961078898276,3.2364855234765804,2.7574667317352812,3.2364855234765804,54.532233957855546,7.265411577212769,101.17881930882442,5.3965664982609525,144.31565623436356,4.073335618761326,184.49705249641275,3.2364855234765804,132.29276330109514,3.2364855234765804,173.1392599589397,3.2364855234765804,208.85899385569755,3.2364855234765804,252.2762409002421,3.2364855234765804,299.0478696003334,3.2364855234765804,245.39045754157473,3.2364855234765804,293.00509715833783,8.356607612810112,340.0550513611906,7.749220522012954,24.61057235626157,7.285318267433285,70.2062517886495
2.996095191355673,56.081242627115316,2.996095191355673,105.58654154087127,2.996095191355673,154.43641039844738,2.996095191355673,203.97674958736548,2.996095191355673,252.9982322443435,2.996095191355673,306.5516527242141,2.996095191355673,267.4866157987616,2.996095191355673,317.4084013288133,2.996095191355673,4.728246656350208,2.996095191355673,50.44255476122804,2.996095191355673,98.22252635547532,2.996095191355673,39.245042444402955,2.996095191355673,85.23962644864712,2.996095191355673,131.1009700517974,2.996095191355673,177.36028537490512,2.996095191355673,229.02430317960489,4.888714635014137,191.8488915932155,6.14515600609697,253.86720675361278,8.606133964560433,321.13438600013126,7.758761218530797,26.820387076344602,6.13669647427527,85.48082656135772,4.3235215988223015,57.31045247774459,2.996095191355673,109.48326825779684,9.22333120368992,156.94000685899596,7.824732027506889,200.155992417226,6.9051255315680935,244.88842858512282,4.357911984816279,197.02854626619103,3.0004733201620484,238.7583456007456,2.996095191355673,281.6131486554053,2.996095191355673,324.3616039728992,2.996095191355673,10.539782166694735,2.996095191355673,313.5674965152037,2.996095191355673,354.3968547028311,6.213136439720703,33.06165945304237,6.222921386709219,72.50816997224523,6.041291221816359,111.88177642046746
3.225270734308136,41.78965691314756,3.225270734308136,92.23167384551134,3.225270734308136,141.81031290787638,3.225270734308136,192.6769912337407,3.225270734308136,243.0400340259306,3.225270734308136,298.8696245725305,3.225270734308136,258.9300232147191,3.225270734308136,311.6321637663531,3.225270734308136,1.5678562238495193,3.225270734308136,49.88815414695654,3.225270734308136,100.61238702638957,3.225270734308136,45.41022653119041,3.225270734308136,92.54937328865915,3.225270734308136,139.65906708422685,3.225270734308136,187.63203592195558,3.225270734308136,238.44795971905663,5.042770078885567,201.72104952782925,6.042465320731718,264.4699153352028,8.232270344050571,330.7706034130407,7.324469655353354,34.55016298710029,5.53651850067018,93.66776808883587,3.3249171646571973,61.706284170794774,3.225270734308136,113.0459217826507,7.508948483500948,157.10359283623615,5.786624728422637,198.4881688655305,5.023170418210867,237.91030078380723,3.2587191263770396,186.47626989569335,3.225270734308136,228.8717652981167,3.225270734308136,268.8246481444511,3.225270734308136,313.6488032797288,3.225270734308136,2.026360357491246,3.225270734308136,308.12208967995963,3.225270734308136,358.8293817290321,8.216741784821824,47.025692878729,7.193339938947782,90.61543138147029,5.930112881002624,136.7873384517167
4.7121834614499205,185.89083731823683,6.193759056550864,233.46071108664833,7.660570947706515,280.81236272602297,4.98738825696601,330.0487509375553,6.408076497101706,19.272875386733993,7.599131807128359,72.61989582949471,6.219765305886923,32.610981864939184,6.226817531704788,84.45784118993564,3.114057110080915,133.90954334088357,3.2021611357677697,179.8333383768963,3.376506221759341,228.36184022750632,2.9621631177124046,168.88800165665097,2.938964688841883,212.5165534134637,2.5813786551158486,255.7693860210725,3.377712224759116,299.2689354463549,4.5198259466468445,347.16473624081874,6.693231682522157,307.72949877014645,6.9340847843466795,359.815949857912,8.830489036229968,53.3753457450725,8.288413547664245,103.5337473835946,7.894338165885062,148.66891516919284,7.2917495090338855,108.39151971435714,7.313071361806113,156.64506492501707,16.48870175102607,206.65308865831656,16.622004588508577,259.19284457772426,16.332920863051058,315.80128275294135,13.872443840500514,276.7981213379934,11.450423304360953,326.54759877977,8.47423106492758,13.11535089769145,6.581336825616374,56.50396461641625,4.695896520483687,100.93168301373984,2.651621077636937,43.72185974308976,2.5813786551158486,81.36296983633756,8.668329407412354,113.09387550474273,8.052720356515533,148.02129961369334,7.212870169167363,184.50504765910063
