RFA_230315-19_10_04-None_QR00004-CGNone_None_biasNone_p-20_tx_Beam2_HV_27.5_31_GHz_both_29.5_GHz_45C
cal_frequency:, 29.5
date time, 15-03-23 19:10:04
itcc_runner_version, 1.2.5080
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.12.0
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -20
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,30.482358452380947error reading rfic temperatures
barcodes,00004
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
0.0,28.249746164581126,0.0,78.75608831138584,1.1642198561034394,128.83427940697624,0.0,180.71859104753176,1.1651014549403098,233.88574588475004,2.74571145400379,292.96827733890643,1.3578068414032998,265.7321131632019,1.6230088789482624,324.961435511637,0.0,22.544314512608054,0.0,76.66380938474589,0.0,134.10668128423038,0.0,78.15481827580913,0.0,128.6754488291964,0.0,176.25398651624243,0.0,222.74933578413004,0.0,270.03230419800525,0.0,225.428956512124,0.0,273.40642932537276,0.0,323.9556283930076,0.0,14.293428410772918,0.0,63.00928439526277,0.0,34.538897413493146,0.0,85.18840942881161,5.410045115724063,132.93689359992874,4.762929999845881,178.88392485120363,4.516369623135524,226.53286800091627,2.0762151644718045,184.47143244977696,1.1424271419547634,228.8575672132551,0.0,275.096237469323,0.0,322.175039983911,0.0,14.378395469076054,0.0,320.6739528904743,0.0,10.815511621510382,4.960635745834599,57.83127423974031,4.05572060986483,102.86892652006594,2.588947703524156,149.5166605792527
0.0,4.862384322808518,0.0,53.016672997320825,0.0,100.71571114912992,0.0,148.89420149549633,0.0,198.2950896625785,0.42790689072698296,252.06354747791295,0.0,211.590646104585,0.5798906811456397,264.0797394774229,0.0,314.56495716429896,0.0,5.595282027084528,1.0881665568456218,59.19875985339661,2.612880117643403,13.51216858807307,3.541531888357699,72.45091787691818,3.022155842587581,135.26189354742198,2.798194194044019,196.65176248546817,1.951718044553912,256.01150464674606,1.5813940994259919,220.50128177957262,0.28619142291397015,274.3972935169223,1.314207125070535,327.85972081032554,0.2820485658113132,19.369840571324676,0.0,68.94352689257784,0.0,29.61031477445384,0.0,79.01842594730215,3.321144941859626,124.04522121866489,1.9791772842063686,167.0609679130613,1.3108980364909228,208.27249035065435,0.19619438322979743,159.78332111749893,0.0,204.26252615562098,0.0,246.34267907645943,0.0,291.26801608522544,0.0,338.8658035323898,0.0,287.6379652214504,0.0,338.87041256891706,4.307370729961104,25.928354236353975,3.22353464607013,69.79713478897894,2.1643740399919027,119.20344255594
0.0,66.6767831135046,0.0,117.47167567208874,0.0,164.86799799850428,0.0,213.92947319104223,0.0,265.5300765076396,0.04537565104681342,322.69550080718807,0.0,289.7631883421179,0.0,346.7834158987797,0.0,40.42778350894574,0.0,90.02087672369908,0.0,143.16690064354003,0.0,88.41746088117395,0.0,135.95976143990987,0.0,183.31018552630633,0.0,230.6119752255275,0.0,279.8567237983917,0.0,237.12638816630763,0.0,287.083216373064,0.0,338.0388925465777,0.0,29.091114196374434,0.0,78.11918735268324,0.0,43.26477189028904,0.0,93.91212536634089,6.2298826994567635,141.2810238017139,6.0891717223483735,189.92495536970344,5.905793152011832,240.8766600956431,3.8612070773065312,200.5040059014895,2.677220673147299,249.59207610642756,0.9067114740848298,298.3236283367694,0.0,346.49181472694045,0.0,36.82063637953911,0.0,342.76117143941457,0.0,27.281224691761167,2.9989093169468144,65.67292365006466,2.1304504579640247,103.08215021983352,1.3400426026906027,143.43037342812448
0.0,82.91472384390117,0.0,134.35767297302297,0.0,184.05461930717436,0.0,233.3243361449141,0.0,283.0777951294042,0.0,338.28813008783766,0.0,300.36238182730574,0.0,353.6389887982184,0.0,44.741378060536725,0.0,92.65309271383434,0.0,142.891576629092,0.0,85.89657381851954,0.0,130.11357340415194,0.0,174.54891811214716,0.0,219.0453339449844,0.0,264.0525639361552,0.0,219.89407499609587,0.0,270.9873075283771,0.061861965653255614,324.02471871693547,1.016018992798459,16.520967658977533,1.674146148514632,70.55105368508865,1.7114618737365317,37.611741506335356,1.6078474434692418,94.95148478442181,10.414994748578525,150.72630632658158,9.842722549380188,208.03351464578412,9.008094811486947,262.2214044486711,7.041485371129976,223.49261607651243,5.294659922720091,276.9294916230184,2.847216139748096,324.2968518781054,1.9605013555717012,14.084003164592003,0.45814755940499186,63.04167372554089,0.0,9.873559071816784,0.0,55.941121986894295,4.767816006878341,101.49817379493459,3.532632889292474,143.11052387594106,2.2569425638395515,183.83244617737046
0.0,12.308074429443138,0.0,63.2743266288324,1.1101868331696643,112.77896801614122,0.0,164.59614970085875,0.0,216.422269256244,0.6763925114096005,272.3571305353245,0.0,240.21241266195648,0.0,292.92653757469117,0.0,342.74154858749125,0.0,30.447761619514807,0.0,80.56739725076505,0.0,18.273712343684394,0.0,64.01160186175866,0.0,110.173939250756,0.0,158.27368089708335,0.0,210.0896052821601,0.0,169.91945621718992,0.0,221.24240205077854,1.4016050057122944,275.82506854505175,1.5374064098281515,330.51833766919157,1.4287648680860041,24.583836295640822,1.1933903181492331,2.202353043195785,0.0,56.54358745602957,7.355508081350002,106.5858191895702,6.070973109053734,152.65711328240042,5.250259923486947,198.86775720679947,2.331299157212738,153.43576598667278,1.3143150817128058,195.4729135084586,0.15274474026543255,239.46839034720952,0.2025654219269747,283.00402718580085,0.2645560266126902,333.1030099699035,0.0,277.74727750631837,0.0,327.7350764577525,7.613685399942778,16.38499337903309,7.088176200937201,64.00647396320397,5.901304056273721,112.86838316565303
0.0,344.2755032471095,0.01733748251844031,36.10799847081352,1.378207817409483,86.55990308498073,0.0,138.7096876395769,0.4261169596897562,191.19325753790602,1.7155977205993183,248.6509362603323,0.47578094617590183,211.17703620706328,0.6156550286795092,266.1196094318,0.0,318.4207487156886,0.0,8.039412061903862,0.0,59.29276731284436,0.0,8.551621265766348,0.0,56.36666927746437,0.0,104.16595612501472,0.0,154.54828456572085,0.0,203.56316142618067,1.3076531936904778,166.28888812273638,1.7765789900462718,226.752124598634,3.7330867614330048,287.42535015393605,3.1322477102372863,348.3734684588837,1.692786372668849,46.24762661513191,0.0,12.308132267968912,0.0,64.08289949408918,4.028926053736189,110.72948484505805,2.1600809747843726,153.86632177059718,0.8368500952847456,194.04771803264637,0.0,141.84342883732876,0.0,182.68992549517333,0.0,218.40965939193117,0.0,261.8269064364757,0.0,308.598535136567,0.0,254.94112307780836,0.0,302.55576269457146,5.120122089333531,349.6057168974242,4.512734998536374,34.1612378924952,4.048832743956704,79.75691732488312
0.0,66.13613961358828,0.0,115.64143852734423,0.0,164.49130738492033,0.0,214.03164657383846,0.0,263.05312923081647,0.0,316.60654971068703,0.0,277.54151278523454,0.0,327.46329831528624,0.0,14.783143642823177,0.0,60.49745174770101,0.0,108.27742334194829,0.0,49.299939430875924,0.0,95.29452343512008,0.0,141.15586703827034,0.0,187.41518236137807,0.0,239.07920016607787,1.8926194436584634,201.9037885796885,3.149060814741297,263.92210374008573,5.61003877320476,331.1892829866042,4.762666027175124,36.87528406281757,3.140601282919597,95.53572354783068,1.3274264074666289,67.36534946421756,0.0,119.5381652442698,6.227236012334247,166.9949038454689,4.828636836151216,210.21088940369899,3.9090303402124205,254.94332557159578,1.3618167934606058,207.08344325266398,0.0043781288063753435,248.81324258721855,0.0,291.6680456418783,0.0,334.4165009593722,0.0,20.594679153167704,0.0,323.62239350167664,0.0,4.4517516893040465,3.2170412483650295,43.116556439515335,3.2268261953535458,82.5630669587182,3.045196030460686,121.93667340694043
0.0,52.17972099632335,0.0,102.62173792868712,0.0,152.20037699105217,0.0,203.06705531691648,0.0,253.43009810910638,0.0,309.25968865570627,0.0,269.3200872978949,0.0,322.02222784952886,0.0,11.957920307025306,0.0,60.278218230132325,0.0,111.00245110956536,0.0,55.8002906143662,0.0,102.93943737183494,0.0,150.04913116740263,0.0,198.02210000513136,0.0,248.8380238022324,1.8174993445774317,212.11111361100504,2.8171945864235814,274.8599794183786,5.006999609742435,341.1606674962165,4.099198921045218,44.94022707027608,2.311247766362044,104.05783217201166,0.09964643034906112,72.09634825397056,0.0,123.43598586582648,4.283677749192812,167.49365691941193,2.5613539941145005,208.87823294870628,1.7978996839027308,248.30036486698302,0.033448392068903515,196.86633397886914,0.0,239.2618293812925,0.0,279.2147122276269,0.0,324.03886736290457,0.0,12.416424440667033,0.0,318.5121537631354,0.0,9.219445812207887,4.991471050513688,57.41575696190478,3.968069204639646,101.00549546464607,2.704842146694488,147.17740253489248
2.130804806334072,197.88998735059656,3.6123804014350154,245.45986111900805,5.079192292590666,292.8115127583827,2.406009601850162,342.0479009699151,3.8266978419858573,31.272025419093723,5.01775315201251,84.61904586185443,3.638386650771074,44.61013189729891,3.6454388765889396,96.45699122229536,0.5326784549650663,145.9086933732433,0.6207824806519212,191.83248840925603,0.7951275666434926,240.36099025986604,0.3807844625965561,180.8871516890107,0.3575860337260342,224.51570344582342,0.0,267.76853605343223,0.7963335696432673,311.2680854787146,1.9384472915309958,359.1638862731785,4.111853027406308,319.7286488025062,4.352706129230831,11.815099890271739,6.24911038111412,65.37449577743223,5.707034892548396,115.53289741595432,5.312959510769214,160.66806520155257,4.710370853918037,120.39066974671687,4.731692706690264,168.6442149573768,13.907323095910222,218.65223869067628,14.040625933392729,271.191994610084,13.75154220793521,327.8004327853011,11.291065185384666,288.79727137035314,8.869044649245104,338.54674881212975,5.892852409811732,25.11450093005118,3.999958170500525,68.50311464877598,2.114517865367838,112.93083304609956,0.0702424225210882,55.72100977544949,0.0,93.36211986869728,6.086950752296505,125.09302553710245,5.471341701399684,160.02044964605307,4.631491514051515,196.50419769146035
