Pattern peak pointing direction for each lens in the array due to single patch activation - (ThetaPk [deg]/PhiPk [deg]/peak gain loss referenced to patch max peak) - S2000_TLM_Tx_ES2_Th0_0_70_igloo10_MaxGainLocal_4actFeeds_RHCP
Lens assembly model name,EVT_Tx_ES2_Valtium00_Npa76_UnBal_L6_100_5_Nominal_27.75_30.75_Nf7,
No. of lenses,3,
No. of Patches,76,
freq. in GHz
29.500,
Theta0 [deg],Phi0 [deg], Gain loss [dB],
7.000000,-125.500000,-0.338296
14.000000,-23.500000,-1.256357
10.000000,64.000000,-0.471602
15.500000,144.000000,-1.325670
21.500000,-165.000000,-2.201143
23.500000,-121.500000,-2.225582
20.500000,-77.500000,-2.103340
29.500000,-43.000000,-2.031947
30.000000,-11.000000,-1.946440
22.500000,23.000000,-2.253618
26.500000,61.500000,-2.065048
23.000000,99.500000,-2.067996
31.000000,131.500000,-1.900039
30.500000,163.000000,-1.602330
36.000000,-171.500000,-1.956738
34.000000,-145.500000,-1.734557
38.500000,-121.000000,-1.657023
33.500000,-96.500000,-1.793306
35.500000,-70.000000,-2.137528
43.000000,-49.500000,-0.935262
41.500000,-28.000000,-1.121401
44.500000,-7.000000,-0.802198
37.000000,13.500000,-2.005588
36.000000,38.500000,-2.121713
41.500000,61.000000,-1.112848
36.500000,83.500000,-1.861632
38.500000,108.000000,-1.780496
45.500000,127.500000,-0.758233
42.000000,148.000000,-0.853100
44.500000,169.000000,-0.925539
51.500000,-174.000000,-0.303312
48.000000,-156.500000,-0.553707
49.000000,-137.000000,-0.230778
53.500000,-121.000000,-0.574479
48.000000,-104.000000,-0.145032
47.000000,-85.000000,-0.448635
50.500000,-67.000000,-0.105611
58.500000,-52.500000,-1.520015
53.500000,-37.000000,-0.682558
54.500000,-20.500000,-0.688844
59.500000,-5.000000,-1.908500
52.000000,9.500000,-0.440171
49.500000,27.000000,-0.231698
50.500000,45.000000,0.000000
57.000000,60.500000,-1.043143
51.500000,76.500000,-0.079087
49.500000,94.500000,-0.408031
53.500000,111.500000,-0.407754
60.000000,126.000000,-2.003857
55.500000,140.000000,-0.874277
55.500000,156.500000,-0.923234
59.500000,171.500000,-1.856229
66.500000,-175.500000,-4.626638
61.000000,-162.000000,-2.464887
59.500000,-147.000000,-2.197605
62.500000,-133.000000,-2.679427
68.000000,-121.000000,-5.669349
62.500000,-108.000000,-3.109912
59.500000,-93.500000,-2.454873
61.000000,-79.000000,-2.575630
65.500000,-65.000000,-4.139150
68.500000,-41.000000,-5.878454
67.500000,-28.500000,-4.737372
69.500000,-16.500000,-6.242882
66.500000,7.000000,-4.826268
63.500000,20.500000,-3.098911
62.500000,35.000000,-2.566214
65.000000,49.000000,-3.794492
70.500000,61.000000,-7.496003
65.000000,73.000000,-4.157615
62.500000,86.000000,-3.035429
63.500000,100.500000,-3.224179
67.500000,113.000000,-5.447166
70.000000,136.000000,-6.944850
67.500000,148.500000,-4.708249
69.500000,161.500000,-6.166827
7.000000,-22.750000,-0.338296
14.000000,79.250000,-1.256357
10.000000,166.750000,-0.471602
15.500000,-113.250000,-1.325670
21.500000,-62.250000,-2.201143
23.500000,-18.750000,-2.225582
20.500000,25.250000,-2.103340
29.500000,59.750000,-2.031947
30.000000,91.750000,-1.946440
22.500000,125.750000,-2.253618
26.500000,164.250000,-2.065048
23.000000,-157.750000,-2.067996
31.000000,-125.750000,-1.900039
30.500000,-94.250000,-1.602330
36.000000,-68.750000,-1.956738
34.000000,-42.750000,-1.734557
38.500000,-18.250000,-1.657023
33.500000,6.250000,-1.793306
35.500000,32.750000,-2.137528
43.000000,53.250000,-0.935262
41.500000,74.750000,-1.121401
44.500000,95.750000,-0.802198
37.000000,116.250000,-2.005588
36.000000,141.250000,-2.121713
41.500000,163.750000,-1.112848
36.500000,-173.750000,-1.861632
38.500000,-149.250000,-1.780496
45.500000,-129.750000,-0.758233
42.000000,-109.250000,-0.853100
44.500000,-88.250000,-0.925539
51.500000,-71.250000,-0.303312
48.000000,-53.750000,-0.553707
49.000000,-34.250000,-0.230778
53.500000,-18.250000,-0.574479
48.000000,-1.250000,-0.145032
47.000000,17.750000,-0.448635
50.500000,35.750000,-0.105611
58.500000,50.250000,-1.520015
53.500000,65.750000,-0.682558
54.500000,82.250000,-0.688844
59.500000,97.750000,-1.908500
52.000000,112.250000,-0.440171
49.500000,129.750000,-0.231698
50.500000,147.750000,0.000000
57.000000,163.250000,-1.043143
51.500000,179.250000,-0.079087
49.500000,-162.750000,-0.408031
53.500000,-145.750000,-0.407754
60.000000,-131.250000,-2.003857
55.500000,-117.250000,-0.874277
55.500000,-100.750000,-0.923234
59.500000,-85.750000,-1.856229
66.500000,-72.750000,-4.626638
